name,row,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2020-2021 14USU0002Z 5041100021,1,2020-2021,14USU0002Z,5041100021,Escolarizada,100,37,,137,2,0,,2,13,3,,16
2 2020-2021 14USU0002Z 5041400032,2,2020-2021,14USU0002Z,5041400032,Escolarizada,82,125,,207,2,6,,8,8,4,,12
3 2020-2021 14USU0002Z 5042000002,3,2020-2021,14USU0002Z,5042000002,Escolarizada,162,186,,348,10,3,,13,15,2,,17
4 2020-2021 14USU0002Z 5062100034,4,2020-2021,14USU0002Z,5062100034,Escolarizada,11,15,,26,0,1,,1,0,0,,0
5 2020-2021 14USU0002Z 5062200073,5,2020-2021,14USU0002Z,5062200073,Escolarizada,197,64,,261,9,0,,9,15,2,,17
6 2020-2021 14USU0002Z 5071300009,6,2020-2021,14USU0002Z,5071300009,Escolarizada,252,29,,281,8,2,,10,7,0,,7
7 2020-2021 14USU0002Z 5092100006,7,2020-2021,14USU0002Z,5092100006,Escolarizada,252,784,,1036,6,16,,22,8,35,,43
8 2020-2021 14USU0002Z 5094200006,8,2020-2021,14USU0002Z,5094200006,Escolarizada,70,187,,257,4,5,,9,2,11,,13
9 2020-2021 14USU0002Z 5101600013,9,2020-2021,14USU0002Z,5101600013,Escolarizada,30,58,,88,1,5,,6,0,4,,4
10 2020-2021 14USU0002Z 5011500002,10,2020-2021,14USU0002Z,5011500002,Escolarizada,42,88,,130,3,2,,5,12,12,,24
11 2020-2021 14USU0002Z 5031100007,11,2020-2021,14USU0002Z,5031100007,Escolarizada,83,331,,414,1,7,,8,3,4,,7
12 2020-2021 14USU0002Z 5031200004,12,2020-2021,14USU0002Z,5031200004,Escolarizada,14,25,,39,1,1,,2,1,3,,4
13 2020-2021 14USU0002Z 5033100003,13,2020-2021,14USU0002Z,5033100003,Escolarizada,322,333,,655,5,6,,11,13,9,,22
14 2020-2021 14USU0003Y 5011500002,14,2020-2021,14USU0003Y,5011500002,Escolarizada,55,190,,245,1,3,,4,0,0,,0
15 2020-2021 14USU0003Y 5031100007,15,2020-2021,14USU0003Y,5031100007,Escolarizada,101,336,,437,4,11,,15,0,0,,0
16 2020-2021 14USU0003Y 5031500010,16,2020-2021,14USU0003Y,5031500010,Escolarizada,46,429,,475,2,8,,10,0,0,,0
17 2020-2021 14USU0003Y 5033100003,17,2020-2021,14USU0003Y,5033100003,Escolarizada,181,279,,460,2,7,,9,0,0,,0
18 2020-2021 14USU0003Y 5041100021,18,2020-2021,14USU0003Y,5041100021,Escolarizada,123,77,,200,3,3,,6,0,0,,0
19 2020-2021 14USU0003Y 5041400032,19,2020-2021,14USU0003Y,5041400032,Escolarizada,171,285,,456,6,5,,11,0,0,,0
20 2020-2021 14USU0003Y 5042000002,20,2020-2021,14USU0003Y,5042000002,Escolarizada,154,237,,391,7,6,,13,0,1,,1
21 2020-2021 14USU0003Y 5051100015,21,2020-2021,14USU0003Y,5051100015,Escolarizada,69,112,,181,1,4,,5,0,1,,1
22 2020-2021 14USU0003Y 5052200021,22,2020-2021,14USU0003Y,5052200021,Escolarizada,46,40,,86,2,1,,3,0,0,,0
