name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 14MMS0607X BGAI En línea,1,2024-2025,14MMS0607X,BGAI,En línea,127,157,,284,1,4,,5,2,1,,3,0,0,,0,0,0,,0,0,1,,1,1,1,,2,1,0,,1,1,0,,1,6,7,,13,1,3,,4
2 14MMS0912F BGC Escolarizada,2,2024-2025,14MMS0912F,BGC,Escolarizada,141,208,,349,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,1,1,,2,4,4,,8
3 14MMS0912F BGC Escolarizada,3,2024-2025,14MMS0912F,BGC,Escolarizada,146,206,,352,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,3,,5,0,0,,0,0,0,,0,2,3,,5,1,4,,5
4 14MMS0640E BGC Escolarizada,4,2024-2025,14MMS0640E,BGC,Escolarizada,327,333,,660,2,0,,2,1,0,,1,1,0,,1,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,6,0,,6,3,0,,3
5 14MMS0640E BGC Escolarizada,5,2024-2025,14MMS0640E,BGC,Escolarizada,316,296,,612,1,0,,1,3,0,,3,0,0,,0,0,0,,0,0,0,,0,2,5,,7,0,1,,1,0,0,,0,6,6,,12,5,1,,6
6 14MMS0608W BGAI Escolarizada,6,2024-2025,14MMS0608W,BGAI,Escolarizada,136,115,,251,1,1,,2,0,1,,1,0,0,,0,0,0,,0,1,0,,1,0,1,,1,0,0,,0,1,0,,1,3,3,,6,1,1,,2
7 14MMS0608W BGC Escolarizada,7,2024-2025,14MMS0608W,BGC,Escolarizada,863,1026,,1889,1,0,,1,1,1,,2,0,0,,0,0,1,,1,1,1,,2,13,7,,20,0,1,,1,0,0,,0,16,11,,27,4,6,,10
8 14MMS0608W BGC Escolarizada,8,2024-2025,14MMS0608W,BGC,Escolarizada,897,920,,1817,1,0,,1,2,2,,4,0,0,,0,0,0,,0,0,1,,1,9,11,,20,0,0,,0,1,0,,1,13,14,,27,9,7,,16
9 14MMS0609V BGAI Escolarizada,9,2024-2025,14MMS0609V,BGAI,Escolarizada,33,23,,56,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
10 14MMS0609V BGC Escolarizada,10,2024-2025,14MMS0609V,BGC,Escolarizada,599,829,,1428,1,1,,2,1,0,,1,0,0,,0,0,0,,0,1,0,,1,6,9,,15,1,0,,1,0,0,,0,10,10,,20,1,3,,4
11 14MMS0609V BGC Escolarizada,11,2024-2025,14MMS0609V,BGC,Escolarizada,548,660,,1208,2,0,,2,0,1,,1,0,0,,0,0,0,,0,1,0,,1,6,8,,14,0,0,,0,2,0,,2,11,9,,20,7,6,,13
12 14MMS0610K BGAI Escolarizada,12,2024-2025,14MMS0610K,BGAI,Escolarizada,72,66,,138,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
13 14MMS0610K BGC Escolarizada,13,2024-2025,14MMS0610K,BGC,Escolarizada,575,674,,1249,3,1,,4,3,1,,4,0,0,,0,0,0,,0,1,2,,3,6,4,,10,0,0,,0,0,0,,0,13,8,,21,1,4,,5
14 14MMS0610K BGC Escolarizada,14,2024-2025,14MMS0610K,BGC,Escolarizada,450,542,,992,0,0,,0,0,3,,3,0,0,,0,0,0,,0,0,0,,0,4,7,,11,0,0,,0,0,0,,0,4,10,,14,2,9,,11
15 14MMS0611J BGAI Escolarizada,15,2024-2025,14MMS0611J,BGAI,Escolarizada,7,7,,14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
