name,row,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2021-2022 14USU0002Z 5011500002,1,2021-2022,14USU0002Z,5011500002,Escolarizada,60,159,,219,4,6,,10,17,23,,40
2 2021-2022 14USU0002Z 5031100007,2,2021-2022,14USU0002Z,5031100007,Escolarizada,71,263,,334,1,10,,11,2,1,,3
3 2021-2022 14USU0002Z 5031200004,3,2021-2022,14USU0002Z,5031200004,Escolarizada,11,17,,28,1,0,,1,0,2,,2
4 2021-2022 14USU0002Z 5033100003,4,2021-2022,14USU0002Z,5033100003,Escolarizada,243,308,,551,3,10,,13,7,6,,13
5 2021-2022 14USU0002Z 5041100021,5,2021-2022,14USU0002Z,5041100021,Escolarizada,68,37,,105,2,0,,2,10,2,,12
6 2021-2022 14USU0002Z 5041400032,6,2021-2022,14USU0002Z,5041400032,Escolarizada,71,130,,201,2,7,,9,5,4,,9
7 2021-2022 14USU0002Z 5042000002,7,2021-2022,14USU0002Z,5042000002,Escolarizada,121,166,,287,9,7,,16,12,5,,17
8 2021-2022 14USU0002Z 5062100034,8,2021-2022,14USU0002Z,5062100034,Escolarizada,11,15,,26,0,1,,1,0,0,,0
9 2021-2022 14USU0002Z 5062200073,9,2021-2022,14USU0002Z,5062200073,Escolarizada,170,49,,219,6,3,,9,13,2,,15
10 2021-2022 14USU0002Z 5071300009,10,2021-2022,14USU0002Z,5071300009,Escolarizada,244,28,,272,8,3,,11,6,0,,6
11 2021-2022 14USU0002Z 5092100006,11,2021-2022,14USU0002Z,5092100006,Escolarizada,215,729,,944,5,22,,27,9,32,,41
12 2021-2022 14USU0002Z 5094200006,12,2021-2022,14USU0002Z,5094200006,Escolarizada,74,192,,266,3,7,,10,2,10,,12
13 2021-2022 14USU0002Z 5101600013,13,2021-2022,14USU0002Z,5101600013,Escolarizada,20,52,,72,1,5,,6,0,1,,1
