row,name,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t,
1,2022-2023 14USU0002Z 5011100022,2022-2023,14USU0002Z,5011100022,Escolarizada,21,33,,54,0,0,,0,21,33,,54,
2,2022-2023 14USU0002Z 5011500002,2022-2023,14USU0002Z,5011500002,Escolarizada,67,190,,257,5,5,,10,26,27,,53,
3,2022-2023 14USU0002Z 5031100007,2022-2023,14USU0002Z,5031100007,Escolarizada,74,254,,328,1,10,,11,1,3,,4,
4,2022-2023 14USU0002Z 5031200004,2022-2023,14USU0002Z,5031200004,Escolarizada,4,12,,16,0,0,,0,0,2,,2,
5,2022-2023 14USU0002Z 5033100003,2022-2023,14USU0002Z,5033100003,Escolarizada,251,342,,593,4,10,,14,7,4,,11,
6,2022-2023 14USU0002Z 5041100021,2022-2023,14USU0002Z,5041100021,Escolarizada,53,34,,87,0,0,,0,8,4,,12,
7,2022-2023 14USU0002Z 5041400032,2022-2023,14USU0002Z,5041400032,Escolarizada,80,115,,195,6,6,,12,4,4,,8,
8,2022-2023 14USU0002Z 5042000002,2022-2023,14USU0002Z,5042000002,Escolarizada,128,173,,301,5,4,,9,7,6,,13,
9,2022-2023 14USU0002Z 5062100034,2022-2023,14USU0002Z,5062100034,Escolarizada,1,0,,1,0,0,,0,0,0,,0,
10,2022-2023 14USU0002Z 5062200073,2022-2023,14USU0002Z,5062200073,Escolarizada,156,46,,202,5,1,,6,11,2,,13,
11,2022-2023 14USU0002Z 5071300009,2022-2023,14USU0002Z,5071300009,Escolarizada,240,35,,275,6,2,,8,5,0,,5,
12,2022-2023 14USU0002Z 5092100006,2022-2023,14USU0002Z,5092100006,Escolarizada,208,648,,856,6,16,,22,6,25,,31,
13,2022-2023 14USU0002Z 5094200006,2022-2023,14USU0002Z,5094200006,Escolarizada,55,143,,198,1,7,,8,0,5,,5,
14,2022-2023 14USU0002Z 5101600013,2022-2023,14USU0002Z,5101600013,Escolarizada,15,40,,55,1,4,,5,0,1,,1,
15,2022-2023 14USU0003Y 5011500002,2022-2023,14USU0003Y,5011500002,Escolarizada,72,279,,351,0,5,,5,0,0,,0,
16,2022-2023 14USU0003Y 5031100007,2022-2023,14USU0003Y,5031100007,Escolarizada,100,371,,471,4,20,,24,0,0,,0,
17,2022-2023 14USU0003Y 5031500010,2022-2023,14USU0003Y,5031500010,Escolarizada,29,288,,317,2,6,,8,0,0,,0,
18,2022-2023 14USU0003Y 5033100003,2022-2023,14USU0003Y,5033100003,Escolarizada,170,310,,480,7,10,,17,0,0,,0,
19,2022-2023 14USU0003Y 5041100021,2022-2023,14USU0003Y,5041100021,Escolarizada,75,79,,154,2,5,,7,0,0,,0,
20,2022-2023 14USU0003Y 5041400032,2022-2023,14USU0003Y,5041400032,Escolarizada,164,247,,411,5,10,,15,0,0,,0,
