name,row,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t,
1 2023-2024 14MMS0608W BGAI,1,2023-2024,14MMS0608W,BGAI,Escolarizada,135,88,,223,1,0,,1,1,2,,3,
2 2023-2024 14MMS0608W BGC,2,2023-2024,14MMS0608W,BGC,Escolarizada,1074,1039,,2113,12,18,,30,2,6,,8,
3 2023-2024 14MMS0608W BGC,3,2023-2024,14MMS0608W,BGC,Escolarizada,1000,1112,,2112,18,17,,35,1,1,,2,
4 2023-2024 14MMS0609V BGAI,4,2023-2024,14MMS0609V,BGAI,Escolarizada,60,58,,118,1,1,,2,0,0,,0,
5 2023-2024 14MMS0609V BGC,5,2023-2024,14MMS0609V,BGC,Escolarizada,560,695,,1255,12,3,,15,3,1,,4,
6 2023-2024 14MMS0609V BGC,6,2023-2024,14MMS0609V,BGC,Escolarizada,546,709,,1255,8,13,,21,0,0,,0,
7 2023-2024 14MMS0610K BGAI,7,2023-2024,14MMS0610K,BGAI,Escolarizada,76,60,,136,1,0,,1,0,0,,0,
8 2023-2024 14MMS0610K BGC,8,2023-2024,14MMS0610K,BGC,Escolarizada,511,630,,1141,8,8,,16,0,1,,1,
9 2023-2024 14MMS0610K BGC,9,2023-2024,14MMS0610K,BGC,Escolarizada,535,604,,1139,7,10,,17,1,2,,3,
10 2023-2024 14MMS0611J BGAI,10,2023-2024,14MMS0611J,BGAI,Escolarizada,23,26,,49,0,0,,0,0,0,,0,
11 2023-2024 14MMS0611J BGC,11,2023-2024,14MMS0611J,BGC,Escolarizada,510,823,,1333,8,13,,21,0,1,,1,
12 2023-2024 14MMS0611J BGC,12,2023-2024,14MMS0611J,BGC,Escolarizada,519,813,,1332,4,8,,12,0,4,,4,
13 2023-2024 14MMS0612I BGAI,13,2023-2024,14MMS0612I,BGAI,Escolarizada,11,9,,20,0,0,,0,0,0,,0,
14 2023-2024 14MMS0612I BGC,14,2023-2024,14MMS0612I,BGC,Escolarizada,1214,1508,,2722,20,25,,45,2,7,,9,
15 2023-2024 14MMS0612I BGC,15,2023-2024,14MMS0612I,BGC,Escolarizada,1235,1485,,2720,14,18,,32,5,3,,8,
16 2023-2024 14MMS0613H BGC,16,2023-2024,14MMS0613H,BGC,Escolarizada,1308,1448,,2756,23,23,,46,10,11,,21,
17 2023-2024 14MMS0613H BGC,17,2023-2024,14MMS0613H,BGC,Escolarizada,1282,1472,,2754,33,28,,61,6,9,,15,
18 2023-2024 14MMS0761Q BGC,18,2023-2024,14MMS0761Q,BGC,Escolarizada,72,76,,148,0,2,,2,0,0,,0,
19 2023-2024 14MMS0761Q BGC,19,2023-2024,14MMS0761Q,BGC,Escolarizada,62,86,,148,1,0,,1,0,0,,0,
20 2023-2024 14MMS0647Y BGAI,20,2023-2024,14MMS0647Y,BGAI,Escolarizada,74,77,,151,1,0,,1,1,0,,1,
21 2023-2024 14MMS0647Y BGC,21,2023-2024,14MMS0647Y,BGC,Escolarizada,750,872,,1622,22,6,,28,3,3,,6,
22 2023-2024 14MMS0647Y BGC,22,2023-2024,14MMS0647Y,BGC,Escolarizada,760,860,,1620,11,8,,19,0,0,,0,
23 2023-2024 14MMS0762P BGC,23,2023-2024,14MMS0762P,BGC,Escolarizada,60,69,,129,0,0,,0,0,0,,0,
24 2023-2024 14MMS0762P BGC,24,2023-2024,14MMS0762P,BGC,Escolarizada,48,80,,128,0,0,,0,0,0,,0,
25 2023-2024 14MMS0648X BGAI,25,2023-2024,14MMS0648X,BGAI,Escolarizada,18,10,,28,0,0,,0,0,0,,0,
26 2023-2024 14MMS0648X BGC,26,2023-2024,14MMS0648X,BGC,Escolarizada,831,964,,1795,14,18,,32,3,3,,6,
27 2023-2024 14MMS0648X BGC,27,2023-2024,14MMS0648X,BGC,Escolarizada,817,977,,1794,10,19,,29,2,3,,5,
28 2023-2024 14MMS0649W BGAI,28,2023-2024,14MMS0649W,BGAI,Escolarizada,129,88,,217,1,0,,1,0,0,,0,
29 2023-2024 14MMS0649W BGC,29,2023-2024,14MMS0649W,BGC,Escolarizada,1025,1197,,2222,10,18,,28,7,4,,11,
