name,row,ciclo,clasificacion_plantel,tipo_plantel,nivel_pc_sinems,total,hombres,mujeres,personas_nb
121 Calidad PC-SINEMS -1 - 2018-2019 - Metropolitano - Escuelas - Nivel I,1,2018-2019,Metropolitano,Escuelas,Nivel I,31703,13654,18049,
121 Calidad PC-SINEMS -2 - 2018-2019 - Metropolitano - Escuelas - Nivel II,2,2018-2019,Metropolitano,Escuelas,Nivel II,16065,6965,9100,
121 Calidad PC-SINEMS -3 - 2018-2019 - Metropolitano - Escuelas - Nivel III,3,2018-2019,Metropolitano,Escuelas,Nivel III,15351,6379,8972,
121 Calidad PC-SINEMS -4 - 2018-2019 - Metropolitano - Módulos - Nivel I,4,2018-2019,Metropolitano,Módulos,Nivel I,0,0,0,
121 Calidad PC-SINEMS -5 - 2018-2019 - Metropolitano - Módulos - Nivel II,5,2018-2019,Metropolitano,Módulos,Nivel II,328,151,177,
121 Calidad PC-SINEMS -6 - 2018-2019 - Regional - Escuelas - Nivel I,6,2018-2019,Regional,Escuelas,Nivel I,11890,5272,6618,
121 Calidad PC-SINEMS -7 - 2018-2019 - Regional - Escuelas - Nivel II,7,2018-2019,Regional,Escuelas,Nivel II,30294,13436,16858,
121 Calidad PC-SINEMS -8 - 2018-2019 - Regional - Escuelas - Nivel III,8,2018-2019,Regional,Escuelas,Nivel III,3040,1383,1657,
121 Calidad PC-SINEMS -9 - 2018-2019 - Regional - Módulos - Nivel I,9,2018-2019,Regional,Módulos,Nivel I,2183,1007,1176,
121 Calidad PC-SINEMS -10 - 2018-2019 - Regional - Módulos - Nivel II,10,2018-2019,Regional,Módulos,Nivel II,15203,7051,8152,
121 Calidad PC-SINEMS -11 - 2018-2019 - Regional - Módulos - Nivel III,11,2018-2019,Regional,Módulos,Nivel III,1181,544,637,
121 Calidad PC-SINEMS -12 - 2018-2019 - Regional - Extensiones - Nivel I,12,2018-2019,Regional,Extensiones,Nivel I,0,0,0,
121 Calidad PC-SINEMS -13 - 2018-2019 - Regional - Extensiones - Nivel II,13,2018-2019,Regional,Extensiones,Nivel II,255,133,122,
121 Calidad PC-SINEMS -14 - 2018-2019 - Regional - Extensiones - Nivel III,14,2018-2019,Regional,Extensiones,Nivel III,131,54,77,
121 Calidad PC-SINEMS -15 - 2018-2019 - Regional - Virtual - Nivel I,15,2018-2019,Regional,Virtual,Nivel I,264,109,155,
121 Calidad PC-SINEMS -16 - 2019-2020 - Metropolitano - Escuelas - Nivel I,16,2019-2020,Metropolitano,Escuelas,Nivel I,41164,17620,23544,
121 Calidad PC-SINEMS -17 - 2019-2020 - Metropolitano - Escuelas - Nivel II,17,2019-2020,Metropolitano,Escuelas,Nivel II,15882,7897,7985,
121 Calidad PC-SINEMS -18 - 2019-2020 - Metropolitano - Escuelas - Nivel III,18,2019-2020,Metropolitano,Escuelas,Nivel III,15439,6773,8666,
121 Calidad PC-SINEMS -19 - 2019-2020 - Metropolitano - Módulos - Nivel I,19,2019-2020,Metropolitano,Módulos,Nivel I,381,178,203,
121 Calidad PC-SINEMS -20 - 2019-2020 - Metropolitano - Módulos - Nivel II,20,2019-2020,Metropolitano,Módulos,Nivel II,0,0,0,
121 Calidad PC-SINEMS -21 - 2019-2020 - Regional - Escuelas - Nivel I,21,2019-2020,Regional,Escuelas,Nivel I,20652,9153,11499,
121 Calidad PC-SINEMS -22 - 2019-2020 - Regional - Escuelas - Nivel II,22,2019-2020,Regional,Escuelas,Nivel II,25917,11516,14401,
121 Calidad PC-SINEMS -23 - 2019-2020 - Regional - Escuelas - Nivel III,23,2019-2020,Regional,Escuelas,Nivel III,2881,1257,1624,
121 Calidad PC-SINEMS -24 - 2019-2020 - Regional - Módulos - Nivel I,24,2019-2020,Regional,Módulos,Nivel I,6480,2974,3506,
121 Calidad PC-SINEMS -25 - 2019-2020 - Regional - Módulos - Nivel II,25,2019-2020,Regional,Módulos,Nivel II,12406,5798,6608,
121 Calidad PC-SINEMS -26 - 2019-2020 - Regional - Módulos - Nivel III,26,2019-2020,Regional,Módulos,Nivel III,1162,524,638,
121 Calidad PC-SINEMS -27 - 2019-2020 - Regional - Extensiones - Nivel I,27,2019-2020,Regional,Extensiones,Nivel I,234,93,141,
121 Calidad PC-SINEMS -28 - 2019-2020 - Regional - Extensiones - Nivel II,28,2019-2020,Regional,Extensiones,Nivel II,253,128,125,
121 Calidad PC-SINEMS -29 - 2019-2020 - Regional - Extensiones - Nivel III,29,2019-2020,Regional,Extensiones,Nivel III,125,45,80,
121 Calidad PC-SINEMS -30 - 2019-2020 - Regional - Virtual - Nivel I,30,2019-2020,Regional,Virtual,Nivel I,137,47,90,
121 Calidad PC-SINEMS -31 - 2020-2021 - Metropolitano - Escuelas - Nivel I,31,2020-2021,Metropolitano,Escuelas,Nivel I,44394,18547,25847,
121 Calidad PC-SINEMS -32 - 2020-2021 - Metropolitano - Escuelas - Nivel II,32,2020-2021,Metropolitano,Escuelas,Nivel II,16460,8014,8446,
121 Calidad PC-SINEMS -33 - 2020-2021 - Metropolitano - Escuelas - Nivel III,33,2020-2021,Metropolitano,Escuelas,Nivel III,16809,7319,9490,
