name,row,ciclo,clasificacion_plantel,tipo_plantel,nivel_pc_sinems,total,hombres,mujeres,personas_nb
121 Calidad PC-SINEMS -1 - 2024-2025 - Metropolitano - Escuela - Nivel I,1,2024-2025,Metropolitano,Escuela,Nivel I,50377,23192,27185,
121 Calidad PC-SINEMS -2 - 2024-2025 - Metropolitano - Escuela - Nivel II,2,2024-2025,Metropolitano,Escuela,Nivel II,16313,8356,7957,
121 Calidad PC-SINEMS -3 - 2024-2025 - Metropolitano - Escuela - Nivel III,3,2024-2025,Metropolitano,Escuela,Nivel III,18263,8799,9464,
121 Calidad PC-SINEMS -4 - 2024-2025 - Metropolitano - Módulo - Nivel I,4,2024-2025,Metropolitano,Módulo,Nivel I,489,219,270,
121 Calidad PC-SINEMS -5 - 2024-2025 - Metropolitano - Módulo - Nivel II,5,2024-2025,Metropolitano,Módulo,Nivel II,0,0,0,
121 Calidad PC-SINEMS -6 - 2024-2025 - Metropolitano - Módulo - Nivel III,6,2024-2025,Metropolitano,Módulo,Nivel III,0,0,0,
121 Calidad PC-SINEMS -7 - 2024-2025 - Regional - Escuela - Nivel I,7,2024-2025,Regional,Escuela,Nivel I,23218,10621,12597,
121 Calidad PC-SINEMS -8 - 2024-2025 - Regional - Escuela - Nivel II,8,2024-2025,Regional,Escuela,Nivel II,29861,13470,16391,
121 Calidad PC-SINEMS -9 - 2024-2025 - Regional - Escuela - Nivel III,9,2024-2025,Regional,Escuela,Nivel III,3286,1473,1813,
121 Calidad PC-SINEMS -10 - 2024-2025 - Regional - Módulo - Nivel I,10,2024-2025,Regional,Módulo,Nivel I,7851,3661,4190,
121 Calidad PC-SINEMS -11 - 2024-2025 - Regional - Módulo - Nivel II,11,2024-2025,Regional,Módulo,Nivel II,14643,6719,7924,
121 Calidad PC-SINEMS -12 - 2024-2025 - Regional - Módulo - Nivel III,12,2024-2025,Regional,Módulo,Nivel III,540,240,300,
