name,row,ciclo,entidad_universitaria,nivel_estudiante,tipo_estudiante_pec,total,hombres,mujeres,personas_nb
122 Estudiantes en PEC -1 - 2018-2019 - CUCEA - Pregrado - Estudiantes en programas educativos de calidad,1,2018-2019,CUCEA,Pregrado,Estudiantes en programas educativos de calidad,17952,8204,9748,
122 Estudiantes en PEC -2 - 2018-2019 - CUCEI - Pregrado - Estudiantes en programas educativos de calidad,2,2018-2019,CUCEI,Pregrado,Estudiantes en programas educativos de calidad,14295,10285,4010,
122 Estudiantes en PEC -3 - 2018-2019 - CUCSH - Pregrado - Estudiantes en programas educativos de calidad,3,2018-2019,CUCSH,Pregrado,Estudiantes en programas educativos de calidad,11206,4779,6427,
122 Estudiantes en PEC -4 - 2018-2019 - CUCS - Pregrado - Estudiantes en programas educativos de calidad,4,2018-2019,CUCS,Pregrado,Estudiantes en programas educativos de calidad,13817,4913,8904,
122 Estudiantes en PEC -5 - 2018-2019 - CUAAD - Pregrado - Estudiantes en programas educativos de calidad,5,2018-2019,CUAAD,Pregrado,Estudiantes en programas educativos de calidad,6438,2899,3539,
122 Estudiantes en PEC -6 - 2018-2019 - CUCBA - Pregrado - Estudiantes en programas educativos de calidad,6,2018-2019,CUCBA,Pregrado,Estudiantes en programas educativos de calidad,5403,2652,2751,
122 Estudiantes en PEC -7 - 2018-2019 - CUALTOS - Pregrado - Estudiantes en programas educativos de calidad,7,2018-2019,CUALTOS,Pregrado,Estudiantes en programas educativos de calidad,3905,1502,2403,
122 Estudiantes en PEC -8 - 2018-2019 - CUCI NEGA - Pregrado - Estudiantes en programas educativos de calidad,8,2018-2019,CUCI NEGA,Pregrado,Estudiantes en programas educativos de calidad,5219,2427,2792,
122 Estudiantes en PEC -9 - 2018-2019 - CUSUR - Pregrado - Estudiantes en programas educativos de calidad,9,2018-2019,CUSUR,Pregrado,Estudiantes en programas educativos de calidad,6108,2315,3793,
122 Estudiantes en PEC -10 - 2018-2019 - CUCOSTA - Pregrado - Estudiantes en programas educativos de calidad,10,2018-2019,CUCOSTA,Pregrado,Estudiantes en programas educativos de calidad,5192,2445,2747,
122 Estudiantes en PEC -11 - 2018-2019 - CUCOSTASUR - Pregrado - Estudiantes en programas educativos de calidad,11,2018-2019,CUCOSTASUR,Pregrado,Estudiantes en programas educativos de calidad,3092,1828,1264,
122 Estudiantes en PEC -12 - 2018-2019 - CUVALLES - Pregrado - Estudiantes en programas educativos de calidad,12,2018-2019,CUVALLES,Pregrado,Estudiantes en programas educativos de calidad,3718,1484,2234,
122 Estudiantes en PEC -13 - 2018-2019 - CUNORTE - Pregrado - Estudiantes en programas educativos de calidad,13,2018-2019,CUNORTE,Pregrado,Estudiantes en programas educativos de calidad,3853,1509,2344,
122 Estudiantes en PEC -14 - 2018-2019 - CULAGOS - Pregrado - Estudiantes en programas educativos de calidad,14,2018-2019,CULAGOS,Pregrado,Estudiantes en programas educativos de calidad,1673,792,881,
122 Estudiantes en PEC -15 - 2018-2019 - CUTONAL  - Pregrado - Estudiantes en programas educativos de calidad,15,2018-2019,CUTONAL ,Pregrado,Estudiantes en programas educativos de calidad,6640,3214,3426,
122 Estudiantes en PEC -16 - 2018-2019 - SUV - Pregrado - Estudiantes en programas educativos de calidad,16,2018-2019,SUV,Pregrado,Estudiantes en programas educativos de calidad,3365,1527,1838,
122 Estudiantes en PEC -17 - 2018-2019 - CUCEA - Pregrado - Estudiantes en programas educativos evaluables,17,2018-2019,CUCEA,Pregrado,Estudiantes en programas educativos evaluables,17952,8204,9748,
122 Estudiantes en PEC -18 - 2018-2019 - CUCEI - Pregrado - Estudiantes en programas educativos evaluables,18,2018-2019,CUCEI,Pregrado,Estudiantes en programas educativos evaluables,14295,10285,4010,
122 Estudiantes en PEC -19 - 2018-2019 - CUCSH - Pregrado - Estudiantes en programas educativos evaluables,19,2018-2019,CUCSH,Pregrado,Estudiantes en programas educativos evaluables,11206,4779,6427,
122 Estudiantes en PEC -20 - 2018-2019 - CUCS - Pregrado - Estudiantes en programas educativos evaluables,20,2018-2019,CUCS,Pregrado,Estudiantes en programas educativos evaluables,13973,4978,8995,
