name,row,ciclo,entidad_universitaria,nivel_estudiante,tipo_estudiante_pec,total,hombres,mujeres,personas_nb
122 Estudiantes en PEC -1 - 2024-2025 - CUCEA - Pregrado - Estudiantes en programas educativos de calidad,1,2024-2025,CUCEA,Pregrado,Estudiantes en programas educativos de calidad,19709,9015,10694,
122 Estudiantes en PEC -2 - 2024-2025 - CUCEI - Pregrado - Estudiantes en programas educativos de calidad,2,2024-2025,CUCEI,Pregrado,Estudiantes en programas educativos de calidad,17270,12452,4818,
122 Estudiantes en PEC -3 - 2024-2025 - CUCSH - Pregrado - Estudiantes en programas educativos de calidad,3,2024-2025,CUCSH,Pregrado,Estudiantes en programas educativos de calidad,11328,4505,6823,
122 Estudiantes en PEC -4 - 2024-2025 - CUCS - Pregrado - Estudiantes en programas educativos de calidad,4,2024-2025,CUCS,Pregrado,Estudiantes en programas educativos de calidad,15980,5161,10819,
122 Estudiantes en PEC -5 - 2024-2025 - CUAAD - Pregrado - Estudiantes en programas educativos de calidad,5,2024-2025,CUAAD,Pregrado,Estudiantes en programas educativos de calidad,6403,2619,3784,
122 Estudiantes en PEC -6 - 2024-2025 - CUCBA - Pregrado - Estudiantes en programas educativos de calidad,6,2024-2025,CUCBA,Pregrado,Estudiantes en programas educativos de calidad,6915,3126,3789,
122 Estudiantes en PEC -7 - 2024-2025 - CUALTOS - Pregrado - Estudiantes en programas educativos de calidad,7,2024-2025,CUALTOS,Pregrado,Estudiantes en programas educativos de calidad,3636,1274,2362,
122 Estudiantes en PEC -8 - 2024-2025 - CUCI NEGA - Pregrado - Estudiantes en programas educativos de calidad,8,2024-2025,CUCIÉNEGA,Pregrado,Estudiantes en programas educativos de calidad,4755,1971,2784,
122 Estudiantes en PEC -9 - 2024-2025 - CUSUR - Pregrado - Estudiantes en programas educativos de calidad,9,2024-2025,CUSUR,Pregrado,Estudiantes en programas educativos de calidad,6245,2167,4078,
122 Estudiantes en PEC -10 - 2024-2025 - CUCOSTA - Pregrado - Estudiantes en programas educativos de calidad,10,2024-2025,CUCOSTA,Pregrado,Estudiantes en programas educativos de calidad,6006,2720,3286,
122 Estudiantes en PEC -11 - 2024-2025 - CUCOSTASUR - Pregrado - Estudiantes en programas educativos de calidad,11,2024-2025,CUCOSTASUR,Pregrado,Estudiantes en programas educativos de calidad,3639,1687,1952,
122 Estudiantes en PEC -12 - 2024-2025 - CUVALLES - Pregrado - Estudiantes en programas educativos de calidad,12,2024-2025,CUVALLES,Pregrado,Estudiantes en programas educativos de calidad,4321,1806,2515,
122 Estudiantes en PEC -13 - 2024-2025 - CUNORTE - Pregrado - Estudiantes en programas educativos de calidad,13,2024-2025,CUNORTE,Pregrado,Estudiantes en programas educativos de calidad,2983,1142,1841,
122 Estudiantes en PEC -14 - 2024-2025 - CULAGOS - Pregrado - Estudiantes en programas educativos de calidad,14,2024-2025,CULAGOS,Pregrado,Estudiantes en programas educativos de calidad,2049,1057,992,
122 Estudiantes en PEC -15 - 2024-2025 - CUTONAL  - Pregrado - Estudiantes en programas educativos de calidad,15,2024-2025,CUTONALÁ,Pregrado,Estudiantes en programas educativos de calidad,8465,3586,4879,
122 Estudiantes en PEC -16 - 2024-2025 - CUTLAJOMULCO - Pregrado - Estudiantes en programas educativos de calidad,16,2024-2025,CUTLAJOMULCO,Pregrado,Estudiantes en programas educativos de calidad,,,,
122 Estudiantes en PEC -17 - 2024-2025 - CUGUADALAJARA - Pregrado - Estudiantes en programas educativos de calidad,17,2024-2025,CUGUADALAJARA,Pregrado,Estudiantes en programas educativos de calidad,2495,798,1697,
122 Estudiantes en PEC -18 - 2024-2025 - CUCEA - Pregrado - Estudiantes en programas educativos evaluables,18,2024-2025,CUCEA,Pregrado,Estudiantes en programas educativos evaluables,19709,9015,10694,
122 Estudiantes en PEC -19 - 2024-2025 - CUCEI - Pregrado - Estudiantes en programas educativos evaluables,19,2024-2025,CUCEI,Pregrado,Estudiantes en programas educativos evaluables,18273,13008,5265,
122 Estudiantes en PEC -20 - 2024-2025 - CUCSH - Pregrado - Estudiantes en programas educativos evaluables,20,2024-2025,CUCSH,Pregrado,Estudiantes en programas educativos evaluables,11328,4505,6823,
122 Estudiantes en PEC -21 - 2024-2025 - CUCS - Pregrado - Estudiantes en programas educativos evaluables,21,2024-2025,CUCS,Pregrado,Estudiantes en programas educativos evaluables,15980,5161,10819,
122 Estudiantes en PEC -22 - 2024-2025 - CUAAD - Pregrado - Estudiantes en programas educativos evaluables,22,2024-2025,CUAAD,Pregrado,Estudiantes en programas educativos evaluables,7260,2877,4383,
122 Estudiantes en PEC -23 - 2024-2025 - CUCBA - Pregrado - Estudiantes en programas educativos evaluables,23,2024-2025,CUCBA,Pregrado,Estudiantes en programas educativos evaluables,6915,3126,3789,
122 Estudiantes en PEC -24 - 2024-2025 - CUALTOS - Pregrado - Estudiantes en programas educativos evaluables,24,2024-2025,CUALTOS,Pregrado,Estudiantes en programas educativos evaluables,4380,1537,2843,
122 Estudiantes en PEC -25 - 2024-2025 - CUCI NEGA - Pregrado - Estudiantes en programas educativos evaluables,25,2024-2025,CUCIÉNEGA,Pregrado,Estudiantes en programas educativos evaluables,5510,2417,3093,
122 Estudiantes en PEC -26 - 2024-2025 - CUSUR - Pregrado - Estudiantes en programas educativos evaluables,26,2024-2025,CUSUR,Pregrado,Estudiantes en programas educativos evaluables,6471,2298,4173,
122 Estudiantes en PEC -27 - 2024-2025 - CUCOSTA - Pregrado - Estudiantes en programas educativos evaluables,27,2024-2025,CUCOSTA,Pregrado,Estudiantes en programas educativos evaluables,6139,2753,3386,
122 Estudiantes en PEC -28 - 2024-2025 - CUCOSTASUR - Pregrado - Estudiantes en programas educativos evaluables,28,2024-2025,CUCOSTASUR,Pregrado,Estudiantes en programas educativos evaluables,3639,1687,1952,
122 Estudiantes en PEC -29 - 2024-2025 - CUVALLES - Pregrado - Estudiantes en programas educativos evaluables,29,2024-2025,CUVALLES,Pregrado,Estudiantes en programas educativos evaluables,4321,1806,2515,
122 Estudiantes en PEC -30 - 2024-2025 - CUNORTE - Pregrado - Estudiantes en programas educativos evaluables,30,2024-2025,CUNORTE,Pregrado,Estudiantes en programas educativos evaluables,2983,1142,1841,
122 Estudiantes en PEC -31 - 2024-2025 - CULAGOS - Pregrado - Estudiantes en programas educativos evaluables,31,2024-2025,CULAGOS,Pregrado,Estudiantes en programas educativos evaluables,2526,1168,1358,
122 Estudiantes en PEC -32 - 2024-2025 - CUTONAL  - Pregrado - Estudiantes en programas educativos evaluables,32,2024-2025,CUTONALÁ,Pregrado,Estudiantes en programas educativos evaluables,8465,3586,4879,
122 Estudiantes en PEC -33 - 2024-2025 - CUTLAJOMULCO - Pregrado - Estudiantes en programas educativos evaluables,33,2024-2025,CUTLAJOMULCO,Pregrado,Estudiantes en programas educativos evaluables,,,,
122 Estudiantes en PEC -34 - 2024-2025 - CUGUADALAJARA - Pregrado - Estudiantes en programas educativos evaluables,34,2024-2025,CUGUADALAJARA,Pregrado,Estudiantes en programas educativos evaluables,2495,798,1697,
122 Estudiantes en PEC -1 - 2024-2025 - CUCEA - Posgrado - Estudiantes en programas educativos de calidad,35,2024-2025,CUCEA,Posgrado,Estudiantes en programas educativos de calidad,683,357,326,
122 Estudiantes en PEC -2 - 2024-2025 - CUCEI - Posgrado - Estudiantes en programas educativos de calidad,36,2024-2025,CUCEI,Posgrado,Estudiantes en programas educativos de calidad,500,325,175,
122 Estudiantes en PEC -3 - 2024-2025 - CUCSH - Posgrado - Estudiantes en programas educativos de calidad,37,2024-2025,CUCSH,Posgrado,Estudiantes en programas educativos de calidad,441,192,249,
122 Estudiantes en PEC -4 - 2024-2025 - CUCS - Posgrado - Estudiantes en programas educativos de calidad,38,2024-2025,CUCS,Posgrado,Estudiantes en programas educativos de calidad,2147,1004,1143,
122 Estudiantes en PEC -5 - 2024-2025 - CUAAD - Posgrado - Estudiantes en programas educativos de calidad,39,2024-2025,CUAAD,Posgrado,Estudiantes en programas educativos de calidad,189,110,79,
122 Estudiantes en PEC -6 - 2024-2025 - CUCBA - Posgrado - Estudiantes en programas educativos de calidad,40,2024-2025,CUCBA,Posgrado,Estudiantes en programas educativos de calidad,171,79,92,
122 Estudiantes en PEC -7 - 2024-2025 - CUALTOS - Posgrado - Estudiantes en programas educativos de calidad,41,2024-2025,CUALTOS,Posgrado,Estudiantes en programas educativos de calidad,56,27,29,
122 Estudiantes en PEC -8 - 2024-2025 - CUCI NEGA - Posgrado - Estudiantes en programas educativos de calidad,42,2024-2025,CUCIÉNEGA,Posgrado,Estudiantes en programas educativos de calidad,10,5,5,
122 Estudiantes en PEC -9 - 2024-2025 - CUSUR - Posgrado - Estudiantes en programas educativos de calidad,43,2024-2025,CUSUR,Posgrado,Estudiantes en programas educativos de calidad,104,44,60,
122 Estudiantes en PEC -10 - 2024-2025 - CUCOSTA - Posgrado - Estudiantes en programas educativos de calidad,44,2024-2025,CUCOSTA,Posgrado,Estudiantes en programas educativos de calidad,83,36,47,
122 Estudiantes en PEC -11 - 2024-2025 - CUCOSTASUR - Posgrado - Estudiantes en programas educativos de calidad,45,2024-2025,CUCOSTASUR,Posgrado,Estudiantes en programas educativos de calidad,54,30,24,
