name,row,ciclo,entidad_universitaria,nivel_estudiante,por_total,por_hombres,por_mujeres,por_personas_nb,por_dif_total,por_dif_hombres,por_dif_mujeres,por_dif_personas_nb
123 Porcentaje en PEC -1 - 2018-2019 - CUCEA - Pregrado,1,2018-2019,CUCEA,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -2 - 2018-2019 - CUCEI - Pregrado,2,2018-2019,CUCEI,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -3 - 2018-2019 - CUCSH - Pregrado,3,2018-2019,CUCSH,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -4 - 2018-2019 - CUCS - Pregrado,4,2018-2019,CUCS,Pregrado,"98,88","98,69","98,99",,"1,12","1,31","1,01",
123 Porcentaje en PEC -5 - 2018-2019 - CUAAD - Pregrado,5,2018-2019,CUAAD,Pregrado,"92,90","94,34","91,76",,"7,10","5,66","8,24",
123 Porcentaje en PEC -6 - 2018-2019 - CUCBA - Pregrado,6,2018-2019,CUCBA,Pregrado,"91,01","91,42","90,61",,"8,99","8,58","9,39",
123 Porcentaje en PEC -7 - 2018-2019 - CUALTOS - Pregrado,7,2018-2019,CUALTOS,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -8 - 2018-2019 - CUCIÉNEGA - Pregrado,8,2018-2019,CUCIÉNEGA,Pregrado,"85,67","82,19","88,95",,"14,33","17,81","11,05",
123 Porcentaje en PEC -9 - 2018-2019 - CUSUR - Pregrado,9,2018-2019,CUSUR,Pregrado,"93,94","90,86","95,93",,"6,06","9,14","4,07",
123 Porcentaje en PEC -10 - 2018-2019 - CUCOSTA - Pregrado,10,2018-2019,CUCOSTA,Pregrado,"92,19","91,20","93,09",,"7,81","8,80","6,91",
123 Porcentaje en PEC -11 - 2018-2019 - CUCOSTASUR - Pregrado,11,2018-2019,CUCOSTASUR,Pregrado,"84,92","91,77","76,65",,"15,08","8,23","23,35",
123 Porcentaje en PEC -12 - 2018-2019 - CUVALLES - Pregrado,12,2018-2019,CUVALLES,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -13 - 2018-2019 - CUNORTE - Pregrado,13,2018-2019,CUNORTE,Pregrado,"98,32","98,43","98,24",,"1,68","1,57","1,76",
123 Porcentaje en PEC -14 - 2018-2019 - CULAGOS - Pregrado,14,2018-2019,CULAGOS,Pregrado,"67,08","67,87","66,39",,"32,92","32,13","33,61",
123 Porcentaje en PEC -15 - 2018-2019 - CUTONALÁ - Pregrado,15,2018-2019,CUTONALÁ,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
