name,row,ciclo,entidad_universitaria,nivel_estudiante,por_total,por_hombres,por_mujeres,por_personas_nb,por_dif_total,por_dif_hombres,por_dif_mujeres,por_dif_personas_nb
123 Porcentaje en PEC -1 - 2024-2025 - CUCEA - Pregrado,1,2024-2025,CUCEA,Pregrado,100.00,100.00,100.00,,0.00,0.00,0.00,
123 Porcentaje en PEC -2 - 2024-2025 - CUCEI - Pregrado,2,2024-2025,CUCEI,Pregrado,94.51,95.73,91.51,,5.49,4.27,8.49,
123 Porcentaje en PEC -3 - 2024-2025 - CUCSH - Pregrado,3,2024-2025,CUCSH,Pregrado,100.00,100.00,100.00,,0.00,0.00,0.00,
123 Porcentaje en PEC -4 - 2024-2025 - CUCS - Pregrado,4,2024-2025,CUCS,Pregrado,100.00,100.00,100.00,,0.00,0.00,0.00,
123 Porcentaje en PEC -5 - 2024-2025 - CUAAD - Pregrado,5,2024-2025,CUAAD,Pregrado,88.20,91.03,86.33,,11.80,8.97,13.67,
123 Porcentaje en PEC -6 - 2024-2025 - CUCBA - Pregrado,6,2024-2025,CUCBA,Pregrado,100.00,100.00,100.00,,0.00,0.00,0.00,
123 Porcentaje en PEC -7 - 2024-2025 - CUALTOS - Pregrado,7,2024-2025,CUALTOS,Pregrado,83.01,82.89,83.08,,16.99,17.11,16.92,
123 Porcentaje en PEC -8 - 2024-2025 - CUCIÉNEGA - Pregrado,8,2024-2025,CUCIÉNEGA,Pregrado,86.30,81.55,90.01,,13.70,18.45,9.99,
123 Porcentaje en PEC -9 - 2024-2025 - CUSUR - Pregrado,9,2024-2025,CUSUR,Pregrado,96.51,94.30,97.72,,3.49,5.70,2.28,
123 Porcentaje en PEC -10 - 2024-2025 - CUCOSTA - Pregrado,10,2024-2025,CUCOSTA,Pregrado,97.83,98.80,97.05,,2.17,1.20,2.95,
123 Porcentaje en PEC -11 - 2024-2025 - CUCOSTASUR - Pregrado,11,2024-2025,CUCOSTASUR,Pregrado,100.00,100.00,100.00,,0.00,0.00,0.00,
123 Porcentaje en PEC -12 - 2024-2025 - CUVALLES - Pregrado,12,2024-2025,CUVALLES,Pregrado,100.00,100.00,100.00,,0.00,0.00,0.00,
123 Porcentaje en PEC -13 - 2024-2025 - CUNORTE - Pregrado,13,2024-2025,CUNORTE,Pregrado,100.00,100.00,100.00,,0.00,0.00,0.00,
123 Porcentaje en PEC -14 - 2024-2025 - CULAGOS - Pregrado,14,2024-2025,CULAGOS,Pregrado,81.12,90.50,73.05,,18.88,9.50,26.95,
123 Porcentaje en PEC -15 - 2024-2025 - CUTONALÁ - Pregrado,15,2024-2025,CUTONALÁ,Pregrado,100.00,100.00,100.00,,0.00,0.00,0.00,
123 Porcentaje en PEC -16 - 2024-2025 - CUTLAJOMULCO - Pregrado,16,2024-2025,CUTLAJOMULCO,Pregrado,0.00,0.00,0.00,,100.00,100.00,100.00,
123 Porcentaje en PEC -17 - 2024-2025 - CUGUADALAJARA - Pregrado,17,2024-2025,CUGUADALAJARA,Pregrado,100.00,100.00,100.00,,0.00,0.00,0.00,
123 Porcentaje en PEC -18 - 2024-2025 - CUCEA - Posgrado,18,2024-2025,CUCEA,Posgrado,76.83,73.01,81.50,,23.17,26.99,18.50,
123 Porcentaje en PEC -19 - 2024-2025 - CUCEI - Posgrado,19,2024-2025,CUCEI,Posgrado,77.28,74.71,82.55,,22.72,25.29,17.45,
123 Porcentaje en PEC -20 - 2024-2025 - CUCSH - Posgrado,20,2024-2025,CUCSH,Posgrado,90.74,92.31,89.57,,9.26,7.69,10.43,
123 Porcentaje en PEC -21 - 2024-2025 - CUCS - Posgrado,21,2024-2025,CUCS,Posgrado,62.80,66.40,59.94,,37.20,33.60,40.06,
123 Porcentaje en PEC -22 - 2024-2025 - CUAAD - Posgrado,22,2024-2025,CUAAD,Posgrado,75.60,78.57,71.82,,24.40,21.43,28.18,
123 Porcentaje en PEC -23 - 2024-2025 - CUCBA - Posgrado,23,2024-2025,CUCBA,Posgrado,95.00,91.86,97.87,,5.00,8.14,2.13,
123 Porcentaje en PEC -24 - 2024-2025 - CUALTOS - Posgrado,24,2024-2025,CUALTOS,Posgrado,40.00,49.09,34.12,,60.00,50.91,65.88,
123 Porcentaje en PEC -25 - 2024-2025 - CUCIÉNEGA - Posgrado,25,2024-2025,CUCIÉNEGA,Posgrado,16.13,16.13,16.13,,83.87,83.87,83.87,
123 Porcentaje en PEC -26 - 2024-2025 - CUSUR - Posgrado,26,2024-2025,CUSUR,Posgrado,38.24,36.07,40.00,,61.76,63.93,60.00,
123 Porcentaje en PEC -27 - 2024-2025 - CUCOSTA - Posgrado,27,2024-2025,CUCOSTA,Posgrado,39.90,40.00,39.83,,60.10,60.00,60.17,
123 Porcentaje en PEC -28 - 2024-2025 - CUCOSTASUR - Posgrado,28,2024-2025,CUCOSTASUR,Posgrado,26.73,28.57,24.74,,73.27,71.43,75.26,
123 Porcentaje en PEC -29 - 2024-2025 - CUVALLES - Posgrado,29,2024-2025,CUVALLES,Posgrado,60.39,59.55,61.54,,39.61,40.45,38.46,
123 Porcentaje en PEC -30 - 2024-2025 - CUNORTE - Posgrado,30,2024-2025,CUNORTE,Posgrado,0.00,0.00,0.00,,100.00,100.00,100.00,
123 Porcentaje en PEC -31 - 2024-2025 - CULAGOS - Posgrado,31,2024-2025,CULAGOS,Posgrado,56.52,56.25,57.14,,43.48,43.75,42.86,
123 Porcentaje en PEC -32 - 2024-2025 - CUTONALÁ - Posgrado,32,2024-2025,CUTONALÁ,Posgrado,30.60,28.79,33.00,,69.40,71.21,67.00,
123 Porcentaje en PEC -33 - 2024-2025 - CUGUADALAJARA - Posgrado,33,2024-2025,CUGUADALAJARA,Posgrado,32.29,26.25,37.37,,,,,
