name,row,ciclo,nivel_estudiante,cve_plantel,entidad_universitaria,nombre_corto,cve_programa,nivel_educativo,programa_educativo,total,hombres,mujeres,personas_nb
124 Estudiantes en PEC por programa -1 - 2018-2019 - CUCEA - Licenciatura - Administración,1,2018-2019,Pregrado,14USU0120N,CUCEA,CUCEA,5042000002,Licenciatura,Administración,2856,1378,1478,
124 Estudiantes en PEC por programa -2 - 2018-2019 - CUCEA - Licenciatura - Administración Financiera y Sistemas,2,2018-2019,Pregrado,14USU0120N,CUCEA,CUCEA,5041300007,Licenciatura,Administración Financiera y Sistemas,1432,823,609,
124 Estudiantes en PEC por programa -3 - 2018-2019 - CUCEA - Licenciatura - Administración Gubernamental y Políticas Públicas,3,2018-2019,Pregrado,14USU0120N,CUCEA,CUCEA,5042300027,Licenciatura,Administración Gubernamental y Políticas Públicas,569,344,225,
124 Estudiantes en PEC por programa -4 - 2018-2019 - CUCEA - Licenciatura - Contaduría Pública,4,2018-2019,Pregrado,14USU0120N,CUCEA,CUCEA,5041400032,Licenciatura,Contaduría Pública,3291,1562,1729,
124 Estudiantes en PEC por programa -5 - 2018-2019 - CUCEA - Licenciatura - Economía,5,2018-2019,Pregrado,14USU0120N,CUCEA,CUCEA,5031400003,Licenciatura,Economía,599,422,177,
124 Estudiantes en PEC por programa -6 - 2018-2019 - CUCEA - Licenciatura - Gestión y Economía Ambiental,6,2018-2019,Pregrado,14USU0120N,CUCEA,CUCEA,5051300020,Licenciatura,Gestión y Economía Ambiental,338,126,212,
124 Estudiantes en PEC por programa -7 - 2018-2019 - CUCEA - Licenciatura - Mercadotecnia,7,2018-2019,Pregrado,14USU0120N,CUCEA,CUCEA,5041200028,Licenciatura,Mercadotecnia,2381,1096,1285,
124 Estudiantes en PEC por programa -8 - 2018-2019 - CUCEA - Licenciatura - Negocios Internacionales,8,2018-2019,Pregrado,14USU0120N,CUCEA,CUCEA,5041100056,Licenciatura,Negocios Internacionales,3279,1413,1866,
124 Estudiantes en PEC por programa -9 - 2018-2019 - CUCEA - Licenciatura - Recursos Humanos,9,2018-2019,Pregrado,14USU0120N,CUCEA,CUCEA,5042100117,Licenciatura,Recursos Humanos,1068,211,857,
124 Estudiantes en PEC por programa -10 - 2018-2019 - CUCEA - Licenciatura - Tecnologías de la Información,10,2018-2019,Pregrado,14USU0120N,CUCEA,CUCEA,5062200082,Licenciatura,Tecnologías de la Información,548,435,113,
124 Estudiantes en PEC por programa -11 - 2018-2019 - CUCEA - Licenciatura - Turismo,11,2018-2019,Pregrado,14USU0120N,CUCEA,CUCEA,5101600013,Licenciatura,Turismo,1591,394,1197,
124 Estudiantes en PEC por programa -12 - 2019-2020 - CUCEA - Licenciatura - Administración,12,2019-2020,Pregrado,14USU0120N,CUCEA,CUCEA,5042000002,Licenciatura,Administración,2816,1360,1456,
124 Estudiantes en PEC por programa -13 - 2019-2020 - CUCEA - Licenciatura - Administración Financiera y Sistemas,13,2019-2020,Pregrado,14USU0120N,CUCEA,CUCEA,5041300007,Licenciatura,Administración Financiera y Sistemas,1621,905,716,
124 Estudiantes en PEC por programa -14 - 2019-2020 - CUCEA - Licenciatura - Administración Gubernamental y Políticas Públicas,14,2019-2020,Pregrado,14USU0120N,CUCEA,CUCEA,5042300027,Licenciatura,Administración Gubernamental y Políticas Públicas,550,336,214,
124 Estudiantes en PEC por programa -15 - 2019-2020 - CUCEA - Licenciatura - Contaduría Pública,15,2019-2020,Pregrado,14USU0120N,CUCEA,CUCEA,5041400032,Licenciatura,Contaduría Pública,3303,1562,1741,
124 Estudiantes en PEC por programa -16 - 2019-2020 - CUCEA - Licenciatura - Economía,16,2019-2020,Pregrado,14USU0120N,CUCEA,CUCEA,5031400003,Licenciatura,Economía,628,443,185,
124 Estudiantes en PEC por programa -17 - 2019-2020 - CUCEA - Licenciatura - Gestión y Economía Ambiental,17,2019-2020,Pregrado,14USU0120N,CUCEA,CUCEA,5051300020,Licenciatura,Gestión y Economía Ambiental,329,111,218,
124 Estudiantes en PEC por programa -18 - 2019-2020 - CUCEA - Licenciatura - Mercadotecnia,18,2019-2020,Pregrado,14USU0120N,CUCEA,CUCEA,5041200028,Licenciatura,Mercadotecnia,2337,1073,1264,
124 Estudiantes en PEC por programa -19 - 2019-2020 - CUCEA - Licenciatura - Negocios Internacionales,19,2019-2020,Pregrado,14USU0120N,CUCEA,CUCEA,5041100056,Licenciatura,Negocios Internacionales,3442,1483,1959,
124 Estudiantes en PEC por programa -20 - 2019-2020 - CUCEA - Licenciatura - Recursos Humanos,20,2019-2020,Pregrado,14USU0120N,CUCEA,CUCEA,5042100117,Licenciatura,Recursos Humanos,1109,211,898,
124 Estudiantes en PEC por programa -21 - 2019-2020 - CUCEA - Licenciatura - Tecnologías de la Información,21,2019-2020,Pregrado,14USU0120N,CUCEA,CUCEA,5062200082,Licenciatura,Tecnologías de la Información,563,432,131,
124 Estudiantes en PEC por programa -22 - 2019-2020 - CUCEA - Licenciatura - Turismo,22,2019-2020,Pregrado,14USU0120N,CUCEA,CUCEA,5101600013,Licenciatura,Turismo,1488,366,1122,
124 Estudiantes en PEC por programa -23 - 2020-2021 - CUCEA - Licenciatura - Administración,23,2020-2021,Pregrado,14USU0120N,CUCEA,CUCEA,5042000002,Licenciatura,Administración,2897,1372,1525,
124 Estudiantes en PEC por programa -24 - 2020-2021 - CUCEA - Licenciatura - Administración Financiera y Sistemas,24,2020-2021,Pregrado,14USU0120N,CUCEA,CUCEA,5041300007,Licenciatura,Administración Financiera y Sistemas,1860,1032,828,
124 Estudiantes en PEC por programa -25 - 2020-2021 - CUCEA - Licenciatura - Administración Gubernamental y Políticas Públicas,25,2020-2021,Pregrado,14USU0120N,CUCEA,CUCEA,5042300027,Licenciatura,Administración Gubernamental y Políticas Públicas,575,336,239,
124 Estudiantes en PEC por programa -26 - 2020-2021 - CUCEA - Licenciatura - Contaduría Pública,26,2020-2021,Pregrado,14USU0120N,CUCEA,CUCEA,5041400032,Licenciatura,Contaduría Pública,3468,1590,1878,
124 Estudiantes en PEC por programa -27 - 2020-2021 - CUCEA - Licenciatura - Economía,27,2020-2021,Pregrado,14USU0120N,CUCEA,CUCEA,5031400003,Licenciatura,Economía,663,460,203,
124 Estudiantes en PEC por programa -28 - 2020-2021 - CUCEA - Licenciatura - Gestión y Economía Ambiental,28,2020-2021,Pregrado,14USU0120N,CUCEA,CUCEA,5051300020,Licenciatura,Gestión y Economía Ambiental,345,118,227,
124 Estudiantes en PEC por programa -29 - 2020-2021 - CUCEA - Licenciatura - Mercadotecnia,29,2020-2021,Pregrado,14USU0120N,CUCEA,CUCEA,5041200028,Licenciatura,Mercadotecnia,2364,1040,1324,
