name,row,anio,calendario,nivel_educativo,entidad_universitaria,aspirantes_t,aspirantes_h,aspirantes_m,aspirantes_nb,admitidos_t,admitidos_h,admitidos_m,admitidos_nb,no_admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,por_admision
13 Admisión - 1 2019A Bachillerato General SEMS,1,2019,A,Bachillerato General,SEMS,33074,16526,16548,,19951,9654,10297,,13123,6872,6251,,60.32230755
13 Admisión - 2 2019A Bachillerato General SUV,2,2019,A,Bachillerato General,SUV,213,86,127,,64,21,43,,149,65,84,,30.04694836
13 Admisión - 3 2019A Bachillerato Tecnológico SEMS,3,2019,A,Bachillerato Tecnológico,SEMS,2966,1664,1302,,2133,1161,972,,833,503,330,,71.91503709
13 Admisión - 4 2019A Bachillerato Tecnológico CUAAD,4,2019,A,Bachillerato Tecnológico,CUAAD,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 5 2019A Bachillerato Tecnológico CUCS,5,2019,A,Bachillerato Tecnológico,CUCS,417,117,300,,198,56,142,,219,61,158,,47.48201439
13 Admisión - 6 2019A Bachillerato Tecnológico CUSUR,6,2019,A,Bachillerato Tecnológico,CUSUR,98,27,71,,67,15,52,,31,12,19,,68.36734694
13 Admisión - 7 2019A Técnico Superior Universitario CUCS,7,2019,A,Técnico Superior Universitario,CUCS,963,388,575,,311,119,192,,652,269,383,,32.29491173
13 Admisión - 8 2019A Técnico Superior Universitario CUCOSTASUR,8,2019,A,Técnico Superior Universitario,CUCOSTASUR,70,67,3,,57,57,0,,13,10,3,,81.42857143
13 Admisión - 9 2019A Licenciatura CUCEA,9,2019,A,Licenciatura,CUCEA,7658,3743,3915,,2746,1335,1411,,4912,2408,2504,,35.85792635
13 Admisión - 10 2019A Licenciatura CUCEI,10,2019,A,Licenciatura,CUCEI,7042,5057,1985,,2182,1594,588,,4860,3463,1397,,30.98551548
13 Admisión - 11 2019A Licenciatura CUCSH,11,2019,A,Licenciatura,CUCSH,5146,2042,3104,,1522,647,875,,3624,1395,2229,,29.57637
13 Admisión - 12 2019A Licenciatura CUCS,12,2019,A,Licenciatura,CUCS,9751,3185,6566,,1548,506,1042,,8203,2679,5524,,15.87529484
13 Admisión - 13 2019A Licenciatura CUAAD,13,2019,A,Licenciatura,CUAAD,4476,2134,2342,,908,377,531,,3568,1757,1811,,20.28596962
13 Admisión - 14 2019A Licenciatura CUCBA,14,2019,A,Licenciatura,CUCBA,2027,951,1076,,897,424,473,,1130,527,603,,44.25259003
13 Admisión - 15 2019A Licenciatura CUALTOS,15,2019,A,Licenciatura,CUALTOS,1562,550,1012,,420,147,273,,1142,403,739,,26.88860435
13 Admisión - 16 2019A Licenciatura CUCIÉNEGA,16,2019,A,Licenciatura,CUCIÉNEGA,1405,707,698,,847,427,420,,558,280,278,,60.28469751
13 Admisión - 17 2019A Licenciatura CUSUR,17,2019,A,Licenciatura,CUSUR,2314,935,1379,,858,340,518,,1456,595,861,,37.07865169
13 Admisión - 18 2019A Licenciatura CUCOSTA,18,2019,A,Licenciatura,CUCOSTA,1811,851,960,,943,474,469,,868,377,491,,52.07067918
13 Admisión - 19 2019A Licenciatura CUCOSTASUR,19,2019,A,Licenciatura,CUCOSTASUR,888,443,445,,550,281,269,,338,162,176,,61.93693694
13 Admisión - 20 2019A Licenciatura CUVALLES,20,2019,A,Licenciatura,CUVALLES,1211,534,677,,549,274,275,,662,260,402,,45.33443435
13 Admisión - 21 2019A Licenciatura CUNORTE,21,2019,A,Licenciatura,CUNORTE,418,173,245,,312,138,174,,106,35,71,,74.64114833
13 Admisión - 22 2019A Licenciatura CULAGOS,22,2019,A,Licenciatura,CULAGOS,653,302,351,,365,175,190,,288,127,161,,55.89586524
13 Admisión - 23 2019A Licenciatura CUTONALÁ,23,2019,A,Licenciatura,CUTONALÁ,4433,1881,2552,,1049,504,545,,3384,1377,2007,,23.66343334
13 Admisión - 24 2019A Licenciatura SUV,24,2019,A,Licenciatura,SUV,1469,683,786,,623,260,363,,846,423,423,,42.40980259
13 Admisión - 25 2019A Especialidad CUCBA,25,2019,A,Especialidad,CUCBA,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 26 2019A Especialidad CUCS,26,2019,A,Especialidad,CUCS,1325,658,667,,1086,534,552,,239,124,115,,81.96226415
13 Admisión - 27 2019A Especialidad CUALTOS,27,2019,A,Especialidad,CUALTOS,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 28 2019A Especialidad CUCOSTA,28,2019,A,Especialidad,CUCOSTA,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 29 2019A Especialidad CUTONALÁ,29,2019,A,Especialidad,CUTONALÁ,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 30 2019A Especialidad CUSUR,30,2019,A,Especialidad,CUSUR,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 31 2019A Maestría CUCEA,31,2019,A,Maestría,CUCEA,352,187,165,,216,113,103,,136,74,62,,61.36363636
13 Admisión - 32 2019A Maestría CUCEI,32,2019,A,Maestría,CUCEI,86,65,21,,51,39,12,,35,26,9,,59.30232558
13 Admisión - 33 2019A Maestría CUCSH,33,2019,A,Maestría,CUCSH,96,64,32,,68,45,23,,28,19,9,,70.83333333
13 Admisión - 34 2019A Maestría CUCS,34,2019,A,Maestría,CUCS,152,42,110,,112,34,78,,40,8,32,,73.68421053
13 Admisión - 35 2019A Maestría CUAAD,35,2019,A,Maestría,CUAAD,102,41,61,,57,27,30,,45,14,31,,55.88235294
13 Admisión - 36 2019A Maestría CUCBA,36,2019,A,Maestría,CUCBA,33,19,14,,20,13,7,,13,6,7,,60.60606061
13 Admisión - 37 2019A Maestría CUALTOS,37,2019,A,Maestría,CUALTOS,33,18,15,,23,13,10,,10,5,5,,69.6969697
13 Admisión - 38 2019A Maestría CUCIÉNEGA,38,2019,A,Maestría,CUCIÉNEGA,11,7,4,,8,4,4,,3,3,0,,72.72727273
13 Admisión - 39 2019A Maestría CUSUR,39,2019,A,Maestría,CUSUR,42,16,26,,29,12,17,,13,4,9,,69.04761905
13 Admisión - 40 2019A Maestría CUCOSTA,40,2019,A,Maestría,CUCOSTA,6,5,1,,3,2,1,,3,3,0,,50
13 Admisión - 41 2019A Maestría CUCOSTASUR,41,2019,A,Maestría,CUCOSTASUR,14,6,8,,12,6,6,,2,0,2,,85.71428571
13 Admisión - 42 2019A Maestría CUVALLES,42,2019,A,Maestría,CUVALLES,13,3,10,,9,1,8,,4,2,2,,69.23076923
13 Admisión - 43 2019A Maestría CUNORTE,43,2019,A,Maestría,CUNORTE,51,25,26,,45,23,22,,6,2,4,,88.23529412
13 Admisión - 44 2019A Maestría CULAGOS,44,2019,A,Maestría,CULAGOS,5,5,0,,3,3,0,,2,2,0,,60
13 Admisión - 45 2019A Maestría CUTONALÁ,45,2019,A,Maestría,CUTONALÁ,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 46 2019A Maestría SUV,46,2019,A,Maestría,SUV,185,116,69,,74,41,33,,111,75,36,,40
13 Admisión - 47 2019A Doctorado CUCEA,47,2019,A,Doctorado,CUCEA,8,5,3,,5,4,1,,3,1,2,,62.5
13 Admisión - 48 2019A Doctorado CUCEI,48,2019,A,Doctorado,CUCEI,38,24,14,,27,17,10,,11,7,4,,71.05263158
13 Admisión - 49 2019A Doctorado CUCSH,49,2019,A,Doctorado,CUCSH,17,8,9,,16,7,9,,1,1,0,,94.11764706
13 Admisión - 50 2019A Doctorado CUCS,50,2019,A,Doctorado,CUCS,127,53,74,,66,32,34,,61,21,40,,51.96850394
13 Admisión - 51 2019A Doctorado CUAAD,51,2019,A,Doctorado,CUAAD,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 52 2019A Doctorado CUCBA,52,2019,A,Doctorado,CUCBA,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 53 2019A Doctorado CUALTOS,53,2019,A,Doctorado,CUALTOS,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 54 2019A Doctorado CUCIÉNEGA,54,2019,A,Doctorado,CUCIÉNEGA,12,7,5,,9,6,3,,3,1,2,,75
13 Admisión - 55 2019A Doctorado CUSUR,55,2019,A,Doctorado,CUSUR,13,3,10,,12,3,9,,1,0,1,,92.30769231
13 Admisión - 56 2019A Doctorado CUCOSTA,56,2019,A,Doctorado,CUCOSTA,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 57 2019A Doctorado CUCOSTASUR,57,2019,A,Doctorado,CUCOSTASUR,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 58 2019A Doctorado CUVALLES,58,2019,A,Doctorado,CUVALLES,2,2,0,,1,1,0,,1,1,0,,50
13 Admisión - 59 2019A Doctorado CUNORTE,59,2019,A,Doctorado,CUNORTE,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 60 2019A Doctorado CULAGOS,60,2019,A,Doctorado,CULAGOS,9,4,5,,2,2,0,,7,2,5,,22.22222222
13 Admisión - 61 2019A Doctorado CUTONALÁ,61,2019,A,Doctorado,CUTONALÁ,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 62 2019A Doctorado SUV,62,2019,A,Doctorado,SUV,0,0,0,,0,0,0,,0,0,0,,0
