name,row,anio,calendario,nivel_educativo,entidad_universitaria,aspirantes_t,aspirantes_h,aspirantes_m,aspirantes_nb,admitidos_t,admitidos_h,admitidos_m,admitidos_nb,no_admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,por_admision
13 Admisión - 1 2021A Bachillerato General SEMS,1,2021,A,Bachillerato General,SEMS,26538,15040,11498,,21711,11921,9790,,4827,3119,1708,,81.81098802
13 Admisión - 2 2021A Bachillerato General SUV,2,2021,A,Bachillerato General,SUV,514,230,284,,113,41,72,,401,189,212,,21.9844358
13 Admisión - 3 2021A Bachillerato Tecnológico SEMS,3,2021,A,Bachillerato Tecnológico,SEMS,2061,1321,740,,2046,1316,730,,15,5,10,,99.27219796
13 Admisión - 4 2021A Bachillerato Tecnológico CUAAD,4,2021,A,Bachillerato Tecnológico,CUAAD,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 5 2021A Bachillerato Tecnológico CUCS,5,2021,A,Bachillerato Tecnológico,CUCS,404,122,282,,183,57,126,,221,65,156,,45.2970297
13 Admisión - 6 2021A Bachillerato Tecnológico CUSUR,6,2021,A,Bachillerato Tecnológico,CUSUR,42,11,31,,22,6,16,,20,5,15,,52.38095238
13 Admisión - 7 2021A Técnico Superior Universitario CUCS,7,2021,A,Técnico Superior Universitario,CUCS,1083,411,672,,320,95,225,,763,316,447,,29.54755309
13 Admisión - 8 2021A Técnico Superior Universitario CUCOSTASUR,8,2021,A,Técnico Superior Universitario,CUCOSTASUR,47,40,7,,25,25,0,,22,15,7,,53.19148936
13 Admisión - 9 2021A Licenciatura CUCEA,9,2021,A,Licenciatura,CUCEA,7717,3781,3936,,2890,1192,1698,,4827,2589,2238,,37.44978619
13 Admisión - 10 2021A Licenciatura CUCEI,10,2021,A,Licenciatura,CUCEI,6654,4570,2084,,2288,1503,785,,4366,3067,1299,,34.38533213
13 Admisión - 11 2021A Licenciatura CUCSH,11,2021,A,Licenciatura,CUCSH,3990,1503,2487,,1500,499,1001,,2490,1004,1486,,37.59398496
13 Admisión - 12 2021A Licenciatura CUCS,12,2021,A,Licenciatura,CUCS,9897,2902,6995,,1521,358,1163,,8376,2544,5832,,15.36829342
13 Admisión - 13 2021A Licenciatura CUAAD,13,2021,A,Licenciatura,CUAAD,5289,2355,2934,,933,335,598,,4356,2020,2336,,17.64038571
13 Admisión - 14 2021A Licenciatura CUCBA,14,2021,A,Licenciatura,CUCBA,1998,844,1154,,807,342,465,,1191,502,689,,40.39039039
13 Admisión - 15 2021A Licenciatura CUALTOS,15,2021,A,Licenciatura,CUALTOS,1500,522,978,,456,123,333,,1044,399,645,,30.4
13 Admisión - 16 2021A Licenciatura CUCIÉNEGA,16,2021,A,Licenciatura,CUCIÉNEGA,1304,647,657,,845,401,444,,459,246,213,,64.8006135
13 Admisión - 17 2021A Licenciatura CUSUR,17,2021,A,Licenciatura,CUSUR,2317,907,1410,,918,340,578,,1399,567,832,,39.62019853
13 Admisión - 18 2021A Licenciatura CUCOSTA,18,2021,A,Licenciatura,CUCOSTA,1827,763,1064,,865,376,489,,962,387,575,,47.34537493
13 Admisión - 19 2021A Licenciatura CUCOSTASUR,19,2021,A,Licenciatura,CUCOSTASUR,644,287,357,,469,206,263,,175,81,94,,72.82608696
13 Admisión - 20 2021A Licenciatura CUVALLES,20,2021,A,Licenciatura,CUVALLES,1070,383,687,,550,211,339,,520,172,348,,51.40186916
13 Admisión - 21 2021A Licenciatura CUNORTE,21,2021,A,Licenciatura,CUNORTE,441,179,262,,321,122,199,,120,57,63,,72.78911565
13 Admisión - 22 2021A Licenciatura CULAGOS,22,2021,A,Licenciatura,CULAGOS,550,211,339,,319,120,199,,231,91,140,,58
13 Admisión - 23 2021A Licenciatura CUTONALÁ,23,2021,A,Licenciatura,CUTONALÁ,4431,1885,2546,,1191,462,729,,3240,1423,1817,,26.8788084
13 Admisión - 24 2021A Licenciatura SUV,24,2021,A,Licenciatura,SUV,1754,829,925,,829,369,460,,925,460,465,,47.26339795
13 Admisión - 25 2021A Especialidad CUCBA,25,2021,A,Especialidad,CUCBA,22,18,4,,9,7,2,,13,11,2,,40.90909091
13 Admisión - 26 2021A Especialidad CUCS,26,2021,A,Especialidad,CUCS,1801,898,903,,1285,627,658,,516,271,245,,71.34925042
13 Admisión - 27 2021A Especialidad CUALTOS,27,2021,A,Especialidad,CUALTOS,35,21,14,,33,21,12,,2,0,2,,94.28571429
13 Admisión - 28 2021A Especialidad CUCOSTA,28,2021,A,Especialidad,CUCOSTA,24,9,15,,22,8,14,,2,1,1,,91.66666667
13 Admisión - 29 2021A Especialidad CUTONALÁ,29,2021,A,Especialidad,CUTONALÁ,16,10,6,,15,9,6,,1,1,0,,93.75
13 Admisión - 30 2021A Especialidad CUSUR,30,2021,A,Especialidad,CUSUR,20,7,13,,18,7,11,,2,0,2,,90
