name,row,anio,calendario,nivel_educativo,entidad_universitaria,aspirantes_t,aspirantes_h,aspirantes_m,aspirantes_nb,admitidos_t,admitidos_h,admitidos_m,admitidos_nb,no_admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,por_admision
13 Admisión - 1 2022B Bachillerato General SEMS,1,2022,B,Bachillerato General,SEMS,74778,35220,39558,,36324,16073,20251,,38454,19147,19307,,48.57578432
13 Admisión - 2 2022B Bachillerato General SUV,2,2022,B,Bachillerato General,SUV,305,134,171,,93,38,55,,212,96,116,,30.49180328
13 Admisión - 3 2022B Bachillerato Tecnológico SEMS,3,2022,B,Bachillerato Tecnológico,SEMS,6670,3571,3099,,3017,1536,1481,,3653,2035,1618,,45.23238381
13 Admisión - 4 2022B Bachillerato Tecnológico CUAAD,4,2022,B,Bachillerato Tecnológico,CUAAD,374,237,137,,120,77,43,,254,160,94,,32.0855615
13 Admisión - 5 2022B Bachillerato Tecnológico CUCS,5,2022,B,Bachillerato Tecnológico,CUCS,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 6 2022B Bachillerato Tecnológico CUSUR,6,2022,B,Bachillerato Tecnológico,CUSUR,84,15,69,,21,3,18,,63,12,51,,25
13 Admisión - 7 2022B Técnico Superior Universitario CUCS,7,2022,B,Técnico Superior Universitario,CUCS,758,308,450,,247,89,158,,511,219,292,,32.58575198
13 Admisión - 8 2022B Técnico Superior Universitario CUCOSTASUR,8,2022,B,Técnico Superior Universitario,CUCOSTASUR,86,80,6,,50,49,1,,36,31,5,,58.13953488
13 Admisión - 9 2022B Licenciatura CUCEA,9,2022,B,Licenciatura,CUCEA,9800,4568,5232,,2938,1349,1589,,6862,3219,3643,,29.97959184
13 Admisión - 10 2022B Licenciatura CUCEI,10,2022,B,Licenciatura,CUCEI,9699,6813,2886,,2326,1691,635,,7373,5122,2251,,23.9818538
13 Admisión - 11 2022B Licenciatura CUCSH,11,2022,B,Licenciatura,CUCSH,4976,1847,3129,,1452,524,928,,3524,1323,2201,,29.18006431
13 Admisión - 12 2022B Licenciatura CUCS,12,2022,B,Licenciatura,CUCS,17172,4943,12229,,1623,581,1042,,15549,4362,11187,,9.451432565
13 Admisión - 13 2022B Licenciatura CUAAD,13,2022,B,Licenciatura,CUAAD,7719,3057,4662,,867,357,510,,6852,2700,4152,,11.23202487
13 Admisión - 14 2022B Licenciatura CUCBA,14,2022,B,Licenciatura,CUCBA,3028,1323,1705,,841,396,445,,2187,927,1260,,27.77410832
13 Admisión - 15 2022B Licenciatura CUALTOS,15,2022,B,Licenciatura,CUALTOS,2763,982,1781,,578,222,356,,2185,760,1425,,20.91929063
13 Admisión - 16 2022B Licenciatura CUCIÉNEGA,16,2022,B,Licenciatura,CUCIÉNEGA,2299,941,1358,,820,365,455,,1479,576,903,,35.6676816
13 Admisión - 17 2022B Licenciatura CUSUR,17,2022,B,Licenciatura,CUSUR,3217,1148,2069,,871,333,538,,2346,815,1531,,27.07491452
13 Admisión - 18 2022B Licenciatura CUCOSTA,18,2022,B,Licenciatura,CUCOSTA,3177,1319,1858,,1075,507,568,,2102,812,1290,,33.8369531
13 Admisión - 19 2022B Licenciatura CUCOSTASUR,19,2022,B,Licenciatura,CUCOSTASUR,1143,527,616,,598,277,321,,545,250,295,,52.31846019
13 Admisión - 20 2022B Licenciatura CUVALLES,20,2022,B,Licenciatura,CUVALLES,1961,759,1202,,873,400,473,,1088,359,729,,44.51810301
13 Admisión - 21 2022B Licenciatura CUNORTE,21,2022,B,Licenciatura,CUNORTE,932,362,570,,654,257,397,,278,105,173,,70.17167382
