name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t
1 2020-2021 14USU0200Z 5092100006,1,2020-2021,14USU0200Z,5092100006,Escolarizada,5,23,,28,,,,0,,,,0
2 2020-2021 14USU0220M 5041100056,2,2020-2021,14USU0220M,5041100056,Escolarizada,22,43,,65,,,,0,,,,0
3 2020-2021 14USU0230T 6091341001,3,2020-2021,14USU0230T,6091341001,Escolarizada,4,5,,9,,,,0,,,,0
4 2020-2021 14USU0230T 6091345008,4,2020-2021,14USU0230T,6091345008,Escolarizada,1,2,,3,,,,0,,,,0
5 2020-2021 14USU0230T 7091325001,5,2020-2021,14USU0230T,7091325001,Escolarizada,8,10,,18,,,,0,,,,0
6 2020-2021 14USU0230T 7091345002,6,2020-2021,14USU0230T,7091345002,Escolarizada,3,10,,13,,,,0,,,,0
7 2020-2021 14USU0230T 8051100012,7,2020-2021,14USU0230T,8051100012,Escolarizada,7,7,,14,,,,0,,,,0
8 2020-2021 14USU0220M 5042000002,8,2020-2021,14USU0220M,5042000002,Escolarizada,2,45,,47,,,,0,,,,0
9 2020-2021 14USU0004X 5062200105,9,2020-2021,14USU0004X,5062200105,No escolarizada,46,11,,57,,,,2,,,,0
10 2020-2021 14USU0222K 5031100007,10,2020-2021,14USU0222K,5031100007,Escolarizada,11,21,,32,,,,0,,,,0
11 2020-2021 14USU0230T 6091313001,11,2020-2021,14USU0230T,6091313001,Escolarizada,2,0,,2,,,,0,,,,0
12 2020-2021 14USU0230T 4094100005,12,2020-2021,14USU0230T,4094100005,Escolarizada,30,107,,137,,,,1,,,,0
13 2020-2021 14USU0100Z 5022500008,13,2020-2021,14USU0100Z,5022500008,Escolarizada,23,30,,53,,,,1,,,,0
14 2020-2021 14USU0110G 5062100009,14,2020-2021,14USU0110G,5062100009,Escolarizada,248,33,,281,,,,1,,,,0
15 2020-2021 14USU0002Z 5041100021,15,2020-2021,14USU0002Z,5041100021,Escolarizada,9,4,,13,,,,0,,,,1
16 2020-2021 14USU0002Z 5041400032,16,2020-2021,14USU0002Z,5041400032,Escolarizada,5,19,,24,,,,0,,,,2
17 2020-2021 14USU0002Z 5042000002,17,2020-2021,14USU0002Z,5042000002,Escolarizada,3,9,,12,,,,0,,,,0
18 2020-2021 14USU0002Z 5062200073,18,2020-2021,14USU0002Z,5062200073,Escolarizada,6,2,,8,,,,0,,,,0
19 2020-2021 14USU0002Z 5071300009,19,2020-2021,14USU0002Z,5071300009,Escolarizada,30,1,,31,,,,0,,,,0
20 2020-2021 14USU0002Z 5092100006,20,2020-2021,14USU0002Z,5092100006,Escolarizada,36,104,,140,,,,0,,,,5
21 2020-2021 14USU0002Z 5031100007,21,2020-2021,14USU0002Z,5031100007,Escolarizada,24,65,,89,,,,0,,,,1
22 2020-2021 14USU0002Z 5031200004,22,2020-2021,14USU0002Z,5031200004,Escolarizada,1,2,,3,,,,0,,,,0
23 2020-2021 14USU0002Z 5033100003,23,2020-2021,14USU0002Z,5033100003,Escolarizada,13,15,,28,,,,0,,,,1
24 2020-2021 14USU0003Y 5031100007,24,2020-2021,14USU0003Y,5031100007,Escolarizada,26,110,,136,,,,0,,,,0
25 2020-2021 14USU0003Y 5031500010,25,2020-2021,14USU0003Y,5031500010,Escolarizada,5,76,,81,,,,0,,,,0
26 2020-2021 14USU0003Y 5033100003,26,2020-2021,14USU0003Y,5033100003,Escolarizada,30,27,,57,,,,0,,,,0
27 2020-2021 14USU0003Y 5041100021,27,2020-2021,14USU0003Y,5041100021,Escolarizada,19,10,,29,,,,0,,,,0
28 2020-2021 14USU0003Y 5041400032,28,2020-2021,14USU0003Y,5041400032,Escolarizada,32,57,,89,,,,0,,,,0
29 2020-2021 14USU0003Y 5042000002,29,2020-2021,14USU0003Y,5042000002,Escolarizada,18,32,,50,,,,0,,,,0
30 2020-2021 14USU0003Y 5062200055,30,2020-2021,14USU0003Y,5062200055,Escolarizada,3,0,,3,,,,0,,,,0
31 2020-2021 14USU0003Y 5062200073,31,2020-2021,14USU0003Y,5062200073,Escolarizada,16,1,,17,,,,0,,,,0
32 2020-2021 14USU0003Y 5062200082,32,2020-2021,14USU0003Y,5062200082,Escolarizada,15,11,,26,,,,0,,,,0
33 2020-2021 14USU0003Y 5071300014,33,2020-2021,14USU0003Y,5071300014,Escolarizada,32,2,,34,,,,0,,,,0
34 2020-2021 14USU0003Y 5071300091,34,2020-2021,14USU0003Y,5071300091,Escolarizada,1,0,,1,,,,0,,,,0
35 2020-2021 14USU0003Y 5092100006,35,2020-2021,14USU0003Y,5092100006,Escolarizada,2,46,,48,,,,0,,,,0
36 2020-2021 14USU0003Y 5094200006,36,2020-2021,14USU0003Y,5094200006,Escolarizada,4,20,,24,,,,0,,,,0
37 2020-2021 14USU0003Y 5101600013,37,2020-2021,14USU0003Y,5101600013,Escolarizada,3,18,,21,,,,0,,,,0
38 2020-2021 14USU0004X 5011500002,38,2020-2021,14USU0004X,5011500002,No escolarizada,4,14,,18,,,,0,,,,0
39 2020-2021 14USU0004X 5021000007,39,2020-2021,14USU0004X,5021000007,No escolarizada,11,27,,38,,,,0,,,,0
40 2020-2021 14USU0004X 5032100001,40,2020-2021,14USU0004X,5032100001,No escolarizada,3,0,,3,,,,0,,,,0
41 2020-2021 14USU0004X 5104100015,41,2020-2021,14USU0004X,5104100015,No escolarizada,10,6,,16,,,,0,,,,0
42 2020-2021 14USU0005W 5021000114,42,2020-2021,14USU0005W,5021000114,Escolarizada,31,51,,82,,,,0,,,,0
43 2020-2021 14USU0005W 5021200054,43,2020-2021,14USU0005W,5021200054,Escolarizada,11,47,,58,,,,0,,,,0
44 2020-2021 14USU0005W 5021200055,44,2020-2021,14USU0005W,5021200055,Escolarizada,22,33,,55,,,,0,,,,0
45 2020-2021 14USU0005W 5021400012,45,2020-2021,14USU0005W,5021400012,Escolarizada,12,9,,21,,,,0,,,,0
46 2020-2021 14USU0005W 5021700002,46,2020-2021,14USU0005W,5021700002,Escolarizada,43,74,,117,,,,0,,,,0
47 2020-2021 14USU0006V 5021300063,47,2020-2021,14USU0006V,5021300063,Escolarizada,30,12,,42,,,,0,,,,1
48 2020-2021 14USU0007U 5051100006,48,2020-2021,14USU0007U,5051100006,Escolarizada,12,14,,26,,,,0,,,,0
49 2020-2021 14USU0008T 5021000010,49,2020-2021,14USU0008T,5021000010,Escolarizada,3,6,,9,,,,0,,,,0
50 2020-2021 14USU0008T 5021600062,50,2020-2021,14USU0008T,5021600062,Escolarizada,2,9,,11,,,,0,,,,0
51 2020-2021 14USU0008T 5022500001,51,2020-2021,14USU0008T,5022500001,Escolarizada,1,4,,5,,,,0,,,,0
52 2020-2021 14USU0008T 5031500008,52,2020-2021,14USU0008T,5031500008,Escolarizada,8,25,,33,,,,0,,,,0
53 2020-2021 14USU0008T 5033100003,53,2020-2021,14USU0008T,5033100003,Escolarizada,61,78,,139,,,,0,,,,0
54 2020-2021 14USU0008T 5041400032,54,2020-2021,14USU0008T,5041400032,Escolarizada,45,65,,110,,,,0,,,,0
55 2020-2021 14USU0008T 5042100012,55,2020-2021,14USU0008T,5042100012,Escolarizada,26,38,,64,,,,0,,,,0
56 2020-2021 14USU0008T 5052200002,56,2020-2021,14USU0008T,5052200002,Escolarizada,48,18,,66,,,,0,,,,0
57 2020-2021 14USU0008T 5071200009,57,2020-2021,14USU0008T,5071200009,Escolarizada,25,4,,29,,,,0,,,,0
58 2020-2021 14USU0008T 5091100011,58,2020-2021,14USU0008T,5091100011,Escolarizada,84,78,,162,,,,0,,,,0
59 2020-2021 14USU0008T 5094200006,59,2020-2021,14USU0008T,5094200006,Escolarizada,2,51,,53,,,,0,,,,0
60 2020-2021 14USU0008T 5095600005,60,2020-2021,14USU0008T,5095600005,Escolarizada,8,20,,28,,,,0,,,,0
61 2020-2021 14USU0009S 5042000002,61,2020-2021,14USU0009S,5042000002,Escolarizada,8,20,,28,,,,0,,,,0
62 2020-2021 14USU0009S 5101600013,62,2020-2021,14USU0009S,5101600013,Escolarizada,4,10,,14,,,,0,,,,0
63 2020-2021 14USU0010H 5031200031,63,2020-2021,14USU0010H,5031200031,Escolarizada,13,16,,29,,,,0,,,,0
64 2020-2021 14USU0010H 5031300010,64,2020-2021,14USU0010H,5031300010,Escolarizada,32,25,,57,,,,0,,,,0
65 2020-2021 14USU0010H 5031300014,65,2020-2021,14USU0010H,5031300014,Escolarizada,18,53,,71,,,,0,,,,0
66 2020-2021 14USU0010H 5031500010,66,2020-2021,14USU0010H,5031500010,Escolarizada,19,312,,331,,,,1,,,,1
67 2020-2021 14USU0010H 5032100027,67,2020-2021,14USU0010H,5032100027,Escolarizada,5,7,,12,,,,0,,,,0
68 2020-2021 14USU0100Z 5033100003,68,2020-2021,14USU0100Z,5033100003,Escolarizada,403,366,,769,,,,0,,,,2
69 2020-2021 14USU0100Z 5052300015,69,2020-2021,14USU0100Z,5052300015,Escolarizada,15,13,,28,,,,0,,,,0
70 2020-2021 14USU0100Z 5012603011,70,2020-2021,14USU0100Z,5012603011,Escolarizada,4,15,,19,,,,0,,,,0
71 2020-2021 14USU0100Z 5012603027,71,2020-2021,14USU0100Z,5012603027,Escolarizada,18,25,,43,,,,0,,,,0
72 2020-2021 14USU0100Z 5022300022,72,2020-2021,14USU0100Z,5022300022,Escolarizada,16,32,,48,,,,0,,,,0
73 2020-2021 14USU0100Z 5022600002,73,2020-2021,14USU0100Z,5022600002,Escolarizada,24,10,,34,,,,0,,,,1
74 2020-2021 14USU0110G 5052200007,74,2020-2021,14USU0110G,5052200007,Escolarizada,35,56,,91,,,,0,,,,0
75 2020-2021 14USU0110G 5052200017,75,2020-2021,14USU0110G,5052200017,Escolarizada,3,1,,4,,,,0,,,,0
76 2020-2021 14USU0110G 5053100004,76,2020-2021,14USU0110G,5053100004,Escolarizada,18,13,,31,,,,0,,,,0
77 2020-2021 14USU0110G 5061000002,77,2020-2021,14USU0110G,5061000002,Escolarizada,166,27,,193,,,,0,,,,0
78 2020-2021 14USU0110G 5062200055,78,2020-2021,14USU0110G,5062200055,Escolarizada,126,30,,156,,,,0,,,,0
79 2020-2021 14USU0110G 5071000020,79,2020-2021,14USU0110G,5071000020,Escolarizada,77,50,,127,,,,1,,,,1
80 2020-2021 14USU0110G 5071200034,80,2020-2021,14USU0110G,5071200034,Escolarizada,3,1,,4,,,,0,,,,0
81 2020-2021 14USU0110G 5071300009,81,2020-2021,14USU0110G,5071300009,Escolarizada,247,15,,262,,,,1,,,,1
82 2020-2021 14USU0110G 5071300082,82,2020-2021,14USU0110G,5071300082,Escolarizada,31,4,,35,,,,1,,,,0
83 2020-2021 14USU0110G 5071400015,83,2020-2021,14USU0110G,5071400015,Escolarizada,181,115,,296,,,,0,,,,0
84 2020-2021 14USU0110G 5071700019,84,2020-2021,14USU0110G,5071700019,Escolarizada,225,126,,351,,,,0,,,,0
85 2020-2021 14USU0110G 5072100033,85,2020-2021,14USU0110G,5072100033,Escolarizada,51,74,,125,,,,0,,,,0
86 2020-2021 14USU0110G 5073200005,86,2020-2021,14USU0110G,5073200005,Escolarizada,240,55,,295,,,,0,,,,0
87 2020-2021 14USU0110G 5073200035,87,2020-2021,14USU0110G,5073200035,Escolarizada,50,17,,67,,,,0,,,,0
88 2020-2021 14USU0110G 5095400006,88,2020-2021,14USU0110G,5095400006,Escolarizada,105,218,,323,,,,1,,,,1
89 2020-2021 14USU0120N 5031400003,89,2020-2021,14USU0120N,5031400003,Escolarizada,37,37,,74,,,,0,,,,0
90 2020-2021 14USU0120N 5041100056,90,2020-2021,14USU0120N,5041100056,Escolarizada,182,289,,471,,,,0,,,,0
91 2020-2021 14USU0120N 5041200028,91,2020-2021,14USU0120N,5041200028,Escolarizada,144,227,,371,,,,0,,,,0
92 2020-2021 14USU0120N 5041300007,92,2020-2021,14USU0120N,5041300007,Escolarizada,70,78,,148,,,,0,,,,0
93 2020-2021 14USU0120N 5041400032,93,2020-2021,14USU0120N,5041400032,Escolarizada,224,279,,503,,,,1,,,,0
94 2020-2021 14USU0120N 5042000002,94,2020-2021,14USU0120N,5042000002,Escolarizada,197,276,,473,,,,1,,,,0
95 2020-2021 14USU0120N 5042100117,95,2020-2021,14USU0120N,5042100117,Escolarizada,24,91,,115,,,,0,,,,0
96 2020-2021 14USU0120N 5042300027,96,2020-2021,14USU0120N,5042300027,Escolarizada,45,28,,73,,,,0,,,,0
97 2020-2021 14USU0120N 5051300020,97,2020-2021,14USU0120N,5051300020,Escolarizada,12,35,,47,,,,0,,,,0
98 2020-2021 14USU0120N 5062200082,98,2020-2021,14USU0120N,5062200082,Escolarizada,60,17,,77,,,,0,,,,0
99 2020-2021 14USU0120N 5101600013,99,2020-2021,14USU0120N,5101600013,Escolarizada,47,168,,215,,,,0,,,,0
100 2020-2021 14USU0130U 5041100021,100,2020-2021,14USU0130U,5041100021,Escolarizada,25,8,,33,,,,0,,,,0
101 2020-2021 14USU0130U 5051100003,101,2020-2021,14USU0130U,5051100003,Escolarizada,115,156,,271,,,,0,,,,2
102 2020-2021 14USU0130U 5072100018,102,2020-2021,14USU0130U,5072100018,Escolarizada,16,42,,58,,,,0,,,,0
103 2020-2021 14USU0130U 5081300016,103,2020-2021,14USU0130U,5081300016,Escolarizada,199,71,,270,,,,0,,,,0
104 2020-2021 14USU0130U 5082100001,104,2020-2021,14USU0130U,5082100001,Escolarizada,154,242,,396,,,,0,,,,0
105 2020-2021 14USU0140A 5021500044,105,2020-2021,14USU0140A,5021500044,Escolarizada,106,211,,317,,,,1,,,,0
106 2020-2021 14USU0140A 5021600024,106,2020-2021,14USU0140A,5021600024,Escolarizada,14,66,,80,,,,0,,,,0
107 2020-2021 14USU0140A 5071100019,107,2020-2021,14USU0140A,5071100019,Escolarizada,75,101,,176,,,,0,,,,0
108 2020-2021 14USU0150H 5031100007,108,2020-2021,14USU0150H,5031100007,Escolarizada,8,46,,54,,,,0,,,,0
109 2020-2021 14USU0150H 5033100003,109,2020-2021,14USU0150H,5033100003,Escolarizada,9,12,,21,,,,0,,,,0
110 2020-2021 14USU0150H 5041400032,110,2020-2021,14USU0150H,5041400032,Escolarizada,11,22,,33,,,,0,,,,0
111 2020-2021 14USU0150H 5042000002,111,2020-2021,14USU0150H,5042000002,Escolarizada,14,33,,47,,,,0,,,,0
112 2020-2021 14USU0160O 5031100007,112,2020-2021,14USU0160O,5031100007,Escolarizada,26,92,,118,,,,0,,,,0
113 2020-2021 14USU0160O 5032100038,113,2020-2021,14USU0160O,5032100038,Escolarizada,2,11,,13,,,,0,,,,0
114 2020-2021 14USU0160O 5033100003,114,2020-2021,14USU0160O,5033100003,Escolarizada,10,16,,26,,,,0,,,,0
115 2020-2021 14USU0160O 5041100056,115,2020-2021,14USU0160O,5041100056,Escolarizada,23,48,,71,,,,0,,,,0
116 2020-2021 14USU0160O 5041200028,116,2020-2021,14USU0160O,5041200028,Escolarizada,22,33,,55,,,,0,,,,0
117 2020-2021 14USU0160O 5041400032,117,2020-2021,14USU0160O,5041400032,Escolarizada,21,34,,55,,,,0,,,,0
118 2020-2021 14USU0160O 5042000002,118,2020-2021,14USU0160O,5042000002,Escolarizada,17,37,,54,,,,0,,,,0
119 2020-2021 14USU0160O 5042100117,119,2020-2021,14USU0160O,5042100117,Escolarizada,15,54,,69,,,,2,,,,0
120 2020-2021 14USU0160O 5061000002,120,2020-2021,14USU0160O,5061000002,Escolarizada,33,7,,40,,,,0,,,,0
121 2020-2021 14USU0160O 5062200055,121,2020-2021,14USU0160O,5062200055,Escolarizada,28,7,,35,,,,1,,,,0
122 2020-2021 14USU0160O 5071400015,122,2020-2021,14USU0160O,5071400015,Escolarizada,22,25,,47,,,,0,,,,0
123 2020-2021 14USU0160O 5071700019,123,2020-2021,14USU0160O,5071700019,Escolarizada,24,8,,32,,,,0,,,,0
