name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t
1 2023-2024 14MMS0608W BGAI,1,2023-2024,14MMS0608W,BGAI,Escolarizada,16,13,,29,,,,0,,,,0
2 2023-2024 14MMS0608W BGC,2,2023-2024,14MMS0608W,BGC,Escolarizada,236,336,,572,,,,10,,,,0
3 2023-2024 14MMS0608W BGC,3,2023-2024,14MMS0608W,BGC,Escolarizada,196,376,,572,,,,6,,,,0
4 2023-2024 14MMS0609V BGAI,4,2023-2024,14MMS0609V,BGAI,Escolarizada,26,19,,45,,,,1,,,,0
5 2023-2024 14MMS0609V BGC,5,2023-2024,14MMS0609V,BGC,Escolarizada,117,237,,354,,,,5,,,,0
6 2023-2024 14MMS0609V BGC,6,2023-2024,14MMS0609V,BGC,Escolarizada,120,234,,354,,,,1,,,,0
7 2023-2024 14MMS0610K BGAI,7,2023-2024,14MMS0610K,BGAI,Escolarizada,14,14,,28,,,,2,,,,0
8 2023-2024 14MMS0610K BGC,8,2023-2024,14MMS0610K,BGC,Escolarizada,113,217,,330,,,,4,,,,0
9 2023-2024 14MMS0610K BGC,9,2023-2024,14MMS0610K,BGC,Escolarizada,138,191,,329,,,,7,,,,0
10 2023-2024 14MMS0611J BGAI,10,2023-2024,14MMS0611J,BGAI,Escolarizada,21,21,,42,,,,0,,,,0
11 2023-2024 14MMS0611J BGC,11,2023-2024,14MMS0611J,BGC,Escolarizada,150,285,,435,,,,8,,,,0
12 2023-2024 14MMS0611J BGC,12,2023-2024,14MMS0611J,BGC,Escolarizada,161,273,,434,,,,11,,,,1
13 2023-2024 14MMS0612I BGAI,13,2023-2024,14MMS0612I,BGAI,Escolarizada,16,13,,29,,,,2,,,,0
14 2023-2024 14MMS0612I BGC,14,2023-2024,14MMS0612I,BGC,Escolarizada,233,427,,660,,,,12,,,,1
15 2023-2024 14MMS0612I BGC,15,2023-2024,14MMS0612I,BGC,Escolarizada,233,426,,659,,,,13,,,,3
16 2023-2024 14MMS0613H BGC,16,2023-2024,14MMS0613H,BGC,Escolarizada,257,398,,655,,,,11,,,,2
17 2023-2024 14MMS0613H BGC,17,2023-2024,14MMS0613H,BGC,Escolarizada,258,397,,655,,,,15,,,,0
18 2023-2024 14MMS0761Q BGC,18,2023-2024,14MMS0761Q,BGC,Escolarizada,16,29,,45,,,,0,,,,0
19 2023-2024 14MMS0761Q BGC,19,2023-2024,14MMS0761Q,BGC,Escolarizada,25,19,,44,,,,0,,,,0
20 2023-2024 14MMS0647Y BGAI,20,2023-2024,14MMS0647Y,BGAI,Escolarizada,31,27,,58,,,,0,,,,0
21 2023-2024 14MMS0647Y BGC,21,2023-2024,14MMS0647Y,BGC,Escolarizada,153,239,,392,,,,6,,,,2
22 2023-2024 14MMS0647Y BGC,22,2023-2024,14MMS0647Y,BGC,Escolarizada,130,262,,392,,,,5,,,,0
23 2023-2024 14MMS0762P BGC,23,2023-2024,14MMS0762P,BGC,Escolarizada,4,17,,21,,,,0,,,,0
24 2023-2024 14MMS0762P BGC,24,2023-2024,14MMS0762P,BGC,Escolarizada,11,10,,21,,,,0,,,,0
25 2023-2024 14MMS0648X BGAI,25,2023-2024,14MMS0648X,BGAI,Escolarizada,0,0,,0,,,,0,,,,0
26 2023-2024 14MMS0648X BGC,26,2023-2024,14MMS0648X,BGC,Escolarizada,160,316,,476,,,,9,,,,0
27 2023-2024 14MMS0648X BGC,27,2023-2024,14MMS0648X,BGC,Escolarizada,174,301,,475,,,,5,,,,3
28 2023-2024 14MMS0649W BGAI,28,2023-2024,14MMS0649W,BGAI,Escolarizada,42,35,,77,,,,1,,,,0
29 2023-2024 14MMS0649W BGC,29,2023-2024,14MMS0649W,BGC,Escolarizada,230,387,,617,,,,9,,,,2
30 2023-2024 14MMS0649W BGC,30,2023-2024,14MMS0649W,BGC,Escolarizada,245,371,,616,,,,11,,,,4
31 2023-2024 14MMS0650L BGAI,31,2023-2024,14MMS0650L,BGAI,Escolarizada,42,24,,66,,,,2,,,,1
32 2023-2024 14MMS0650L BGC,32,2023-2024,14MMS0650L,BGC,Escolarizada,186,296,,482,,,,6,,,,0
33 2023-2024 14MMS0650L BGC,33,2023-2024,14MMS0650L,BGC,Escolarizada,189,293,,482,,,,9,,,,0
34 2023-2024 14MMS0646Z BGC,34,2023-2024,14MMS0646Z,BGC,Escolarizada,242,281,,523,,,,9,,,,1
35 2023-2024 14MMS0646Z BGC,35,2023-2024,14MMS0646Z,BGC,Escolarizada,247,276,,523,,,,13,,,,0
36 2023-2024 14MMS0640E BGC,36,2023-2024,14MMS0640E,BGC,Escolarizada,50,66,,116,,,,3,,,,0
37 2023-2024 14MMS0640E BGC,37,2023-2024,14MMS0640E,BGC,Escolarizada,37,79,,116,,,,7,,,,0
38 2023-2024 14MMS0615F BGAI,38,2023-2024,14MMS0615F,BGAI,Escolarizada,54,39,,93,,,,1,,,,0
39 2023-2024 14MMS0615F BGC,39,2023-2024,14MMS0615F,BGC,Escolarizada,139,247,,386,,,,9,,,,1
40 2023-2024 14MMS0615F BGC,40,2023-2024,14MMS0615F,BGC,Escolarizada,114,271,,385,,,,8,,,,1
41 2023-2024 14MMS0630Y BGAI,41,2023-2024,14MMS0630Y,BGAI,Escolarizada,15,9,,24,,,,1,,,,0
42 2023-2024 14MMS0630Y BGC,42,2023-2024,14MMS0630Y,BGC,Escolarizada,119,177,,296,,,,7,,,,0
43 2023-2024 14MMS0630Y BGC,43,2023-2024,14MMS0630Y,BGC,Escolarizada,122,173,,295,,,,5,,,,1
44 2023-2024 14MMS0631X BGC,44,2023-2024,14MMS0631X,BGC,Escolarizada,223,300,,523,,,,4,,,,2
45 2023-2024 14MMS0631X BGC,45,2023-2024,14MMS0631X,BGC,Escolarizada,196,326,,522,,,,5,,,,0
46 2023-2024 14MMS0636S BGC,46,2023-2024,14MMS0636S,BGC,Escolarizada,203,259,,462,,,,2,,,,2
47 2023-2024 14MMS0636S BGC,47,2023-2024,14MMS0636S,BGC,Escolarizada,207,255,,462,,,,10,,,,0
48 2023-2024 14MMS0752I BGAI,48,2023-2024,14MMS0752I,BGAI,Escolarizada,26,30,,56,,,,1,,,,0
49 2023-2024 14MMS0752I BGC,49,2023-2024,14MMS0752I,BGC,Escolarizada,79,169,,248,,,,6,,,,1
50 2023-2024 14MMS0752I BGC,50,2023-2024,14MMS0752I,BGC,Escolarizada,73,174,,247,,,,8,,,,0
51 2023-2024 14MMS0753H BGAI,51,2023-2024,14MMS0753H,BGAI,Escolarizada,23,18,,41,,,,0,,,,0
52 2023-2024 14MMS0753H BGC,52,2023-2024,14MMS0753H,BGC,Escolarizada,142,210,,352,,,,10,,,,1
53 2023-2024 14MMS0753H BGC,53,2023-2024,14MMS0753H,BGC,Escolarizada,132,219,,351,,,,7,,,,0
54 2023-2024 14MMS0757D BGAI,54,2023-2024,14MMS0757D,BGAI,Escolarizada,7,5,,12,,,,0,,,,0
55 2023-2024 14MMS0757D BGC,55,2023-2024,14MMS0757D,BGC,Escolarizada,147,206,,353,,,,5,,,,2
56 2023-2024 14MMS0757D BGC,56,2023-2024,14MMS0757D,BGC,Escolarizada,138,215,,353,,,,9,,,,2
57 2023-2024 14MMS0756E BGAI,57,2023-2024,14MMS0756E,BGAI,Escolarizada,12,3,,15,,,,1,,,,0
58 2023-2024 14MMS0756E BGC,58,2023-2024,14MMS0756E,BGC,Escolarizada,142,220,,362,,,,8,,,,4
59 2023-2024 14MMS0756E BGC,59,2023-2024,14MMS0756E,BGC,Escolarizada,159,203,,362,,,,5,,,,0
60 2023-2024 14MMS0878P BGC,60,2023-2024,14MMS0878P,BGC,Escolarizada,0,0,,0,,,,0,,,,0
61 2023-2024 14MMS0878P BGC,61,2023-2024,14MMS0878P,BGC,Escolarizada,0,0,,0,,,,0,,,,0
62 2023-2024 14MMS0844Z BGC,62,2023-2024,14MMS0844Z,BGC,Escolarizada,136,183,,319,,,,7,,,,1
63 2023-2024 14MMS0844Z BGC,63,2023-2024,14MMS0844Z,BGC,Escolarizada,136,182,,318,,,,7,,,,0
64 2023-2024 14MMS0607X BGAI,64,2023-2024,14MMS0607X,BGAI,Escolarizada,25,29,,54,,,,1,,,,0
65 2023-2024 14MMS0607X BGC,65,2023-2024,14MMS0607X,BGC,Escolarizada,136,225,,361,,,,6,,,,1
66 2023-2024 14MMS0607X BGC,66,2023-2024,14MMS0607X,BGC,Escolarizada,142,219,,361,,,,5,,,,0
67 2023-2024 14MMS0645Z BGAI,67,2023-2024,14MMS0645Z,BGAI,Escolarizada,45,30,,75,,,,5,,,,0
68 2023-2024 14MMS0645Z BGC,68,2023-2024,14MMS0645Z,BGC,Escolarizada,146,268,,414,,,,11,,,,1
69 2023-2024 14MMS0645Z BGC,69,2023-2024,14MMS0645Z,BGC,Escolarizada,148,265,,413,,,,8,,,,1
70 2023-2024 14MMS0623O BGAI,70,2023-2024,14MMS0623O,BGAI,Escolarizada,24,17,,41,,,,1,,,,0
71 2023-2024 14MMS0623O BGC,71,2023-2024,14MMS0623O,BGC,Escolarizada,180,296,,476,,,,14,,,,1
72 2023-2024 14MMS0623O BGC,72,2023-2024,14MMS0623O,BGC,Escolarizada,167,309,,476,,,,9,,,,1
73 2023-2024 14MMS0614G BGC,73,2023-2024,14MMS0614G,BGC,Escolarizada,242,452,,694,,,,13,,,,0
74 2023-2024 14MMS0614G BGC,74,2023-2024,14MMS0614G,BGC,Escolarizada,279,414,,693,,,,10,,,,1
75 2023-2024 14MMS0643B BGAI,75,2023-2024,14MMS0643B,BGAI,Escolarizada,0,0,,0,,,,0,,,,0
