name,row,ciclo,cve_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2022-2023 14MMS0608W BGAI,1,2022-2023,14MMS0608W,BGAI,Escolarizada,16,13,,29,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,1,0,,1,1,0,,1,1,2,,3
2 2022-2023 14MMS0608W BGC,2,2022-2023,14MMS0608W,BGC,Escolarizada,236,336,,572,,,,10,,,,0,,,,,,,,,,,,,8,16,,24,0,0,,0,2,0,,2,12,18,,30,2,6,,8
3 2022-2023 14MMS0608W BGC,3,2022-2023,14MMS0608W,BGC,Escolarizada,196,376,,572,,,,6,,,,0,,,,,,,,,,,,,17,16,,33,0,1,,1,0,0,,0,18,17,,35,1,1,,2
4 2022-2023 14MMS0609V BGAI,4,2022-2023,14MMS0609V,BGAI,Escolarizada,26,19,,45,,,,1,,,,0,,,,,,,,,,,,,1,1,,2,0,0,,0,0,0,,0,1,1,,2,0,0,,0
5 2022-2023 14MMS0609V BGC,5,2022-2023,14MMS0609V,BGC,Escolarizada,117,237,,354,,,,5,,,,0,,,,,,,,,,,,,7,2,,9,2,0,,2,1,0,,1,12,3,,15,3,1,,4
6 2022-2023 14MMS0609V BGC,6,2022-2023,14MMS0609V,BGC,Escolarizada,120,234,,354,,,,1,,,,0,,,,,,,,,,,,,6,13,,19,0,0,,0,0,0,,0,8,13,,21,0,0,,0
7 2022-2023 14MMS0610K BGAI,7,2022-2023,14MMS0610K,BGAI,Escolarizada,14,14,,28,,,,2,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
8 2022-2023 14MMS0610K BGC,8,2022-2023,14MMS0610K,BGC,Escolarizada,113,217,,330,,,,4,,,,0,,,,,,,,,,,,,6,7,,13,0,0,,0,0,0,,0,8,8,,16,0,1,,1
9 2022-2023 14MMS0610K BGC,9,2022-2023,14MMS0610K,BGC,Escolarizada,138,191,,329,,,,7,,,,0,,,,,,,,,,,,,3,8,,11,0,0,,0,0,0,,0,7,10,,17,1,2,,3
10 2022-2023 14MMS0611J BGAI,10,2022-2023,14MMS0611J,BGAI,Escolarizada,21,21,,42,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
11 2022-2023 14MMS0611J BGC,11,2022-2023,14MMS0611J,BGC,Escolarizada,150,285,,435,,,,8,,,,0,,,,,,,,,,,,,6,12,,18,0,0,,0,0,0,,0,8,13,,21,0,1,,1
12 2022-2023 14MMS0611J BGC,12,2022-2023,14MMS0611J,BGC,Escolarizada,161,273,,434,,,,11,,,,1,,,,,,,,,,,,,2,7,,9,2,0,,2,0,0,,0,4,8,,12,0,4,,4
13 2022-2023 14MMS0612I BGAI,13,2022-2023,14MMS0612I,BGAI,Escolarizada,16,13,,29,,,,2,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
14 2022-2023 14MMS0612I BGC,14,2022-2023,14MMS0612I,BGC,Escolarizada,233,427,,660,,,,12,,,,1,,,,,,,,,,,,,16,19,,35,0,2,,2,1,0,,1,20,25,,45,2,7,,9
15 2022-2023 14MMS0612I BGC,15,2022-2023,14MMS0612I,BGC,Escolarizada,233,426,,659,,,,13,,,,3,,,,,,,,,,,,,12,12,,24,0,1,,1,0,0,,0,14,18,,32,5,3,,8
16 2022-2023 14MMS0613H BGC,16,2022-2023,14MMS0613H,BGC,Escolarizada,257,398,,655,,,,11,,,,2,,,,,,,,,,,,,15,14,,29,1,0,,1,0,0,,0,23,23,,46,10,11,,21
17 2022-2023 14MMS0613H BGC,17,2022-2023,14MMS0613H,BGC,Escolarizada,258,397,,655,,,,15,,,,0,,,,,,,,,,,,,18,17,,35,0,0,,0,0,0,,0,33,28,,61,6,9,,15
18 2022-2023 14MMS0761Q BGC,18,2022-2023,14MMS0761Q,BGC,Escolarizada,16,29,,45,,,,0,,,,0,,,,,,,,,,,,,0,2,,2,0,0,,0,0,0,,0,0,2,,2,0,0,,0
19 2022-2023 14MMS0761Q BGC,19,2022-2023,14MMS0761Q,BGC,Escolarizada,25,19,,44,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,1,0,,1,0,0,,0,1,0,,1,0,0,,0
20 2022-2023 14MMS0647Y BGAI,20,2022-2023,14MMS0647Y,BGAI,Escolarizada,31,27,,58,,,,0,,,,0,,,,,,,,,,,,,1,0,,1,0,0,,0,0,0,,0,1,0,,1,1,0,,1
21 2022-2023 14MMS0647Y BGC,21,2022-2023,14MMS0647Y,BGC,Escolarizada,153,239,,392,,,,6,,,,2,,,,,,,,,,,,,16,6,,22,1,0,,1,0,0,,0,22,6,,28,3,3,,6
22 2022-2023 14MMS0647Y BGC,22,2022-2023,14MMS0647Y,BGC,Escolarizada,130,262,,392,,,,5,,,,0,,,,,,,,,,,,,8,8,,16,0,0,,0,0,0,,0,11,8,,19,0,0,,0
23 2022-2023 14MMS0762P BGC,23,2022-2023,14MMS0762P,BGC,Escolarizada,4,17,,21,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
24 2022-2023 14MMS0762P BGC,24,2022-2023,14MMS0762P,BGC,Escolarizada,11,10,,21,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
25 2022-2023 14MMS0648X BGAI,25,2022-2023,14MMS0648X,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
26 2022-2023 14MMS0648X BGC,26,2022-2023,14MMS0648X,BGC,Escolarizada,160,316,,476,,,,9,,,,0,,,,,,,,,,,,,11,17,,28,0,0,,0,0,0,,0,14,18,,32,3,3,,6
27 2022-2023 14MMS0648X BGC,27,2022-2023,14MMS0648X,BGC,Escolarizada,174,301,,475,,,,5,,,,3,,,,,,,,,,,,,9,15,,24,0,0,,0,0,0,,0,10,19,,29,2,3,,5
28 2022-2023 14MMS0649W BGAI,28,2022-2023,14MMS0649W,BGAI,Escolarizada,42,35,,77,,,,1,,,,0,,,,,,,,,,,,,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
29 2022-2023 14MMS0649W BGC,29,2022-2023,14MMS0649W,BGC,Escolarizada,230,387,,617,,,,9,,,,2,,,,,,,,,,,,,3,16,,19,0,0,,0,3,0,,3,10,18,,28,7,4,,11
30 2022-2023 14MMS0649W BGC,30,2022-2023,14MMS0649W,BGC,Escolarizada,245,371,,616,,,,11,,,,4,,,,,,,,,,,,,10,15,,25,0,0,,0,0,0,,0,13,17,,30,1,2,,3
31 2022-2023 14MMS0650L BGAI,31,2022-2023,14MMS0650L,BGAI,Escolarizada,42,24,,66,,,,2,,,,1,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
32 2022-2023 14MMS0650L BGC,32,2022-2023,14MMS0650L,BGC,Escolarizada,186,296,,482,,,,6,,,,0,,,,,,,,,,,,,8,5,,13,1,3,,4,0,0,,0,12,10,,22,3,1,,4
33 2022-2023 14MMS0650L BGC,33,2022-2023,14MMS0650L,BGC,Escolarizada,189,293,,482,,,,9,,,,0,,,,,,,,,,,,,6,10,,16,0,0,,0,0,0,,0,7,12,,19,0,1,,1
