name,row,ciclo,cve_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
1 2017-2018 14MMS0608W BGAI,1,2017-2018,14MMS0608W,BGAI,Escolarizada,43,50,,93,,,,1,,,,0,,,,,,,,,,,,
2 2017-2018 14MMS0608W BGC,2,2017-2018,14MMS0608W,BGC,Escolarizada,275,326,,601,,,,8,,,,0,,,,,,,,,,,,
3 2017-2018 14MMS0608W BGC,3,2017-2018,14MMS0608W,BGC,Escolarizada,169,231,,400,,,,4,,,,0,,,,,,,,,,,,
4 2017-2018 14MMS0609V BGAI,4,2017-2018,14MMS0609V,BGAI,Escolarizada,96,113,,209,,,,0,,,,0,,,,,,,,,,,,
5 2017-2018 14MMS0609V BGC,5,2017-2018,14MMS0609V,BGC,Escolarizada,151,220,,371,,,,2,,,,1,,,,,,,,,,,,
6 2017-2018 14MMS0609V BGC,6,2017-2018,14MMS0609V,BGC,Escolarizada,103,145,,248,,,,3,,,,0,,,,,,,,,,,,
7 2017-2018 14MMS0610K BGAI,7,2017-2018,14MMS0610K,BGAI,Escolarizada,62,55,,117,,,,1,,,,0,,,,,,,,,,,,
8 2017-2018 14MMS0610K BGC,8,2017-2018,14MMS0610K,BGC,Escolarizada,140,243,,383,,,,3,,,,1,,,,,,,,,,,,
9 2017-2018 14MMS0610K BGC,9,2017-2018,14MMS0610K,BGC,Escolarizada,108,148,,256,,,,3,,,,1,,,,,,,,,,,,
10 2017-2018 14MMS0611J BGC,10,2017-2018,14MMS0611J,BGC,Escolarizada,174,278,,452,,,,4,,,,0,,,,,,,,,,,,
11 2017-2018 14MMS0611J BGC,11,2017-2018,14MMS0611J,BGC,Escolarizada,127,175,,302,,,,3,,,,0,,,,,,,,,,,,
12 2017-2018 14MMS0612I BGC,12,2017-2018,14MMS0612I,BGC,Escolarizada,296,416,,712,,,,15,,,,1,,,,,,,,,,,,
13 2017-2018 14MMS0612I BGC,13,2017-2018,14MMS0612I,BGC,Escolarizada,192,283,,475,,,,2,,,,0,,,,,,,,,,,,
14 2017-2018 14MMS0613H BGC,14,2017-2018,14MMS0613H,BGC,Escolarizada,313,430,,743,,,,9,,,,0,,,,,,,,,,,,
15 2017-2018 14MMS0613H BGC,15,2017-2018,14MMS0613H,BGC,Escolarizada,219,277,,496,,,,7,,,,0,,,,,,,,,,,,
16 2017-2018 14MMS0761Q BGC,16,2017-2018,14MMS0761Q,BGC,Escolarizada,16,22,,38,,,,1,,,,0,,,,,,,,,,,,
17 2017-2018 14MMS0761Q BGC,17,2017-2018,14MMS0761Q,BGC,Escolarizada,14,11,,25,,,,0,,,,0,,,,,,,,,,,,
18 2017-2018 14MMS0647Y BGAI,18,2017-2018,14MMS0647Y,BGAI,Escolarizada,28,37,,65,,,,0,,,,0,,,,,,,,,,,,
19 2017-2018 14MMS0647Y BGC,19,2017-2018,14MMS0647Y,BGC,Escolarizada,182,230,,412,,,,2,,,,0,,,,,,,,,,,,
20 2017-2018 14MMS0647Y BGC,20,2017-2018,14MMS0647Y,BGC,Escolarizada,121,153,,274,,,,1,,,,0,,,,,,,,,,,,
21 2017-2018 14MMS0762P BGC,21,2017-2018,14MMS0762P,BGC,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
22 2017-2018 14MMS0762P BGC,22,2017-2018,14MMS0762P,BGC,Escolarizada,16,26,,42,,,,0,,,,0,,,,,,,,,,,,
23 2017-2018 14MMS0648X BGC,23,2017-2018,14MMS0648X,BGC,Escolarizada,209,314,,523,,,,6,,,,0,,,,,,,,,,,,
24 2017-2018 14MMS0648X BGC,24,2017-2018,14MMS0648X,BGC,Escolarizada,128,220,,348,,,,9,,,,1,,,,,,,,,,,,
25 2017-2018 14MMS0649W BGAI,25,2017-2018,14MMS0649W,BGAI,Escolarizada,52,64,,116,,,,0,,,,0,,,,,,,,,,,,
26 2017-2018 14MMS0649W BGC,26,2017-2018,14MMS0649W,BGC,Escolarizada,313,390,,703,,,,6,,,,0,,,,,,,,,,,,
27 2017-2018 14MMS0649W BGC,27,2017-2018,14MMS0649W,BGC,Escolarizada,212,256,,468,,,,5,,,,0,,,,,,,,,,,,
28 2017-2018 14MMS0650L BGAI,28,2017-2018,14MMS0650L,BGAI,Escolarizada,42,46,,88,,,,0,,,,0,,,,,,,,,,,,
29 2017-2018 14MMS0650L BGC,29,2017-2018,14MMS0650L,BGC,Escolarizada,248,319,,567,,,,1,,,,0,,,,,,,,,,,,
30 2017-2018 14MMS0650L BGC,30,2017-2018,14MMS0650L,BGC,Escolarizada,185,193,,378,,,,4,,,,0,,,,,,,,,,,,
31 2017-2018 14MMS0646Z BGC,31,2017-2018,14MMS0646Z,BGC,Escolarizada,352,450,,802,,,,4,,,,0,,,,,,,,,,,,
32 2017-2018 14MMS0646Z BGC,32,2017-2018,14MMS0646Z,BGC,Escolarizada,227,307,,534,,,,5,,,,1,,,,,,,,,,,,
33 2017-2018 14MMS0640E BGC,33,2017-2018,14MMS0640E,BGC,Escolarizada,62,74,,136,,,,2,,,,0,,,,,,,,,,,,
34 2017-2018 14MMS0640E BGC,34,2017-2018,14MMS0640E,BGC,Escolarizada,32,59,,91,,,,0,,,,0,,,,,,,,,,,,
35 2017-2018 14MMS0615F BGC,35,2017-2018,14MMS0615F,BGC,Escolarizada,150,240,,390,,,,7,,,,0,,,,,,,,,,,,
36 2017-2018 14MMS0615F BGC,36,2017-2018,14MMS0615F,BGC,Escolarizada,96,164,,260,,,,3,,,,0,,,,,,,,,,,,
37 2017-2018 14MMS0630Y BGC,37,2017-2018,14MMS0630Y,BGC,Escolarizada,168,177,,345,,,,6,,,,0,,,,,,,,,,,,
38 2017-2018 14MMS0630Y BGC,38,2017-2018,14MMS0630Y,BGC,Escolarizada,107,123,,230,,,,2,,,,0,,,,,,,,,,,,
39 2017-2018 14MMS0631X BGC,39,2017-2018,14MMS0631X,BGC,Escolarizada,202,274,,476,,,,7,,,,0,,,,,,,,,,,,
40 2017-2018 14MMS0631X BGC,40,2017-2018,14MMS0631X,BGC,Escolarizada,154,164,,318,,,,4,,,,1,,,,,,,,,,,,
41 2017-2018 14MMS0636S BGC,41,2017-2018,14MMS0636S,BGC,Escolarizada,107,170,,277,,,,3,,,,0,,,,,,,,,,,,
42 2017-2018 14MMS0636S BGC,42,2017-2018,14MMS0636S,BGC,Escolarizada,87,98,,185,,,,0,,,,1,,,,,,,,,,,,
43 2017-2018 14MMS0752I BGC,43,2017-2018,14MMS0752I,BGC,Escolarizada,81,157,,238,,,,2,,,,0,,,,,,,,,,,,
44 2017-2018 14MMS0752I BGC,44,2017-2018,14MMS0752I,BGC,Escolarizada,52,107,,159,,,,1,,,,0,,,,,,,,,,,,
45 2017-2018 14MMS0753H BGC,45,2017-2018,14MMS0753H,BGC,Escolarizada,138,155,,293,,,,6,,,,1,,,,,,,,,,,,
46 2017-2018 14MMS0753H BGC,46,2017-2018,14MMS0753H,BGC,Escolarizada,90,105,,195,,,,4,,,,0,,,,,,,,,,,,
47 2017-2018 14MMS0757D BGC,47,2017-2018,14MMS0757D,BGC,Escolarizada,109,129,,238,,,,5,,,,0,,,,,,,,,,,,
