name,row,ciclo,cve_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2019-2020 14MMS0607X BGC,1,2019-2020,14MMS0607X,BGC,Escolarizada,199,226,,425,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 2019-2020 14MMS0607X BGC,2,2019-2020,14MMS0607X,BGC,Escolarizada,124,234,,358,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 2019-2020 14MMS0607X BGAI,3,2019-2020,14MMS0607X,BGAI,Escolarizada,17,30,,47,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 2019-2020 14MMS0608W BGC,4,2019-2020,14MMS0608W,BGC,Escolarizada,264,277,,541,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 2019-2020 14MMS0608W BGC,5,2019-2020,14MMS0608W,BGC,Escolarizada,193,291,,484,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 2019-2020 14MMS0608W BGAI,6,2019-2020,14MMS0608W,BGAI,Escolarizada,20,30,,50,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 2019-2020 14MMS0609V BGC,7,2019-2020,14MMS0609V,BGC,Escolarizada,134,192,,326,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 2019-2020 14MMS0609V BGC,8,2019-2020,14MMS0609V,BGC,Escolarizada,147,177,,324,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 2019-2020 14MMS0609V BGAI,9,2019-2020,14MMS0609V,BGAI,Escolarizada,55,67,,122,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 2019-2020 14MMS0610K BGC,10,2019-2020,14MMS0610K,BGC,Escolarizada,187,232,,419,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 2019-2020 14MMS0610K BGC,11,2019-2020,14MMS0610K,BGC,Escolarizada,149,188,,337,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 2019-2020 14MMS0610K BGAI,12,2019-2020,14MMS0610K,BGAI,Escolarizada,41,54,,95,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
