name,row,ciclo,cve_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
1 2023-2024 14MMS0607X BGAI,1,2023-2024,14MMS0607X,BGAI,En línea,44,90,,134,,,,13,,,,1,,,,,,,,,,,,
2 2023-2024 14MMS0912F BGC,2,2023-2024,14MMS0912F,BGC,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
3 2023-2024 14MMS0912F BGC,3,2023-2024,14MMS0912F,BGC,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
4 2023-2024 14MMS0640E BGC,4,2023-2024,14MMS0640E,BGC,Escolarizada,58,71,,129,,,,1,,,,0,,,,,,,,,,,,
5 2023-2024 14MMS0640E BGC,5,2023-2024,14MMS0640E,BGC,Escolarizada,53,80,,133,,,,3,,,,2,,,,,,,,,,,,
6 2023-2024 14MMS0608W BGAI,6,2023-2024,14MMS0608W,BGAI,Escolarizada,44,26,,70,,,,3,,,,0,,,,,,,,,,,,
7 2023-2024 14MMS0608W BGC,7,2023-2024,14MMS0608W,BGC,Escolarizada,237,288,,525,,,,16,,,,0,,,,,,,,,,,,
8 2023-2024 14MMS0608W BGC,8,2023-2024,14MMS0608W,BGC,Escolarizada,211,292,,503,,,,11,,,,1,,,,,,,,,,,,
9 2023-2024 14MMS0609V BGAI,9,2023-2024,14MMS0609V,BGAI,Escolarizada,31,29,,60,,,,2,,,,0,,,,,,,,,,,,
10 2023-2024 14MMS0609V BGC,10,2023-2024,14MMS0609V,BGC,Escolarizada,151,205,,356,,,,6,,,,0,,,,,,,,,,,,
11 2023-2024 14MMS0609V BGC,11,2023-2024,14MMS0609V,BGC,Escolarizada,132,196,,328,,,,9,,,,1,,,,,,,,,,,,
12 2023-2024 14MMS0610K BGAI,12,2023-2024,14MMS0610K,BGAI,Escolarizada,29,24,,53,,,,1,,,,0,,,,,,,,,,,,
13 2023-2024 14MMS0610K BGC,13,2023-2024,14MMS0610K,BGC,Escolarizada,130,197,,327,,,,4,,,,0,,,,,,,,,,,,
14 2023-2024 14MMS0610K BGC,14,2023-2024,14MMS0610K,BGC,Escolarizada,153,174,,327,,,,9,,,,0,,,,,,,,,,,,
15 2023-2024 14MMS0611J BGAI,15,2023-2024,14MMS0611J,BGAI,Escolarizada,19,19,,38,,,,0,,,,0,,,,,,,,,,,,
16 2023-2024 14MMS0611J BGC,16,2023-2024,14MMS0611J,BGC,Escolarizada,162,293,,455,,,,7,,,,0,,,,,,,,,,,,
17 2023-2024 14MMS0611J BGC,17,2023-2024,14MMS0611J,BGC,Escolarizada,155,281,,436,,,,3,,,,1,,,,,,,,,,,,
18 2023-2024 14MMS0612I BGAI,18,2023-2024,14MMS0612I,BGAI,Escolarizada,7,8,,15,,,,0,,,,0,,,,,,,,,,,,
19 2023-2024 14MMS0612I BGC,19,2023-2024,14MMS0612I,BGC,Escolarizada,251,411,,662,,,,13,,,,1,,,,,,,,,,,,
20 2023-2024 14MMS0612I BGC,20,2023-2024,14MMS0612I,BGC,Escolarizada,319,458,,777,,,,11,,,,0,,,,,,,,,,,,
21 2023-2024 14MMS0613H BGC,21,2023-2024,14MMS0613H,BGC,Escolarizada,304,383,,687,,,,17,,,,4,,,,,,,,,,,,
22 2023-2024 14MMS0613H BGC,22,2023-2024,14MMS0613H,BGC,Escolarizada,315,400,,715,,,,18,,,,2,,,,,,,,,,,,
23 2023-2024 14MMS0761Q BGC,23,2023-2024,14MMS0761Q,BGC,Escolarizada,11,24,,35,,,,0,,,,0,,,,,,,,,,,,
24 2023-2024 14MMS0761Q BGC,24,2023-2024,14MMS0761Q,BGC,Escolarizada,12,26,,38,,,,0,,,,0,,,,,,,,,,,,
25 2023-2024 14MMS0647Y BGAI,25,2023-2024,14MMS0647Y,BGAI,Escolarizada,5,12,,17,,,,0,,,,0,,,,,,,,,,,,
26 2023-2024 14MMS0647Y BGC,26,2023-2024,14MMS0647Y,BGC,Escolarizada,207,247,,454,,,,10,,,,0,,,,,,,,,,,,
27 2023-2024 14MMS0647Y BGC,27,2023-2024,14MMS0647Y,BGC,Escolarizada,200,254,,454,,,,7,,,,0,,,,,,,,,,,,
28 2023-2024 14MMS0762P BGC,28,2023-2024,14MMS0762P,BGC,Escolarizada,19,21,,40,,,,0,,,,0,,,,,,,,,,,,
29 2023-2024 14MMS0762P BGC,29,2023-2024,14MMS0762P,BGC,Escolarizada,10,30,,40,,,,0,,,,0,,,,,,,,,,,,
30 2023-2024 14MMS0648X BGAI,30,2023-2024,14MMS0648X,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
31 2023-2024 14MMS0648X BGC,31,2023-2024,14MMS0648X,BGC,Escolarizada,216,303,,519,,,,8,,,,2,,,,,,,,,,,,
32 2023-2024 14MMS0648X BGC,32,2023-2024,14MMS0648X,BGC,Escolarizada,224,315,,539,,,,13,,,,2,,,,,,,,,,,,
33 2023-2024 14MMS0649W BGAI,33,2023-2024,14MMS0649W,BGAI,Escolarizada,42,32,,74,,,,1,,,,0,,,,,,,,,,,,
34 2023-2024 14MMS0649W BGC,34,2023-2024,14MMS0649W,BGC,Escolarizada,278,377,,655,,,,14,,,,1,,,,,,,,,,,,
