name,row,ciclo,clave_plantel,cve_programa,modalidad,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
1 2019-2020 14MMS0650L 3095300007,1,2019-2020,14MMS0650L,3095300007,Escolarizada,0,1,,1,,,,0,,,,0
2 2019-2020 14MMS0774U 2092100004,2,2019-2020,14MMS0774U,2092100004,Escolarizada,47,220,,267,,,,0,,,,0
3 2019-2020 14MMS0775T 2021300033,3,2019-2020,14MMS0775T,2021300033,Escolarizada,2,0,,2,,,,0,,,,0
4 2019-2020 14MMS0776S 2062200013,4,2019-2020,14MMS0776S,2062200013,Escolarizada,1,0,,1,,,,0,,,,0
5 2019-2020 14MMS0776S 2071100002,5,2019-2020,14MMS0776S,2071100002,Escolarizada,2,0,,2,,,,0,,,,0
6 2019-2020 14MMS0776S 2071200002,6,2019-2020,14MMS0776S,2071200002,Escolarizada,1,0,,1,,,,0,,,,0
7 2019-2020 14MMS0776S 2071400003,7,2019-2020,14MMS0776S,2071400003,Escolarizada,1,1,,2,,,,0,,,,0
8 2019-2020 14MMS0776S 2072100002,8,2019-2020,14MMS0776S,2072100002,Escolarizada,2,7,,9,,,,0,,,,0
9 2019-2020 14MMS0777R 2092100004,9,2019-2020,14MMS0777R,2092100004,Escolarizada,57,219,,276,,,,1,,,,1
10 2019-2020 14MMS0799C 2062200007,10,2019-2020,14MMS0799C,2062200007,Escolarizada,5,1,,6,,,,0,,,,0
11 2019-2020 14MMS0799C 2071200002,11,2019-2020,14MMS0799C,2071200002,Escolarizada,5,0,,5,,,,0,,,,0
12 2019-2020 14MMS0799C 3041100005,12,2019-2020,14MMS0799C,3041100005,Escolarizada,0,1,,1,,,,1,,,,0
13 2019-2020 14MMS0799C 3042000001,13,2019-2020,14MMS0799C,3042000001,Escolarizada,0,2,,2,,,,0,,,,0
14 2019-2020 14MMS0616E 2092100004,14,2019-2020,14MMS0616E,2092100004,Escolarizada,3,3,,6,,,,0,,,,0
15 2019-2020 14USU0220M 5011500002,15,2019-2020,14USU0220M,5011500002,Escolarizada,0,1,,1,,,,0,,,,0
16 2019-2020 14USU0160O 5011500002,16,2019-2020,14USU0160O,5011500002,Escolarizada,0,1,,1,,,,0,,,,0
17 2019-2020 14USU0003Y 5011500002,17,2019-2020,14USU0003Y,5011500002,Escolarizada,2,9,,11,,,,0,,,,0
