name,row,ciclo,cve_programa,total
211 PE únicos con matrícula -1 - 2020-2021 - 2021300033,1,2020-2021,2021300033,1
211 PE únicos con matrícula -2 - 2020-2021 - 2051200001,2,2020-2021,2051200001,1
211 PE únicos con matrícula -3 - 2020-2021 - 2062100003,3,2020-2021,2062100003,1
211 PE únicos con matrícula -4 - 2020-2021 - 2062200007,4,2020-2021,2062200007,1
211 PE únicos con matrícula -5 - 2020-2021 - 2062200013,5,2020-2021,2062200013,1
211 PE únicos con matrícula -6 - 2020-2021 - 2071100002,6,2020-2021,2071100002,1
211 PE únicos con matrícula -7 - 2020-2021 - 2071200002,7,2020-2021,2071200002,1
211 PE únicos con matrícula -8 - 2020-2021 - 2071200011,8,2020-2021,2071200011,1
211 PE únicos con matrícula -9 - 2020-2021 - 2071400001,9,2020-2021,2071400001,1
211 PE únicos con matrícula -10 - 2020-2021 - 2071400003,10,2020-2021,2071400003,1
211 PE únicos con matrícula -11 - 2020-2021 - 2072000001,11,2020-2021,2072000001,1
211 PE únicos con matrícula -12 - 2020-2021 - 2072100002,12,2020-2021,2072100002,1
211 PE únicos con matrícula -13 - 2020-2021 - 2072300001,13,2020-2021,2072300001,1
211 PE únicos con matrícula -14 - 2020-2021 - 2072400003,14,2020-2021,2072400003,1
211 PE únicos con matrícula -15 - 2020-2021 - 2092100004,15,2020-2021,2092100004,1
211 PE únicos con matrícula -16 - 2020-2021 - 3021600008,16,2020-2021,3021600008,1
211 PE únicos con matrícula -17 - 2020-2021 - 3021700001,17,2020-2021,3021700001,1
211 PE únicos con matrícula -18 - 2020-2021 - 3041100005,18,2020-2021,3041100005,1
211 PE únicos con matrícula -19 - 2020-2021 - 3042000001,19,2020-2021,3042000001,1
211 PE únicos con matrícula -20 - 2020-2021 - 3042100001,20,2020-2021,3042100001,1
211 PE únicos con matrícula -21 - 2020-2021 - 3042100026,21,2020-2021,3042100026,1
211 PE únicos con matrícula -22 - 2020-2021 - 3061300004,22,2020-2021,3061300004,1
211 PE únicos con matrícula -23 - 2020-2021 - 3071700002,23,2020-2021,3071700002,1
211 PE únicos con matrícula -24 - 2020-2021 - 3073200001,24,2020-2021,3073200001,1
211 PE únicos con matrícula -25 - 2020-2021 - 3081100003,25,2020-2021,3081100003,1
211 PE únicos con matrícula -26 - 2020-2021 - 3081100019,26,2020-2021,3081100019,1
211 PE únicos con matrícula -27 - 2020-2021 - 3093100005,27,2020-2021,3093100005,1
211 PE únicos con matrícula -28 - 2020-2021 - 3095300007,28,2020-2021,3095300007,1
211 PE únicos con matrícula -29 - 2020-2021 - 3101600003,29,2020-2021,3101600003,1
211 PE únicos con matrícula -30 - 2020-2021 - 4071500002,30,2020-2021,4071500002,1
211 PE únicos con matrícula -31 - 2020-2021 - 4093100005,31,2020-2021,4093100005,1
211 PE únicos con matrícula -32 - 2020-2021 - 4094100005,32,2020-2021,4094100005,1
211 PE únicos con matrícula -33 - 2020-2021 - 4094100010,33,2020-2021,4094100010,1
211 PE únicos con matrícula -34 - 2020-2021 - 4095300010,34,2020-2021,4095300010,1
211 PE únicos con matrícula -35 - 2020-2021 - 4103100001,35,2020-2021,4103100001,1
211 PE únicos con matrícula -36 - 2020-2021 - 5011200004,36,2020-2021,5011200004,1
211 PE únicos con matrícula -37 - 2020-2021 - 5011500002,37,2020-2021,5011500002,1
211 PE únicos con matrícula -38 - 2020-2021 - 5012603011,38,2020-2021,5012603011,1
211 PE únicos con matrícula -39 - 2020-2021 - 5012603027,39,2020-2021,5012603027,1
211 PE únicos con matrícula -40 - 2020-2021 - 5021000002,40,2020-2021,5021000002,1
211 PE únicos con matrícula -41 - 2020-2021 - 5021000007,41,2020-2021,5021000007,1
211 PE únicos con matrícula -42 - 2020-2021 - 5021000010,42,2020-2021,5021000010,1
211 PE únicos con matrícula -43 - 2020-2021 - 5021000110,43,2020-2021,5021000110,1
211 PE únicos con matrícula -44 - 2020-2021 - 5021000114,44,2020-2021,5021000114,1
211 PE únicos con matrícula -45 - 2020-2021 - 5021200054,45,2020-2021,5021200054,1
211 PE únicos con matrícula -46 - 2020-2021 - 5021200055,46,2020-2021,5021200055,1
211 PE únicos con matrícula -47 - 2020-2021 - 5021300063,47,2020-2021,5021300063,1
211 PE únicos con matrícula -48 - 2020-2021 - 5021400012,48,2020-2021,5021400012,1
211 PE únicos con matrícula -49 - 2020-2021 - 5021500002,49,2020-2021,5021500002,1
211 PE únicos con matrícula -50 - 2020-2021 - 5021500044,50,2020-2021,5021500044,1
211 PE únicos con matrícula -51 - 2020-2021 - 5021500119,51,2020-2021,5021500119,1
211 PE únicos con matrícula -52 - 2020-2021 - 5021600017,52,2020-2021,5021600017,1
211 PE únicos con matrícula -53 - 2020-2021 - 5021600024,53,2020-2021,5021600024,1
211 PE únicos con matrícula -54 - 2020-2021 - 5021600062,54,2020-2021,5021600062,1
211 PE únicos con matrícula -55 - 2020-2021 - 5021700002,55,2020-2021,5021700002,1
211 PE únicos con matrícula -56 - 2020-2021 - 5022000001,56,2020-2021,5022000001,1
211 PE únicos con matrícula -57 - 2020-2021 - 5022200040,57,2020-2021,5022200040,1
211 PE únicos con matrícula -58 - 2020-2021 - 5022300022,58,2020-2021,5022300022,1
211 PE únicos con matrícula -59 - 2020-2021 - 5022500001,59,2020-2021,5022500001,1
211 PE únicos con matrícula -60 - 2020-2021 - 5022500008,60,2020-2021,5022500008,1
211 PE únicos con matrícula -61 - 2020-2021 - 5022600002,61,2020-2021,5022600002,1
211 PE únicos con matrícula -62 - 2020-2021 - 5031100007,62,2020-2021,5031100007,1
211 PE únicos con matrícula -63 - 2020-2021 - 5031200004,63,2020-2021,5031200004,1
211 PE únicos con matrícula -64 - 2020-2021 - 5031200031,64,2020-2021,5031200031,1
211 PE únicos con matrícula -65 - 2020-2021 - 5031300010,65,2020-2021,5031300010,1
211 PE únicos con matrícula -66 - 2020-2021 - 5031300014,66,2020-2021,5031300014,1
211 PE únicos con matrícula -67 - 2020-2021 - 5031400003,67,2020-2021,5031400003,1
211 PE únicos con matrícula -68 - 2020-2021 - 5031500008,68,2020-2021,5031500008,1
211 PE únicos con matrícula -69 - 2020-2021 - 5031500010,69,2020-2021,5031500010,1
211 PE únicos con matrícula -70 - 2020-2021 - 5032100001,70,2020-2021,5032100001,1
211 PE únicos con matrícula -71 - 2020-2021 - 5032100027,71,2020-2021,5032100027,1
211 PE únicos con matrícula -72 - 2020-2021 - 5032100038,72,2020-2021,5032100038,1
211 PE únicos con matrícula -73 - 2020-2021 - 5032100065,73,2020-2021,5032100065,1
211 PE únicos con matrícula -74 - 2020-2021 - 5032200012,74,2020-2021,5032200012,1
211 PE únicos con matrícula -75 - 2020-2021 - 5033100003,75,2020-2021,5033100003,1
211 PE únicos con matrícula -76 - 2020-2021 - 5033200006,76,2020-2021,5033200006,1
211 PE únicos con matrícula -77 - 2020-2021 - 5033200024,77,2020-2021,5033200024,1
211 PE únicos con matrícula -78 - 2020-2021 - 5041100007,78,2020-2021,5041100007,1
211 PE únicos con matrícula -79 - 2020-2021 - 5041100009,79,2020-2021,5041100009,1
211 PE únicos con matrícula -80 - 2020-2021 - 5041100021,80,2020-2021,5041100021,1
211 PE únicos con matrícula -81 - 2020-2021 - 5041100056,81,2020-2021,5041100056,1
211 PE únicos con matrícula -82 - 2020-2021 - 5041100127,82,2020-2021,5041100127,1
211 PE únicos con matrícula -83 - 2020-2021 - 5041200028,83,2020-2021,5041200028,1
211 PE únicos con matrícula -84 - 2020-2021 - 5041200075,84,2020-2021,5041200075,1
211 PE únicos con matrícula -85 - 2020-2021 - 5041300007,85,2020-2021,5041300007,1
211 PE únicos con matrícula -86 - 2020-2021 - 5041400032,86,2020-2021,5041400032,1
211 PE únicos con matrícula -87 - 2020-2021 - 5042000002,87,2020-2021,5042000002,1
211 PE únicos con matrícula -88 - 2020-2021 - 5042100012,88,2020-2021,5042100012,1
211 PE únicos con matrícula -89 - 2020-2021 - 5042100065,89,2020-2021,5042100065,1
211 PE únicos con matrícula -90 - 2020-2021 - 5042100092,90,2020-2021,5042100092,1
211 PE únicos con matrícula -91 - 2020-2021 - 5042100117,91,2020-2021,5042100117,1
211 PE únicos con matrícula -92 - 2020-2021 - 5042200024,92,2020-2021,5042200024,1
211 PE únicos con matrícula -93 - 2020-2021 - 5042300027,93,2020-2021,5042300027,1
211 PE únicos con matrícula -94 - 2020-2021 - 5042400005,94,2020-2021,5042400005,1
211 PE únicos con matrícula -95 - 2020-2021 - 5051100003,95,2020-2021,5051100003,1
211 PE únicos con matrícula -96 - 2020-2021 - 5051100006,96,2020-2021,5051100006,1
