name,row,ciclo,cve_programa,total
211 PE únicos con matrícula -1 - 2023-2024 - 2021300033,1,2023-2024,2021300033,1
211 PE únicos con matrícula -2 - 2023-2024 - 2051200001,2,2023-2024,2051200001,1
211 PE únicos con matrícula -3 - 2023-2024 - 2062100003,3,2023-2024,2062100003,1
211 PE únicos con matrícula -4 - 2023-2024 - 2062200007,4,2023-2024,2062200007,1
211 PE únicos con matrícula -5 - 2023-2024 - 2062200013,5,2023-2024,2062200013,1
211 PE únicos con matrícula -6 - 2023-2024 - 2071100002,6,2023-2024,2071100002,1
211 PE únicos con matrícula -7 - 2023-2024 - 2071200002,7,2023-2024,2071200002,1
211 PE únicos con matrícula -8 - 2023-2024 - 2071200011,8,2023-2024,2071200011,1
211 PE únicos con matrícula -9 - 2023-2024 - 2071400001,9,2023-2024,2071400001,1
211 PE únicos con matrícula -10 - 2023-2024 - 2071400003,10,2023-2024,2071400003,1
211 PE únicos con matrícula -11 - 2023-2024 - 2072000001,11,2023-2024,2072000001,1
211 PE únicos con matrícula -12 - 2023-2024 - 2072100002,12,2023-2024,2072100002,1
211 PE únicos con matrícula -13 - 2023-2024 - 2072300001,13,2023-2024,2072300001,1
211 PE únicos con matrícula -14 - 2023-2024 - 2072400003,14,2023-2024,2072400003,1
211 PE únicos con matrícula -15 - 2023-2024 - 2092100004,15,2023-2024,2092100004,1
211 PE únicos con matrícula -16 - 2023-2024 - 3021600010,16,2023-2024,3021600010,1
211 PE únicos con matrícula -17 - 2023-2024 - 3021700001,17,2023-2024,3021700001,1
211 PE únicos con matrícula -18 - 2023-2024 - 3041100005,18,2023-2024,3041100005,1
211 PE únicos con matrícula -19 - 2023-2024 - 3042000001,19,2023-2024,3042000001,1
211 PE únicos con matrícula -20 - 2023-2024 - 3042100001,20,2023-2024,3042100001,1
211 PE únicos con matrícula -21 - 2023-2024 - 3042100026,21,2023-2024,3042100026,1
211 PE únicos con matrícula -22 - 2023-2024 - 3061300004,22,2023-2024,3061300004,1
211 PE únicos con matrícula -23 - 2023-2024 - 3071700002,23,2023-2024,3071700002,1
211 PE únicos con matrícula -24 - 2023-2024 - 3073200001,24,2023-2024,3073200001,1
211 PE únicos con matrícula -25 - 2023-2024 - 3081100003,25,2023-2024,3081100003,1
211 PE únicos con matrícula -26 - 2023-2024 - 3081100024,26,2023-2024,3081100024,1
211 PE únicos con matrícula -27 - 2023-2024 - 3093100005,27,2023-2024,3093100005,1
211 PE únicos con matrícula -28 - 2023-2024 - 3095300007,28,2023-2024,3095300007,1
211 PE únicos con matrícula -29 - 2023-2024 - 3101600003,29,2023-2024,3101600003,1
211 PE únicos con matrícula -30 - 2023-2024 - 4062200010,30,2023-2024,4062200010,1
211 PE únicos con matrícula -31 - 2023-2024 - 4071300020,31,2023-2024,4071300020,1
211 PE únicos con matrícula -32 - 2023-2024 - 4071500002,32,2023-2024,4071500002,1
211 PE únicos con matrícula -33 - 2023-2024 - 4093100005,33,2023-2024,4093100005,1
211 PE únicos con matrícula -34 - 2023-2024 - 4094100005,34,2023-2024,4094100005,1
211 PE únicos con matrícula -35 - 2023-2024 - 4094100010,35,2023-2024,4094100010,1
211 PE únicos con matrícula -36 - 2023-2024 - 4095300010,36,2023-2024,4095300010,1
211 PE únicos con matrícula -37 - 2023-2024 - 4103100001,37,2023-2024,4103100001,1
211 PE únicos con matrícula -38 - 2023-2024 - 5011100022,38,2023-2024,5011100022,1
211 PE únicos con matrícula -39 - 2023-2024 - 5011200004,39,2023-2024,5011200004,1
211 PE únicos con matrícula -40 - 2023-2024 - 5011500002,40,2023-2024,5011500002,1
211 PE únicos con matrícula -41 - 2023-2024 - 5012603011,41,2023-2024,5012603011,1
211 PE únicos con matrícula -42 - 2023-2024 - 5012603027,42,2023-2024,5012603027,1
211 PE únicos con matrícula -43 - 2023-2024 - 5021000002,43,2023-2024,5021000002,1
211 PE únicos con matrícula -44 - 2023-2024 - 5021000007,44,2023-2024,5021000007,1
211 PE únicos con matrícula -45 - 2023-2024 - 5021000010,45,2023-2024,5021000010,1
211 PE únicos con matrícula -46 - 2023-2024 - 5021000110,46,2023-2024,5021000110,1
211 PE únicos con matrícula -47 - 2023-2024 - 5021000114,47,2023-2024,5021000114,1
211 PE únicos con matrícula -48 - 2023-2024 - 5021200054,48,2023-2024,5021200054,1
211 PE únicos con matrícula -49 - 2023-2024 - 5021200055,49,2023-2024,5021200055,1
211 PE únicos con matrícula -50 - 2023-2024 - 5021300063,50,2023-2024,5021300063,1
211 PE únicos con matrícula -51 - 2023-2024 - 5021400012,51,2023-2024,5021400012,1
211 PE únicos con matrícula -52 - 2023-2024 - 5021500002,52,2023-2024,5021500002,1
211 PE únicos con matrícula -53 - 2023-2024 - 5021500044,53,2023-2024,5021500044,1
211 PE únicos con matrícula -54 - 2023-2024 - 5021500119,54,2023-2024,5021500119,1
211 PE únicos con matrícula -55 - 2023-2024 - 5021600017,55,2023-2024,5021600017,1
211 PE únicos con matrícula -56 - 2023-2024 - 5021600024,56,2023-2024,5021600024,1
211 PE únicos con matrícula -57 - 2023-2024 - 5021600062,57,2023-2024,5021600062,1
211 PE únicos con matrícula -58 - 2023-2024 - 5021700002,58,2023-2024,5021700002,1
211 PE únicos con matrícula -59 - 2023-2024 - 5022000001,59,2023-2024,5022000001,1
211 PE únicos con matrícula -60 - 2023-2024 - 5022200040,60,2023-2024,5022200040,1
211 PE únicos con matrícula -61 - 2023-2024 - 5022300022,61,2023-2024,5022300022,1
211 PE únicos con matrícula -62 - 2023-2024 - 5022500001,62,2023-2024,5022500001,1
211 PE únicos con matrícula -63 - 2023-2024 - 5022500008,63,2023-2024,5022500008,1
211 PE únicos con matrícula -64 - 2023-2024 - 5022600002,64,2023-2024,5022600002,1
211 PE únicos con matrícula -65 - 2023-2024 - 5031100007,65,2023-2024,5031100007,1
211 PE únicos con matrícula -66 - 2023-2024 - 5031200004,66,2023-2024,5031200004,1
211 PE únicos con matrícula -67 - 2023-2024 - 5031200031,67,2023-2024,5031200031,1
211 PE únicos con matrícula -68 - 2023-2024 - 5031300010,68,2023-2024,5031300010,1
211 PE únicos con matrícula -69 - 2023-2024 - 5031300014,69,2023-2024,5031300014,1
211 PE únicos con matrícula -70 - 2023-2024 - 5031300044,70,2023-2024,5031300044,1
