name,row,ciclo,entidad_universitaria,cve_programa,total
212 PE con matrícula por entidad -1 - 2022-2023 - CUCEA - 5031400003,1,2022-2023,CUCEA,5031400003,1
212 PE con matrícula por entidad -2 - 2022-2023 - CUCEA - 5032100065,2,2022-2023,CUCEA,5032100065,1
212 PE con matrícula por entidad -3 - 2022-2023 - CUCEA - 5041100009,3,2022-2023,CUCEA,5041100009,1
212 PE con matrícula por entidad -4 - 2022-2023 - CUCEA - 5041100056,4,2022-2023,CUCEA,5041100056,1
212 PE con matrícula por entidad -5 - 2022-2023 - CUCEA - 5041100127,5,2022-2023,CUCEA,5041100127,1
212 PE con matrícula por entidad -6 - 2022-2023 - CUCEA - 5041200028,6,2022-2023,CUCEA,5041200028,1
212 PE con matrícula por entidad -7 - 2022-2023 - CUCEA - 5041300007,7,2022-2023,CUCEA,5041300007,1
212 PE con matrícula por entidad -8 - 2022-2023 - CUCEA - 5041400032,8,2022-2023,CUCEA,5041400032,1
212 PE con matrícula por entidad -9 - 2022-2023 - CUCEA - 5042000002,9,2022-2023,CUCEA,5042000002,1
212 PE con matrícula por entidad -10 - 2022-2023 - CUCEA - 5042100117,10,2022-2023,CUCEA,5042100117,1
212 PE con matrícula por entidad -11 - 2022-2023 - CUCEA - 5042300027,11,2022-2023,CUCEA,5042300027,1
212 PE con matrícula por entidad -12 - 2022-2023 - CUCEA - 5051300020,12,2022-2023,CUCEA,5051300020,1
212 PE con matrícula por entidad -13 - 2022-2023 - CUCEA - 5062200082,13,2022-2023,CUCEA,5062200082,1
212 PE con matrícula por entidad -14 - 2022-2023 - CUCEA - 5101600013,14,2022-2023,CUCEA,5101600013,1
212 PE con matrícula por entidad -15 - 2022-2023 - CUCEA - 7011000042,15,2022-2023,CUCEA,7011000042,1
212 PE con matrícula por entidad -16 - 2022-2023 - CUCEA - 7011200077,16,2022-2023,CUCEA,7011200077,1
212 PE con matrícula por entidad -17 - 2022-2023 - CUCEA - 7011400011,17,2022-2023,CUCEA,7011400011,1
212 PE con matrícula por entidad -18 - 2022-2023 - CUCEA - 7012500034,18,2022-2023,CUCEA,7012500034,1
212 PE con matrícula por entidad -19 - 2022-2023 - CUCEA - 7031300023,19,2022-2023,CUCEA,7031300023,1
212 PE con matrícula por entidad -20 - 2022-2023 - CUCEA - 7031400008,20,2022-2023,CUCEA,7031400008,1
212 PE con matrícula por entidad -21 - 2022-2023 - CUCEA - 7031400038,21,2022-2023,CUCEA,7031400038,1
212 PE con matrícula por entidad -22 - 2022-2023 - CUCEA - 7031500062,22,2022-2023,CUCEA,7031500062,1
