name,row,ciclo,entidad_universitaria,cve_programa,total
212 PE con matrícula por entidad -1 - 2023-2024 - CUCEA - 4062200010,1,2023-2024,CUCEA,4062200010,1
212 PE con matrícula por entidad -2 - 2023-2024 - CUCEA - 5031400003,2,2023-2024,CUCEA,5031400003,1
212 PE con matrícula por entidad -3 - 2023-2024 - CUCEA - 5032100065,3,2023-2024,CUCEA,5032100065,1
212 PE con matrícula por entidad -4 - 2023-2024 - CUCEA - 5041100009,4,2023-2024,CUCEA,5041100009,1
212 PE con matrícula por entidad -5 - 2023-2024 - CUCEA - 5041100056,5,2023-2024,CUCEA,5041100056,1
212 PE con matrícula por entidad -6 - 2023-2024 - CUCEA - 5041100127,6,2023-2024,CUCEA,5041100127,1
212 PE con matrícula por entidad -7 - 2023-2024 - CUCEA - 5041200028,7,2023-2024,CUCEA,5041200028,1
212 PE con matrícula por entidad -8 - 2023-2024 - CUCEA - 5041300007,8,2023-2024,CUCEA,5041300007,1
212 PE con matrícula por entidad -9 - 2023-2024 - CUCEA - 5041400032,9,2023-2024,CUCEA,5041400032,1
212 PE con matrícula por entidad -10 - 2023-2024 - CUCEA - 5042000002,10,2023-2024,CUCEA,5042000002,1
212 PE con matrícula por entidad -11 - 2023-2024 - CUCEA - 5042100117,11,2023-2024,CUCEA,5042100117,1
212 PE con matrícula por entidad -12 - 2023-2024 - CUCEA - 5042300027,12,2023-2024,CUCEA,5042300027,1
212 PE con matrícula por entidad -13 - 2023-2024 - CUCEA - 5051300020,13,2023-2024,CUCEA,5051300020,1
212 PE con matrícula por entidad -14 - 2023-2024 - CUCEA - 5062200082,14,2023-2024,CUCEA,5062200082,1
212 PE con matrícula por entidad -15 - 2023-2024 - CUCEA - 5101600013,15,2023-2024,CUCEA,5101600013,1
212 PE con matrícula por entidad -16 - 2023-2024 - CUCEA - 7011000042,16,2023-2024,CUCEA,7011000042,1
212 PE con matrícula por entidad -17 - 2023-2024 - CUCEA - 7011200077,17,2023-2024,CUCEA,7011200077,1
212 PE con matrícula por entidad -18 - 2023-2024 - CUCEA - 7011400011,18,2023-2024,CUCEA,7011400011,1
212 PE con matrícula por entidad -19 - 2023-2024 - CUCEA - 7012000087,19,2023-2024,CUCEA,7012000087,1
212 PE con matrícula por entidad -20 - 2023-2024 - CUCEA - 7012500034,20,2023-2024,CUCEA,7012500034,1
212 PE con matrícula por entidad -21 - 2023-2024 - CUCEA - 7031300023,21,2023-2024,CUCEA,7031300023,1
