name,row,ciclo,entidad_universitaria,cve_programa,total
212 PE con matrícula por entidad -568 - 2022-2023 - CUCEA - 5031400003,568,2022-2023,CUCEA,5031400003,1
212 PE con matrícula por entidad -569 - 2022-2023 - CUCEA - 5032100065,569,2022-2023,CUCEA,5032100065,1
212 PE con matrícula por entidad -570 - 2022-2023 - CUCEA - 5041100009,570,2022-2023,CUCEA,5041100009,1
212 PE con matrícula por entidad -571 - 2022-2023 - CUCEA - 5041100056,571,2022-2023,CUCEA,5041100056,1
212 PE con matrícula por entidad -572 - 2022-2023 - CUCEA - 5041100127,572,2022-2023,CUCEA,5041100127,1
212 PE con matrícula por entidad -573 - 2022-2023 - CUCEA - 5041200028,573,2022-2023,CUCEA,5041200028,1
212 PE con matrícula por entidad -574 - 2022-2023 - CUCEA - 5041300007,574,2022-2023,CUCEA,5041300007,1
212 PE con matrícula por entidad -575 - 2022-2023 - CUCEA - 5041400032,575,2022-2023,CUCEA,5041400032,1
212 PE con matrícula por entidad -576 - 2022-2023 - CUCEA - 5042000002,576,2022-2023,CUCEA,5042000002,1
212 PE con matrícula por entidad -577 - 2022-2023 - CUCEA - 5042100117,577,2022-2023,CUCEA,5042100117,1
212 PE con matrícula por entidad -578 - 2022-2023 - CUCEA - 5042300027,578,2022-2023,CUCEA,5042300027,1
212 PE con matrícula por entidad -579 - 2022-2023 - CUCEA - 5051300020,579,2022-2023,CUCEA,5051300020,1
212 PE con matrícula por entidad -580 - 2022-2023 - CUCEA - 5062200082,580,2022-2023,CUCEA,5062200082,1
212 PE con matrícula por entidad -581 - 2022-2023 - CUCEA - 5101600013,581,2022-2023,CUCEA,5101600013,1
212 PE con matrícula por entidad -582 - 2022-2023 - CUCEA - 7011000042,582,2022-2023,CUCEA,7011000042,1
212 PE con matrícula por entidad -583 - 2022-2023 - CUCEA - 7011200077,583,2022-2023,CUCEA,7011200077,1
212 PE con matrícula por entidad -584 - 2022-2023 - CUCEA - 7011400011,584,2022-2023,CUCEA,7011400011,1
212 PE con matrícula por entidad -585 - 2022-2023 - CUCEA - 7012500034,585,2022-2023,CUCEA,7012500034,1
212 PE con matrícula por entidad -586 - 2022-2023 - CUCEA - 7031300023,586,2022-2023,CUCEA,7031300023,1
212 PE con matrícula por entidad -587 - 2022-2023 - CUCEA - 7031400008,587,2022-2023,CUCEA,7031400008,1
212 PE con matrícula por entidad -588 - 2022-2023 - CUCEA - 7031400038,588,2022-2023,CUCEA,7031400038,1
212 PE con matrícula por entidad -589 - 2022-2023 - CUCEA - 7031500062,589,2022-2023,CUCEA,7031500062,1
212 PE con matrícula por entidad -590 - 2022-2023 - CUCEA - 7041100024,590,2022-2023,CUCEA,7041100024,1
212 PE con matrícula por entidad -591 - 2022-2023 - CUCEA - 7041100026,591,2022-2023,CUCEA,7041100026,1
212 PE con matrícula por entidad -592 - 2022-2023 - CUCEA - 7041200034,592,2022-2023,CUCEA,7041200034,1
