name,row,ciclo_red,entidad_universitaria,30ar_pe_matricula,30ar_crecimiento
30AR-1 PE del CUCEA con matrícula en 1994-1995,1,1994-1995,CUCEA,16,
30AR-2 PE del CUCEA con matrícula en 1995-1996,2,1995-1996,CUCEA,9,
30AR-3 PE del CUCEA con matrícula en 1996-1997,3,1996-1997,CUCEA,11,
30AR-4 PE del CUCEA con matrícula en 1997-1998,4,1997-1998,CUCEA,17,
30AR-5 PE del CUCEA con matrícula en 1998-1999,5,1998-1999,CUCEA,25,
30AR-6 PE del CUCEA con matrícula en 1999-2000,6,1999-2000,CUCEA,26,
30AR-7 PE del CUCEA con matrícula en 2000-2001,7,2000-2001,CUCEA,25,
30AR-8 PE del CUCEA con matrícula en 2001-2002,8,2001-2002,CUCEA,26,
30AR-9 PE del CUCEA con matrícula en 2002-2003,9,2002-2003,CUCEA,25,
30AR-10 PE del CUCEA con matrícula en 2003-2004,10,2003-2004,CUCEA,28,
30AR-11 PE del CUCEA con matrícula en 2004-2005,11,2004-2005,CUCEA,29,
30AR-12 PE del CUCEA con matrícula en 2005-2006,12,2005-2006,CUCEA,26,
30AR-13 PE del CUCEA con matrícula en 2006-2007,13,2006-2007,CUCEA,26,
30AR-14 PE del CUCEA con matrícula en 2007-2008,14,2007-2008,CUCEA,25,
30AR-15 PE del CUCEA con matrícula en 2008-2009,15,2008-2009,CUCEA,26,
30AR-16 PE del CUCEA con matrícula en 2009-2010,16,2009-2010,CUCEA,24,
30AR-17 PE del CUCEA con matrícula en 2010-2011,17,2010-2011,CUCEA,28,
30AR-18 PE del CUCEA con matrícula en 2011-2012,18,2011-2012,CUCEA,25,
30AR-19 PE del CUCEA con matrícula en 2012-2013,19,2012-2013,CUCEA,27,
30AR-20 PE del CUCEA con matrícula en 2013-2014,20,2013-2014,CUCEA,27,
30AR-21 PE del CUCEA con matrícula en 2014-2015,21,2014-2015,CUCEA,27,
30AR-22 PE del CUCEA con matrícula en 2015-2016,22,2015-2016,CUCEA,30,
30AR-23 PE del CUCEA con matrícula en 2016-2017,23,2016-2017,CUCEA,30,
30AR-24 PE del CUCEA con matrícula en 2017-2018,24,2017-2018,CUCEA,32,
30AR-25 PE del CUCEA con matrícula en 2018-2019,25,2018-2019,CUCEA,34,
30AR-26 PE del CUCEA con matrícula en 2019-2020,26,2019-2020,CUCEA,40,
30AR-27 PE del CUCEA con matrícula en 2020-2021,27,2020-2021,CUCEA,38,
30AR-28 PE del CUCEA con matrícula en 2021-2022,28,2021-2022,CUCEA,37,
30AR-29 PE del CUCEA con matrícula en 2022-2023,29,2022-2023,CUCEA,38,
30AR-30 PE del CUCEA con matrícula en 2023-2024,30,2023-2024,CUCEA,42,163
30AR-31 PE del CUCEI con matrícula en 1994-1995,31,1994-1995,CUCEI,31,
30AR-32 PE del CUCEI con matrícula en 1995-1996,32,1995-1996,CUCEI,29,
30AR-33 PE del CUCEI con matrícula en 1996-1997,33,1996-1997,CUCEI,33,
30AR-34 PE del CUCEI con matrícula en 1997-1998,34,1997-1998,CUCEI,34,
30AR-35 PE del CUCEI con matrícula en 1998-1999,35,1998-1999,CUCEI,38,
30AR-36 PE del CUCEI con matrícula en 1999-2000,36,1999-2000,CUCEI,42,
30AR-37 PE del CUCEI con matrícula en 2000-2001,37,2000-2001,CUCEI,47,
30AR-38 PE del CUCEI con matrícula en 2001-2002,38,2001-2002,CUCEI,44,
30AR-39 PE del CUCEI con matrícula en 2002-2003,39,2002-2003,CUCEI,41,
30AR-40 PE del CUCEI con matrícula en 2003-2004,40,2003-2004,CUCEI,45,
30AR-41 PE del CUCEI con matrícula en 2004-2005,41,2004-2005,CUCEI,45,
30AR-42 PE del CUCEI con matrícula en 2005-2006,42,2005-2006,CUCEI,45,
30AR-43 PE del CUCEI con matrícula en 2006-2007,43,2006-2007,CUCEI,34,
30AR-44 PE del CUCEI con matrícula en 2007-2008,44,2007-2008,CUCEI,28,
30AR-45 PE del CUCEI con matrícula en 2008-2009,45,2008-2009,CUCEI,30,
30AR-46 PE del CUCEI con matrícula en 2009-2010,46,2009-2010,CUCEI,31,
30AR-47 PE del CUCEI con matrícula en 2010-2011,47,2010-2011,CUCEI,33,
30AR-48 PE del CUCEI con matrícula en 2011-2012,48,2011-2012,CUCEI,28,
30AR-49 PE del CUCEI con matrícula en 2012-2013,49,2012-2013,CUCEI,28,
30AR-50 PE del CUCEI con matrícula en 2013-2014,50,2013-2014,CUCEI,30,
30AR-51 PE del CUCEI con matrícula en 2014-2015,51,2014-2015,CUCEI,31,
30AR-52 PE del CUCEI con matrícula en 2015-2016,52,2015-2016,CUCEI,32,
30AR-53 PE del CUCEI con matrícula en 2016-2017,53,2016-2017,CUCEI,34,
30AR-54 PE del CUCEI con matrícula en 2017-2018,54,2017-2018,CUCEI,34,
30AR-55 PE del CUCEI con matrícula en 2018-2019,55,2018-2019,CUCEI,36,
30AR-56 PE del CUCEI con matrícula en 2019-2020,56,2019-2020,CUCEI,38,
30AR-57 PE del CUCEI con matrícula en 2020-2021,57,2020-2021,CUCEI,41,
30AR-58 PE del CUCEI con matrícula en 2021-2022,58,2021-2022,CUCEI,40,
30AR-59 PE del CUCEI con matrícula en 2022-2023,59,2022-2023,CUCEI,41,
30AR-60 PE del CUCEI con matrícula en 2023-2024,60,2023-2024,CUCEI,45,45
30AR-61 PE del CUCSH con matrícula en 1994-1995,61,1994-1995,CUCSH,22,
30AR-62 PE del CUCSH con matrícula en 1995-1996,62,1995-1996,CUCSH,26,
30AR-63 PE del CUCSH con matrícula en 1996-1997,63,1996-1997,CUCSH,29,
30AR-64 PE del CUCSH con matrícula en 1997-1998,64,1997-1998,CUCSH,28,
30AR-65 PE del CUCSH con matrícula en 1998-1999,65,1998-1999,CUCSH,31,
30AR-66 PE del CUCSH con matrícula en 1999-2000,66,1999-2000,CUCSH,37,
30AR-67 PE del CUCSH con matrícula en 2000-2001,67,2000-2001,CUCSH,36,
30AR-68 PE del CUCSH con matrícula en 2001-2002,68,2001-2002,CUCSH,37,
30AR-69 PE del CUCSH con matrícula en 2002-2003,69,2002-2003,CUCSH,29,
30AR-70 PE del CUCSH con matrícula en 2003-2004,70,2003-2004,CUCSH,28,
30AR-71 PE del CUCSH con matrícula en 2004-2005,71,2004-2005,CUCSH,26,
30AR-72 PE del CUCSH con matrícula en 2005-2006,72,2005-2006,CUCSH,26,
30AR-73 PE del CUCSH con matrícula en 2006-2007,73,2006-2007,CUCSH,26,
30AR-74 PE del CUCSH con matrícula en 2007-2008,74,2007-2008,CUCSH,28,
30AR-75 PE del CUCSH con matrícula en 2008-2009,75,2008-2009,CUCSH,27,
30AR-76 PE del CUCSH con matrícula en 2009-2010,76,2009-2010,CUCSH,26,
30AR-77 PE del CUCSH con matrícula en 2010-2011,77,2010-2011,CUCSH,30,
30AR-78 PE del CUCSH con matrícula en 2011-2012,78,2011-2012,CUCSH,28,
30AR-79 PE del CUCSH con matrícula en 2012-2013,79,2012-2013,CUCSH,27,
30AR-80 PE del CUCSH con matrícula en 2013-2014,80,2013-2014,CUCSH,31,
30AR-81 PE del CUCSH con matrícula en 2014-2015,81,2014-2015,CUCSH,34,
30AR-82 PE del CUCSH con matrícula en 2015-2016,82,2015-2016,CUCSH,34,
30AR-83 PE del CUCSH con matrícula en 2016-2017,83,2016-2017,CUCSH,34,
30AR-84 PE del CUCSH con matrícula en 2017-2018,84,2017-2018,CUCSH,33,
30AR-85 PE del CUCSH con matrícula en 2018-2019,85,2018-2019,CUCSH,40,
30AR-86 PE del CUCSH con matrícula en 2019-2020,86,2019-2020,CUCSH,39,
30AR-87 PE del CUCSH con matrícula en 2020-2021,87,2020-2021,CUCSH,38,
30AR-88 PE del CUCSH con matrícula en 2021-2022,88,2021-2022,CUCSH,41,
30AR-89 PE del CUCSH con matrícula en 2022-2023,89,2022-2023,CUCSH,40,
