name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-1 - 2018 - CUCEA,1,2018,CUCEA,Candidato,15,9,,24
311 Investigadores-2 - 2019 - CUCEA,2,2019,CUCEA,Candidato,24,13,,37
311 Investigadores-3 - 2020 - CUCEA,3,2020,CUCEA,Candidato,24,19,,43
311 Investigadores-4 - 2021 - CUCEA,4,2021,CUCEA,Candidato,25,18,,43
311 Investigadores-5 - 2022 - CUCEA,5,2022,CUCEA,Candidato,27,16,,43
311 Investigadores-6 - 2023 - CUCEA,6,2023,CUCEA,Candidato,29,28,,57
311 Investigadores-7 - 2018 - CUCEA,7,2018,CUCEA,Nivel I,36,20,,56
311 Investigadores-8 - 2019 - CUCEA,8,2019,CUCEA,Nivel I,40,19,,59
311 Investigadores-9 - 2020 - CUCEA,9,2020,CUCEA,Nivel I,45,21,,66
311 Investigadores-10 - 2021 - CUCEA,10,2021,CUCEA,Nivel I,44,21,,65
311 Investigadores-11 - 2022 - CUCEA,11,2022,CUCEA,Nivel I,51,27,,78
311 Investigadores-12 - 2023 - CUCEA,12,2023,CUCEA,Nivel I,62,37,,99
311 Investigadores-13 - 2018 - CUCEA,13,2018,CUCEA,Nivel II,11,3,,14
311 Investigadores-14 - 2019 - CUCEA,14,2019,CUCEA,Nivel II,10,2,,12
311 Investigadores-15 - 2020 - CUCEA,15,2020,CUCEA,Nivel II,10,2,,12
311 Investigadores-16 - 2021 - CUCEA,16,2021,CUCEA,Nivel II,11,2,,13
311 Investigadores-17 - 2022 - CUCEA,17,2022,CUCEA,Nivel II,11,2,,13
311 Investigadores-18 - 2023 - CUCEA,18,2023,CUCEA,Nivel II,15,2,,17
311 Investigadores-19 - 2018 - CUCEA,19,2018,CUCEA,Nivel III,3,0,,3
311 Investigadores-20 - 2019 - CUCEA,20,2019,CUCEA,Nivel III,3,0,,3
311 Investigadores-21 - 2020 - CUCEA,21,2020,CUCEA,Nivel III,4,0,,4
311 Investigadores-22 - 2021 - CUCEA,22,2021,CUCEA,Nivel III,4,0,,4
311 Investigadores-23 - 2022 - CUCEA,23,2022,CUCEA,Nivel III,7,1,,8
311 Investigadores-24 - 2023 - CUCEA,24,2023,CUCEA,Nivel III,8,1,,9
311 Investigadores-25 - 2018 - CUCEA,25,2018,CUCEA,Emérito,1,0,,1
311 Investigadores-26 - 2019 - CUCEA,26,2019,CUCEA,Emérito,1,0,,1
311 Investigadores-27 - 2020 - CUCEA,27,2020,CUCEA,Emérito,1,0,,1
311 Investigadores-28 - 2021 - CUCEA,28,2021,CUCEA,Emérito,0,0,,0
311 Investigadores-29 - 2022 - CUCEA,29,2022,CUCEA,Emérito,0,0,,0
311 Investigadores-30 - 2023 - CUCEA,30,2023,CUCEA,Emérito,0,0,,0
311 Investigadores-31 - 2018 - CUCEA,31,2018,CUCEA,SNCA,0,0,,0
311 Investigadores-32 - 2019 - CUCEA,32,2019,CUCEA,SNCA,0,0,,0
311 Investigadores-33 - 2020 - CUCEA,33,2020,CUCEA,SNCA,0,0,,0
311 Investigadores-34 - 2021 - CUCEA,34,2021,CUCEA,SNCA,0,0,,0
311 Investigadores-35 - 2022 - CUCEA,35,2022,CUCEA,SNCA,0,0,,0
311 Investigadores-36 - 2023 - CUCEA,36,2023,CUCEA,SNCA,0,0,,0
311 Investigadores-37 - 2018 - CUCEI,37,2018,CUCEI,Candidato,35,14,,49
311 Investigadores-38 - 2019 - CUCEI,38,2019,CUCEI,Candidato,42,22,,64
311 Investigadores-39 - 2020 - CUCEI,39,2020,CUCEI,Candidato,44,26,,70
311 Investigadores-40 - 2021 - CUCEI,40,2021,CUCEI,Candidato,46,25,,71
311 Investigadores-41 - 2022 - CUCEI,41,2022,CUCEI,Candidato,34,23,,57
311 Investigadores-42 - 2023 - CUCEI,42,2023,CUCEI,Candidato,40,27,,67
311 Investigadores-43 - 2018 - CUCEI,43,2018,CUCEI,Nivel I,114,47,,161
311 Investigadores-44 - 2019 - CUCEI,44,2019,CUCEI,Nivel I,121,51,,172
311 Investigadores-45 - 2020 - CUCEI,45,2020,CUCEI,Nivel I,132,45,,177
311 Investigadores-46 - 2021 - CUCEI,46,2021,CUCEI,Nivel I,131,45,,176
311 Investigadores-47 - 2022 - CUCEI,47,2022,CUCEI,Nivel I,131,53,,184
311 Investigadores-48 - 2023 - CUCEI,48,2023,CUCEI,Nivel I,155,65,,220
311 Investigadores-49 - 2018 - CUCEI,49,2018,CUCEI,Nivel II,25,3,,28
311 Investigadores-50 - 2019 - CUCEI,50,2019,CUCEI,Nivel II,29,4,,33
311 Investigadores-51 - 2020 - CUCEI,51,2020,CUCEI,Nivel II,28,4,,32
311 Investigadores-52 - 2021 - CUCEI,52,2021,CUCEI,Nivel II,29,4,,33
311 Investigadores-53 - 2022 - CUCEI,53,2022,CUCEI,Nivel II,32,5,,37
