name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-1 - 2018 - CUCEA,1,2018,CUCEA,Candidato,35,34,,69
311 Investigadores-2 - 2023 - CUCEA,2,2023,CUCEA,Nivel I,59,39,,98
311 Investigadores-3 - 2018 - CUCEA,3,2018,CUCEA,Nivel II,18,2,,20
311 Investigadores-4 - 2023 - CUCEA,4,2023,CUCEA,Nivel III,8,1,,9
311 Investigadores-5 - 2018 - CUCEA,5,2018,CUCEA,Emérito,1,0,,1
311 Investigadores-6 - 2023 - CUCEA,6,2023,CUCEA,SNCA,0,0,,0
311 Investigadores-7 - 2018 - CUCEI,7,2018,CUCEI,Candidato,41,28,,69
311 Investigadores-8 - 2019 - CUCEI,8,2019,CUCEI,Nivel I,156,66,,222
311 Investigadores-9 - 2020 - CUCEI,9,2020,CUCEI,Nivel II,38,10,,48
311 Investigadores-10 - 2021 - CUCEI,10,2021,CUCEI,Nivel III,13,1,,14
311 Investigadores-11 - 2022 - CUCEI,11,2022,CUCEI,Emérito,0,0,,0
311 Investigadores-12 - 2023 - CUCEI,12,2023,CUCEI,SNCA,0,0,,0
311 Investigadores-13 - 2018 - CUCSH,13,2018,CUCSH,Candidato,29,28,,57
311 Investigadores-14 - 2019 - CUCSH,14,2019,CUCSH,Nivel I,72,56,,128
311 Investigadores-15 - 2020 - CUCSH,15,2020,CUCSH,Nivel II,21,22,,43
311 Investigadores-16 - 2021 - CUCSH,16,2021,CUCSH,Nivel III,8,5,,13
311 Investigadores-17 - 2022 - CUCSH,17,2022,CUCSH,Emérito,1,2,,3
311 Investigadores-18 - 2023 - CUCSH,18,2023,CUCSH,SNCA,0,0,,0
311 Investigadores-19 - 2018 - CUCS,19,2018,CUCS,Candidato,42,45,,87
311 Investigadores-20 - 2019 - CUCS,20,2019,CUCS,Nivel I,85,105,,190
311 Investigadores-21 - 2020 - CUCS,21,2020,CUCS,Nivel II,22,27,,49
311 Investigadores-22 - 2021 - CUCS,22,2021,CUCS,Nivel III,10,8,,18
311 Investigadores-23 - 2022 - CUCS,23,2022,CUCS,Emérito,4,0,,4
311 Investigadores-24 - 2023 - CUCS,24,2023,CUCS,SNCA,0,0,,0
311 Investigadores-25 - 2018 - CUAAD,25,2018,CUAAD,Candidato,13,13,,26
311 Investigadores-26 - 2019 - CUAAD,26,2019,CUAAD,Nivel I,14,12,,26
311 Investigadores-27 - 2020 - CUAAD,27,2020,CUAAD,Nivel II,5,7,,12
311 Investigadores-28 - 2021 - CUAAD,28,2021,CUAAD,Nivel III,0,0,,0
311 Investigadores-29 - 2022 - CUAAD,29,2022,CUAAD,Emérito,0,0,,0
311 Investigadores-30 - 2023 - CUAAD,30,2023,CUAAD,SNCA,0,0,,0
311 Investigadores-31 - 2018 - CUCBA,31,2018,CUCBA,Candidato,14,17,,31
311 Investigadores-32 - 2019 - CUCBA,32,2019,CUCBA,Nivel I,55,52,,107
311 Investigadores-33 - 2020 - CUCBA,33,2020,CUCBA,Nivel II,11,10,,21
311 Investigadores-34 - 2021 - CUCBA,34,2021,CUCBA,Nivel III,7,2,,9
311 Investigadores-35 - 2022 - CUCBA,35,2022,CUCBA,Emérito,0,0,,0
311 Investigadores-36 - 2023 - CUCBA,36,2023,CUCBA,SNCA,0,0,,0
311 Investigadores-37 - 2018 - CUALTOS,37,2018,CUALTOS,Candidato,7,3,,10
311 Investigadores-38 - 2019 - CUALTOS,38,2019,CUALTOS,Nivel I,22,16,,38
311 Investigadores-39 - 2020 - CUALTOS,39,2020,CUALTOS,Nivel II,4,2,,6
311 Investigadores-40 - 2021 - CUALTOS,40,2021,CUALTOS,Nivel III,0,0,,0
311 Investigadores-41 - 2022 - CUALTOS,41,2022,CUALTOS,Emérito,0,0,,0
311 Investigadores-42 - 2023 - CUALTOS,42,2023,CUALTOS,SNCA,0,0,,0
311 Investigadores-43 - 2018 - CUCIÉNEGA,43,2018,CUCIÉNEGA,Candidato,2,14,,16
311 Investigadores-44 - 2019 - CUCIÉNEGA,44,2019,CUCIÉNEGA,Nivel I,38,17,,55
