name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-1 - 2024 - CUCEA,1,2024,CUCEA,Candidato,35,34,,69
311 Investigadores-2 - 2024 - CUCEA,2,2024,CUCEA,Nivel I,59,39,,98
311 Investigadores-3 - 2024 - CUCEA,3,2024,CUCEA,Nivel II,18,2,,20
311 Investigadores-4 - 2024 - CUCEA,4,2024,CUCEA,Nivel III,8,1,,9
311 Investigadores-5 - 2024 - CUCEA,5,2024,CUCEA,Emérito,1,0,,1
311 Investigadores-6 - 2024 - CUCEA,6,2024,CUCEA,SNCA,0,0,,0
311 Investigadores-7 - 2024 - CUCEI,7,2024,CUCEI,Candidato,41,28,,69
311 Investigadores-8 - 2024 - CUCEI,8,2024,CUCEI,Nivel I,156,66,,222
311 Investigadores-9 - 2024 - CUCEI,9,2024,CUCEI,Nivel II,38,10,,48
311 Investigadores-10 - 2024 - CUCEI,10,2024,CUCEI,Nivel III,13,1,,14
311 Investigadores-11 - 2024 - CUCEI,11,2024,CUCEI,Emérito,0,0,,0
311 Investigadores-12 - 2024 - CUCEI,12,2024,CUCEI,SNCA,0,0,,0
311 Investigadores-13 - 2024 - CUCSH,13,2024,CUCSH,Candidato,29,28,,57
311 Investigadores-14 - 2024 - CUCSH,14,2024,CUCSH,Nivel I,72,56,,128
311 Investigadores-15 - 2024 - CUCSH,15,2024,CUCSH,Nivel II,21,22,,43
311 Investigadores-16 - 2024 - CUCSH,16,2024,CUCSH,Nivel III,8,5,,13
311 Investigadores-17 - 2024 - CUCSH,17,2024,CUCSH,Emérito,1,2,,3
311 Investigadores-18 - 2024 - CUCSH,18,2024,CUCSH,SNCA,0,0,,0
311 Investigadores-19 - 2024 - CUCS,19,2024,CUCS,Candidato,42,45,,87
311 Investigadores-20 - 2024 - CUCS,20,2024,CUCS,Nivel I,85,105,,190
311 Investigadores-21 - 2024 - CUCS,21,2024,CUCS,Nivel II,22,27,,49
311 Investigadores-22 - 2024 - CUCS,22,2024,CUCS,Nivel III,10,8,,18
