name,row,anio,entidad_universitaria,pa_categoria,pa_nivel,tiempo_completo,medio_tiempo,total
312 Investigadores-1 - 2018 - CUCEA,1,2018,CUCEA,Asistente,A,0,0,0
312 Investigadores-2 - 2019 - CUCEA,2,2019,CUCEA,Asistente,A,0,0,0
312 Investigadores-3 - 2020 - CUCEA,3,2020,CUCEA,Asistente,A,0,0,0
312 Investigadores-4 - 2021 - CUCEA,4,2021,CUCEA,Asistente,A,0,0,0
312 Investigadores-5 - 2022 - CUCEA,5,2022,CUCEA,Asistente,A,0,0,0
312 Investigadores-6 - 2023 - CUCEA,6,2023,CUCEA,Asistente,A,0,0,0
312 Investigadores-7 - 2018 - CUCEA,7,2018,CUCEA,Asistente,B,0,0,0
312 Investigadores-8 - 2019 - CUCEA,8,2019,CUCEA,Asistente,B,0,0,0
312 Investigadores-9 - 2020 - CUCEA,9,2020,CUCEA,Asistente,B,0,0,0
312 Investigadores-10 - 2021 - CUCEA,10,2021,CUCEA,Asistente,B,0,0,0
312 Investigadores-11 - 2022 - CUCEA,11,2022,CUCEA,Asistente,B,0,0,0
312 Investigadores-12 - 2023 - CUCEA,12,2023,CUCEA,Asistente,B,0,0,0
312 Investigadores-13 - 2018 - CUCEA,13,2018,CUCEA,Asistente,C,1,0,1
312 Investigadores-14 - 2019 - CUCEA,14,2019,CUCEA,Asistente,C,1,0,1
312 Investigadores-15 - 2020 - CUCEA,15,2020,CUCEA,Asistente,C,1,0,1
312 Investigadores-16 - 2021 - CUCEA,16,2021,CUCEA,Asistente,C,2,0,2
312 Investigadores-17 - 2022 - CUCEA,17,2022,CUCEA,Asistente,C,3,0,3
312 Investigadores-18 - 2023 - CUCEA,18,2023,CUCEA,Asistente,C,4,0,4
312 Investigadores-19 - 2018 - CUCEA,19,2018,CUCEA,Asociado,A,14,0,14
312 Investigadores-20 - 2019 - CUCEA,20,2019,CUCEA,Asociado,A,15,0,15
312 Investigadores-21 - 2020 - CUCEA,21,2020,CUCEA,Asociado,A,15,0,15
312 Investigadores-22 - 2021 - CUCEA,22,2021,CUCEA,Asociado,A,29,0,29
