name,row,anio,entidad_universitaria,pa_categoria,pa_nivel,total,tiempo_completo,medio_tiempo
312 Investigadores-1 - 2024 - CUCEA,1,2024,CUCEA,Asistente,A,0,0,0
312 Investigadores-2 - 2024 - CUCEA,2,2024,CUCEA,Asistente,B,0,0,0
312 Investigadores-3 - 2024 - CUCEA,3,2024,CUCEA,Asistente,C,1,1,0
312 Investigadores-4 - 2024 - CUCEA,4,2024,CUCEA,Asociado,A,17,17,0
312 Investigadores-5 - 2024 - CUCEA,5,2024,CUCEA,Asociado,B,30,30,0
312 Investigadores-6 - 2024 - CUCEA,6,2024,CUCEA,Asociado,C,40,40,0
312 Investigadores-7 - 2024 - CUCEA,7,2024,CUCEA,Titular,A,31,31,0
312 Investigadores-8 - 2024 - CUCEA,8,2024,CUCEA,Titular,B,40,40,0
312 Investigadores-9 - 2024 - CUCEA,9,2024,CUCEA,Titular,C,97,96,1
312 Investigadores-10 - 2024 - CUCEI,10,2024,CUCEI,Asistente,A,0,0,0
312 Investigadores-11 - 2024 - CUCEI,11,2024,CUCEI,Asistente,B,0,0,0
312 Investigadores-12 - 2024 - CUCEI,12,2024,CUCEI,Asistente,C,2,2,0
312 Investigadores-13 - 2024 - CUCEI,13,2024,CUCEI,Asociado,A,28,28,0
312 Investigadores-14 - 2024 - CUCEI,14,2024,CUCEI,Asociado,B,40,40,0
312 Investigadores-15 - 2024 - CUCEI,15,2024,CUCEI,Asociado,C,32,32,0
312 Investigadores-16 - 2024 - CUCEI,16,2024,CUCEI,Titular,A,97,97,0
312 Investigadores-17 - 2024 - CUCEI,17,2024,CUCEI,Titular,B,67,67,0
312 Investigadores-18 - 2024 - CUCEI,18,2024,CUCEI,Titular,C,129,129,0
312 Investigadores-19 - 2024 - CUCSH,19,2024,CUCSH,Asistente,A,0,0,0
312 Investigadores-20 - 2024 - CUCSH,20,2024,CUCSH,Asistente,B,0,0,0
312 Investigadores-21 - 2024 - CUCSH,21,2024,CUCSH,Asistente,C,2,2,0
312 Investigadores-22 - 2024 - CUCSH,22,2024,CUCSH,Asociado,A,26,26,0
312 Investigadores-23 - 2024 - CUCSH,23,2024,CUCSH,Asociado,B,34,34,0
312 Investigadores-24 - 2024 - CUCSH,24,2024,CUCSH,Asociado,C,44,44,0
312 Investigadores-25 - 2024 - CUCSH,25,2024,CUCSH,Titular,A,60,59,1
312 Investigadores-26 - 2024 - CUCSH,26,2024,CUCSH,Titular,B,48,48,0
312 Investigadores-27 - 2024 - CUCSH,27,2024,CUCSH,Titular,C,156,156,0
312 Investigadores-28 - 2024 - CUCS,28,2024,CUCS,Asistente,A,0,0,0
312 Investigadores-29 - 2024 - CUCS,29,2024,CUCS,Asistente,B,0,0,0
312 Investigadores-30 - 2024 - CUCS,30,2024,CUCS,Asistente,C,2,2,0
312 Investigadores-31 - 2024 - CUCS,31,2024,CUCS,Asociado,A,28,28,0
312 Investigadores-32 - 2024 - CUCS,32,2024,CUCS,Asociado,B,51,51,0
312 Investigadores-33 - 2024 - CUCS,33,2024,CUCS,Asociado,C,44,44,0
312 Investigadores-34 - 2024 - CUCS,34,2024,CUCS,Titular,A,43,42,1
312 Investigadores-35 - 2024 - CUCS,35,2024,CUCS,Titular,B,40,40,0
312 Investigadores-36 - 2024 - CUCS,36,2024,CUCS,Titular,C,130,130,0
312 Investigadores-37 - 2024 - CUAAD,37,2024,CUAAD,Asistente,A,0,0,0
312 Investigadores-38 - 2024 - CUAAD,38,2024,CUAAD,Asistente,B,0,0,0
312 Investigadores-39 - 2024 - CUAAD,39,2024,CUAAD,Asistente,C,3,3,0
312 Investigadores-40 - 2024 - CUAAD,40,2024,CUAAD,Asociado,A,14,14,0
312 Investigadores-41 - 2024 - CUAAD,41,2024,CUAAD,Asociado,B,10,10,0
312 Investigadores-42 - 2024 - CUAAD,42,2024,CUAAD,Asociado,C,12,12,0
312 Investigadores-43 - 2024 - CUAAD,43,2024,CUAAD,Titular,A,23,23,0
312 Investigadores-44 - 2024 - CUAAD,44,2024,CUAAD,Titular,B,21,21,0
312 Investigadores-45 - 2024 - CUAAD,45,2024,CUAAD,Titular,C,34,34,0
312 Investigadores-46 - 2024 - CUCBA,46,2024,CUCBA,Asistente,A,0,0,0
312 Investigadores-47 - 2024 - CUCBA,47,2024,CUCBA,Asistente,B,0,0,0
312 Investigadores-48 - 2024 - CUCBA,48,2024,CUCBA,Asistente,C,0,0,0
312 Investigadores-49 - 2024 - CUCBA,49,2024,CUCBA,Asociado,A,12,12,0
312 Investigadores-50 - 2024 - CUCBA,50,2024,CUCBA,Asociado,B,17,17,0
312 Investigadores-51 - 2024 - CUCBA,51,2024,CUCBA,Asociado,C,11,11,0
312 Investigadores-52 - 2024 - CUCBA,52,2024,CUCBA,Titular,A,27,27,0
312 Investigadores-53 - 2024 - CUCBA,53,2024,CUCBA,Titular,B,31,31,0
312 Investigadores-54 - 2024 - CUCBA,54,2024,CUCBA,Titular,C,110,109,1
312 Investigadores-55 - 2024 - CUALTOS,55,2024,CUALTOS,Asistente,A,0,0,0
312 Investigadores-56 - 2024 - CUALTOS,56,2024,CUALTOS,Asistente,B,0,0,0
