name,row,anio,campo_formacion,hombres,mujeres,persoas_nb,total
412 Prestadores de SS por CA-1 - 2018 - Educación,1,2018,Educación,107,450,,557
412 Prestadores de SS por CA-2 - 2018 - Artes,2,2018,Artes,647,1434,,2081
412 Prestadores de SS por CA-3 - 2018 - Ciencias sociales,3,2018,Ciencias sociales,1144,3345,,4489
412 Prestadores de SS por CA-4 - 2018 - Administración,4,2018,Administración,2464,4877,,7341
412 Prestadores de SS por CA-5 - 2018 - Ciencias naturales,5,2018,Ciencias naturales,359,977,,1336
412 Prestadores de SS por CA-6 - 2018 - Tecnologías,6,2018,Tecnologías,1032,1190,,2222
412 Prestadores de SS por CA-7 - 2018 - Ingeniería,7,2018,Ingeniería,2811,2777,,5588
412 Prestadores de SS por CA-8 - 2018 - Agronomía,8,2018,Agronomía,595,956,,1551
412 Prestadores de SS por CA-9 - 2018 - Ciencias de la salud,9,2018,Ciencias de la salud,1505,1685,,3190
412 Prestadores de SS por CA-10 - 2018 - Servicios,10,2018,Servicios,264,629,,893
412 Prestadores de SS por CA-11 - 2019 - Educación,11,2019,Educación,177,423,,600
412 Prestadores de SS por CA-12 - 2019 - Artes,12,2019,Artes,951,1696,,2647
412 Prestadores de SS por CA-13 - 2019 - Ciencias sociales,13,2019,Ciencias sociales,1294,3413,,4707
412 Prestadores de SS por CA-14 - 2019 - Administración,14,2019,Administración,2780,4566,,7346
412 Prestadores de SS por CA-15 - 2019 - Ciencias naturales,15,2019,Ciencias naturales,381,1001,,1382
412 Prestadores de SS por CA-16 - 2019 - Tecnologías,16,2019,Tecnologías,1188,1089,,2277
412 Prestadores de SS por CA-17 - 2019 - Ingeniería,17,2019,Ingeniería,3458,1855,,5313
412 Prestadores de SS por CA-18 - 2019 - Agronomía,18,2019,Agronomía,794,891,,1685
412 Prestadores de SS por CA-19 - 2019 - Ciencias de la salud,19,2019,Ciencias de la salud,1659,2092,,3751
412 Prestadores de SS por CA-20 - 2019 - Servicios,20,2019,Servicios,310,692,,1002
412 Prestadores de SS por CA-21 - 2020 - Educación,21,2020,Educación,151,665,,816
412 Prestadores de SS por CA-22 - 2020 - Artes,22,2020,Artes,1061,1560,,2621
412 Prestadores de SS por CA-23 - 2020 - Ciencias sociales,23,2020,Ciencias sociales,1666,2622,,4288
412 Prestadores de SS por CA-24 - 2020 - Administración,24,2020,Administración,2849,3812,,6661
412 Prestadores de SS por CA-25 - 2020 - Ciencias naturales,25,2020,Ciencias naturales,419,663,,1082
412 Prestadores de SS por CA-26 - 2020 - Tecnologías,26,2020,Tecnologías,1177,1719,,2896
412 Prestadores de SS por CA-27 - 2020 - Ingeniería,27,2020,Ingeniería,3640,2007,,5647
412 Prestadores de SS por CA-28 - 2020 - Agronomía,28,2020,Agronomía,652,979,,1631
412 Prestadores de SS por CA-29 - 2020 - Ciencias de la salud,29,2020,Ciencias de la salud,1656,1836,,3492
412 Prestadores de SS por CA-30 - 2020 - Servicios,30,2020,Servicios,320,594,,914
