name,row,anio,entidad_universitaria,sector,hombres,mujeres,persoas_nb,total,convenios_vigentes_pp
421 Prácticas profesionales-1 - 2018 - CUCEA - No identificado,1,2018,CUCEA,No identificado,,,,,630
421 Prácticas profesionales-2 - 2018 - CUCEA - Público,2,2018,CUCEA,Público,173,273,,446,
421 Prácticas profesionales-3 - 2018 - CUCEA - Federal,3,2018,CUCEA,Federal,0,0,,0,
421 Prácticas profesionales-4 - 2018 - CUCEA - Estatal,4,2018,CUCEA,Estatal,0,0,,0,
421 Prácticas profesionales-5 - 2018 - CUCEA - Municipal,5,2018,CUCEA,Municipal,173,273,,446,
421 Prácticas profesionales-6 - 2018 - CUCEA - Privado,6,2018,CUCEA,Privado,925,1217,,2142,
421 Prácticas profesionales-7 - 2018 - CUCEA - Civil,7,2018,CUCEA,Civil,0,0,,0,
421 Prácticas profesionales-8 - 2018 - CUCEI - Público,8,2018,CUCEI,Público,64,53,,117,0
421 Prácticas profesionales-9 - 2018 - CUCEI - Federal,9,2018,CUCEI,Federal,0,0,,0,0
421 Prácticas profesionales-10 - 2018 - CUCEI - Estatal,10,2018,CUCEI,Estatal,64,53,,117,0
421 Prácticas profesionales-11 - 2018 - CUCEI - Municipal,11,2018,CUCEI,Municipal,0,0,,0,0
421 Prácticas profesionales-12 - 2018 - CUCEI - Privado,12,2018,CUCEI,Privado,387,246,,633,160
421 Prácticas profesionales-13 - 2018 - CUCEI - Civil,13,2018,CUCEI,Civil,0,0,,0,4
421 Prácticas profesionales-14 - 2018 - CUCSH - Público,14,2018,CUCSH,Público,579,346,,925,68
421 Prácticas profesionales-15 - 2018 - CUCSH - Federal,15,2018,CUCSH,Federal,21,17,,38,19
421 Prácticas profesionales-16 - 2018 - CUCSH - Estatal,16,2018,CUCSH,Estatal,335,208,,543,26
421 Prácticas profesionales-17 - 2018 - CUCSH - Municipal,17,2018,CUCSH,Municipal,223,121,,344,23
421 Prácticas profesionales-18 - 2018 - CUCSH - Privado,18,2018,CUCSH,Privado,67,25,,92,67
