name,row,anio,entidad_universitaria,sector,hombres,mujeres,persoas_nb,total,convenios_vigentes_pp
421 Prácticas profesionales-1 - 2024 - CUCEA - Público,1,2024,CUCEA,Público,130,211,,341,44
421 Prácticas profesionales-2 - 2024 - CUCEA - Federal,2,2024,CUCEA,Federal,11,34,,45,5
421 Prácticas profesionales-3 - 2024 - CUCEA - Estatal,3,2024,CUCEA,Estatal,64,79,,143,33
421 Prácticas profesionales-4 - 2024 - CUCEA - Municipal,4,2024,CUCEA,Municipal,55,98,,153,6
421 Prácticas profesionales-5 - 2024 - CUCEA - Privado,5,2024,CUCEA,Privado,1331,2129,,3460,740
421 Prácticas profesionales-6 - 2024 - CUCEA - Civil,6,2024,CUCEA,Civil,28,41,,69,31
421 Prácticas profesionales-7 - 2024 - CUCEI - Público,7,2024,CUCEI,Público,185,128,,313,4
421 Prácticas profesionales-8 - 2024 - CUCEI - Federal,8,2024,CUCEI,Federal,20,4,,24,2
421 Prácticas profesionales-9 - 2024 - CUCEI - Estatal,9,2024,CUCEI,Estatal,65,44,,109,1
421 Prácticas profesionales-10 - 2024 - CUCEI - Municipal,10,2024,CUCEI,Municipal,100,80,,180,1
421 Prácticas profesionales-11 - 2024 - CUCEI - Privado,11,2024,CUCEI,Privado,942,544,,1486,310
421 Prácticas profesionales-12 - 2024 - CUCEI - Civil,12,2024,CUCEI,Civil,43,27,,70,11
421 Prácticas profesionales-13 - 2024 - CUCSH - Público,13,2024,CUCSH,Público,605,748,,1353,79
421 Prácticas profesionales-14 - 2024 - CUCSH - Federal,14,2024,CUCSH,Federal,66,96,,162,39
421 Prácticas profesionales-15 - 2024 - CUCSH - Estatal,15,2024,CUCSH,Estatal,496,536,,1032,18
421 Prácticas profesionales-16 - 2024 - CUCSH - Municipal,16,2024,CUCSH,Municipal,43,116,,159,22
421 Prácticas profesionales-17 - 2024 - CUCSH - Privado,17,2024,CUCSH,Privado,117,139,,256,100
421 Prácticas profesionales-18 - 2024 - CUCSH - Civil,18,2024,CUCSH,Civil,68,204,,272,29
421 Prácticas profesionales-19 - 2024 - CUCS - Público,19,2024,CUCS,Público,1679,4887,,6566,20
421 Prácticas profesionales-20 - 2024 - CUCS - Federal,20,2024,CUCS,Federal,203,613,,816,3
421 Prácticas profesionales-21 - 2024 - CUCS - Estatal,21,2024,CUCS,Estatal,1337,4054,,5391,16
421 Prácticas profesionales-22 - 2024 - CUCS - Municipal,22,2024,CUCS,Municipal,139,220,,359,1
421 Prácticas profesionales-23 - 2024 - CUCS - Privado,23,2024,CUCS,Privado,213,587,,800,68
421 Prácticas profesionales-24 - 2024 - CUCS - Civil,24,2024,CUCS,Civil,89,335,,424,22
421 Prácticas profesionales-25 - 2024 - CUAAD - Público,25,2024,CUAAD,Público,60,85,,145,31
421 Prácticas profesionales-26 - 2024 - CUAAD - Federal,26,2024,CUAAD,Federal,0,0,,0,1
421 Prácticas profesionales-27 - 2024 - CUAAD - Estatal,27,2024,CUAAD,Estatal,49,72,,121,22
421 Prácticas profesionales-28 - 2024 - CUAAD - Municipal,28,2024,CUAAD,Municipal,11,13,,24,8
421 Prácticas profesionales-29 - 2024 - CUAAD - Privado,29,2024,CUAAD,Privado,194,337,,531,355
421 Prácticas profesionales-30 - 2024 - CUAAD - Civil,30,2024,CUAAD,Civil,1,3,,4,3
421 Prácticas profesionales-31 - 2024 - CUCBA - Público,31,2024,CUCBA,Público,90,86,,176,11
421 Prácticas profesionales-32 - 2024 - CUCBA - Federal,32,2024,CUCBA,Federal,15,31,,46,5
421 Prácticas profesionales-33 - 2024 - CUCBA - Estatal,33,2024,CUCBA,Estatal,48,2,,50,1
421 Prácticas profesionales-34 - 2024 - CUCBA - Municipal,34,2024,CUCBA,Municipal,27,53,,80,5
421 Prácticas profesionales-35 - 2024 - CUCBA - Privado,35,2024,CUCBA,Privado,359,450,,809,200
421 Prácticas profesionales-36 - 2024 - CUCBA - Civil,36,2024,CUCBA,Civil,5,11,,16,5
421 Prácticas profesionales-37 - 2024 - CUALTOS - Público,37,2024,CUALTOS,Público,80,298,,378,30
421 Prácticas profesionales-38 - 2024 - CUALTOS - Federal,38,2024,CUALTOS,Federal,0,0,,0,2
421 Prácticas profesionales-39 - 2024 - CUALTOS - Estatal,39,2024,CUALTOS,Estatal,20,20,,40,5
421 Prácticas profesionales-40 - 2024 - CUALTOS - Municipal,40,2024,CUALTOS,Municipal,60,278,,338,23
421 Prácticas profesionales-41 - 2024 - CUALTOS - Privado,41,2024,CUALTOS,Privado,128,307,,435,469
421 Prácticas profesionales-42 - 2024 - CUALTOS - Civil,42,2024,CUALTOS,Civil,13,51,,64,37
421 Prácticas profesionales-43 - 2024 - CUCIÉNEGA - Público,43,2024,CUCIÉNEGA,Público,88,178,,266,55
421 Prácticas profesionales-44 - 2024 - CUCIÉNEGA - Federal,44,2024,CUCIÉNEGA,Federal,12,14,,26,0
421 Prácticas profesionales-45 - 2024 - CUCIÉNEGA - Estatal,45,2024,CUCIÉNEGA,Estatal,29,57,,86,34
421 Prácticas profesionales-46 - 2024 - CUCIÉNEGA - Municipal,46,2024,CUCIÉNEGA,Municipal,47,107,,154,21
421 Prácticas profesionales-47 - 2024 - CUCIÉNEGA - Privado,47,2024,CUCIÉNEGA,Privado,215,314,,529,131
