name,row,anio,entidad_universitaria,sector,hombres,mujeres,persoas_nb,total,convenios_vigentes_pp
421 Prácticas profesionales his-1 - 2018 - AG - Público,1,2018,AG,Público,2915,4382,,7297,474
421 Prácticas profesionales his-2 - 2018 - AG - Federal,2,2018,AG,Federal,688,423,,1111,55
421 Prácticas profesionales his-3 - 2018 - AG - Estatal,3,2018,AG,Estatal,871,1199,,2070,194
421 Prácticas profesionales his-4 - 2018 - AG - Municipal,4,2018,AG,Municipal,676,1418,,2094,215
421 Prácticas profesionales his-5 - 2018 - AG - Privado,5,2018,AG,Privado,3821,3662,,7483,1401
421 Prácticas profesionales his-6 - 2018 - AG - Civil,6,2018,AG,Civil,122,76,,198,125
421 Prácticas profesionales his-7 - 2019 - AG - Público,7,2019,AG,Público,3123,5131,,8254,466
421 Prácticas profesionales his-8 - 2019 - AG - Federal,8,2019,AG,Federal,806,1287,,2093,75
421 Prácticas profesionales his-9 - 2019 - AG - Estatal,9,2019,AG,Estatal,864,1201,,2065,161
421 Prácticas profesionales his-10 - 2019 - AG - Municipal,10,2019,AG,Municipal,773,1552,,2325,173
421 Prácticas profesionales his-11 - 2019 - AG - Privado,11,2019,AG,Privado,3767,4243,,8010,2370
421 Prácticas profesionales his-12 - 2019 - AG - Civil,12,2019,AG,Civil,140,98,,238,247
421 Prácticas profesionales his-13 - 2020 - AG - Público,13,2020,AG,Público,2206,2269,,4475,545
421 Prácticas profesionales his-14 - 2020 - AG - Federal,14,2020,AG,Federal,545,490,,1035,84
421 Prácticas profesionales his-15 - 2020 - AG - Estatal,15,2020,AG,Estatal,564,235,,799,181
421 Prácticas profesionales his-16 - 2020 - AG - Municipal,16,2020,AG,Municipal,618,633,,1251,218
421 Prácticas profesionales his-17 - 2020 - AG - Privado,17,2020,AG,Privado,3084,3799,,6883,2046
421 Prácticas profesionales his-18 - 2020 - AG - Civil,18,2020,AG,Civil,42,60,,102,193
421 Prácticas profesionales his-19 - 2021 - AG - Público,19,2021,AG,Público,3001,4281,,7282,583
421 Prácticas profesionales his-20 - 2021 - AG - Federal,20,2021,AG,Federal,827,689,,1516,110
421 Prácticas profesionales his-21 - 2021 - AG - Estatal,21,2021,AG,Estatal,693,694,,1387,152
421 Prácticas profesionales his-22 - 2021 - AG - Municipal,22,2021,AG,Municipal,842,2003,,2845,275
421 Prácticas profesionales his-23 - 2021 - AG - Privado,23,2021,AG,Privado,3878,4528,,8406,2352
421 Prácticas profesionales his-24 - 2021 - AG - Civil,24,2021,AG,Civil,54,60,,114,306
421 Prácticas profesionales his-25 - 2022 - AG - Público,25,2022,AG,Público,3841,6027,,9868,840
421 Prácticas profesionales his-26 - 2022 - AG - Federal,26,2022,AG,Federal,1083,1561,,2644,92
421 Prácticas profesionales his-27 - 2022 - AG - Estatal,27,2022,AG,Estatal,1895,3354,,5249,246
421 Prácticas profesionales his-28 - 2022 - AG - Municipal,28,2022,AG,Municipal,863,1112,,1975,502
421 Prácticas profesionales his-29 - 2022 - AG - Privado,29,2022,AG,Privado,4752,9147,,13899,3783
421 Prácticas profesionales his-30 - 2022 - AG - Civil,30,2022,AG,Civil,404,584,,988,241
421 Prácticas profesionales his-31 - 2023 - AG - Público,31,2023,AG,Público,5096,11254,,16350,807
421 Prácticas profesionales his-32 - 2023 - AG - Federal,32,2023,AG,Federal,637,1317,,1954,106
421 Prácticas profesionales his-33 - 2023 - AG - Estatal,33,2023,AG,Estatal,3344,7564,,10908,281
421 Prácticas profesionales his-34 - 2023 - AG - Municipal,34,2023,AG,Municipal,1115,2373,,3488,420
421 Prácticas profesionales his-35 - 2023 - AG - Privado,35,2023,AG,Privado,5578,7137,,12715,4306
421 Prácticas profesionales his-36 - 2023 - AG - Civil,36,2023,AG,Civil,282,547,,829,241

