name,row,anio,entidad_universitaria,programa_educativo_vigente,total
422 PE que requieren PP-1 - 2023 - CUCEA,1,2023,CUCEA,Licenciatura en Administración,1
422 PE que requieren PP-2 - 2023 - CUCEA,2,2023,CUCEA,Licenciatura en Administración Financiera y Sistemas,1
422 PE que requieren PP-3 - 2023 - CUCEA,3,2023,CUCEA,Licenciatura en Administración Gubernamental y Políticas Públicas,1
422 PE que requieren PP-4 - 2023 - CUCEA,4,2023,CUCEA,Licenciatura en Contaduría Pública,1
422 PE que requieren PP-5 - 2023 - CUCEA,5,2023,CUCEA,Licenciatura en Economía,1
422 PE que requieren PP-6 - 2023 - CUCEA,6,2023,CUCEA,Licenciatura en Gestión de Negocios Gastronómicos,1
422 PE que requieren PP-7 - 2023 - CUCEA,7,2023,CUCEA,Licenciatura en Gestión y Economía Ambiental,1
422 PE que requieren PP-8 - 2023 - CUCEA,8,2023,CUCEA,Licenciatura en Mercadotecnia,1
422 PE que requieren PP-9 - 2023 - CUCEA,9,2023,CUCEA,Licenciatura en Negocios Internacionales,1
422 PE que requieren PP-10 - 2023 - CUCEA,10,2023,CUCEA,Licenciatura en Recursos Humanos,1
422 PE que requieren PP-11 - 2023 - CUCEA,11,2023,CUCEA,Licenciatura en Relaciones Públicas y Comunicación,1
422 PE que requieren PP-12 - 2023 - CUCEA,12,2023,CUCEA,Licenciatura en Tecnologías de la Información,1
422 PE que requieren PP-13 - 2023 - CUCEA,13,2023,CUCEA,Licenciatura en Turismo,1
422 PE que requieren PP-14 - 2023 - CUCEA,14,2023,CUCEA,Ingeniería en Negocios,1
422 PE que requieren PP-15 - 2023 - CUCEA,15,2023,CUCEA,Técnico Superior Universitario en Gestión Hotelera,1
422 PE que requieren PP-16 - 2023 - CUCEA,16,2023,CUCEA,Técnico Superior Universitario en Redes y Telecomunicaciones,1
422 PE que requieren PP-17 - 2023 - CUCEA,17,2023,CUCEA,Técnico Superior Universitario en Tecnologías de la Información,1
422 PE que requieren PP-18 - 2023 - CUCEI,18,2023,CUCEI,Ingeniería Civil,1
422 PE que requieren PP-19 - 2023 - CUCEI,19,2023,CUCEI,Licenciatura en Ingeniería en Alimentos y Biotecnología,1
422 PE que requieren PP-20 - 2023 - CUCEI,20,2023,CUCEI,Ingeniería en Computación,1
422 PE que requieren PP-21 - 2023 - CUCEI,21,2023,CUCEI,Ingeniería en Logística y Transporte,1
422 PE que requieren PP-22 - 2023 - CUCEI,22,2023,CUCEI,Ingeniería Industrial,1
422 PE que requieren PP-23 - 2023 - CUCEI,23,2023,CUCEI,Ingeniería Informática,1
422 PE que requieren PP-24 - 2023 - CUCEI,24,2023,CUCEI,Ingeniería Mecánica Eléctrica,1
422 PE que requieren PP-25 - 2023 - CUCEI,25,2023,CUCEI,Ingeniería Química,1
422 PE que requieren PP-26 - 2023 - CUCEI,26,2023,CUCEI,Ingeniería en Topografía Geomática,1
422 PE que requieren PP-27 - 2023 - CUCEI,27,2023,CUCEI,Licenciatura en Ciencia de Materiales,1
422 PE que requieren PP-28 - 2023 - CUCEI,28,2023,CUCEI,Licenciatura en Física,1
422 PE que requieren PP-29 - 2023 - CUCEI,29,2023,CUCEI,Licenciatura en Matemáticas,1
422 PE que requieren PP-30 - 2023 - CUCEI,30,2023,CUCEI,Licenciatura en Química,1
422 PE que requieren PP-31 - 2023 - CUCEI,31,2023,CUCEI,Licenciado en Químico Farmacéutico Biólogo,1
422 PE que requieren PP-32 - 2023 - CUCEI,32,2023,CUCEI,Técnico Superior Universitario en Informática,1
422 PE que requieren PP-33 - 2023 - CUCEI,33,2023,CUCEI,Técnico Superior Universitario en Redes de Cómputo,1
422 PE que requieren PP-34 - 2023 - CUCEI,34,2023,CUCEI,Técnico Superior Universitario en Sistemas de Calidad,1
422 PE que requieren PP-35 - 2023 - CUCEI,35,2023,CUCEI,Técnico Superior Universitario en Herramentales,1
422 PE que requieren PP-36 - 2023 - CUCEI,36,2023,CUCEI,Técnico Superior Universitario en Inyección de Plásticos,1
422 PE que requieren PP-37 - 2023 - CUCEI,37,2023,CUCEI,Técnico Superior Universitario en Electrónica,1
422 PE que requieren PP-38 - 2023 - CUCEI,38,2023,CUCEI,Técnico Superior Universitario en Meteorología,1
422 PE que requieren PP-39 - 2023 - CUCEI,39,2023,CUCEI,Técnico Superior Universitario en Electrónica y Pruebas,1
422 PE que requieren PP-40 - 2023 - CUCEI,40,2023,CUCEI,Técnico Superior Universitario en Sistemas Informáticos,1
422 PE que requieren PP-41 - 2023 - CUCEI,41,2023,CUCEI,Técnico Superior Universitario en Control de Calidad,1
422 PE que requieren PP-42 - 2023 - CUCEI,42,2023,CUCEI,Técnico Superior Universitario en Mantenimiento Industrial,1
422 PE que requieren PP-43 - 2023 - CUCEI,43,2023,CUCEI,Técnico Superior Universitario en Procesos de Manufactura,1
422 PE que requieren PP-44 - 2023 - CUCSH,44,2023,CUCSH,Abogado,1
422 PE que requieren PP-45 - 2023 - CUCSH,45,2023,CUCSH,Abogado (semiescolarizado),1
422 PE que requieren PP-46 - 2023 - CUCSH,46,2023,CUCSH,Licenciatura en Antropología,1
422 PE que requieren PP-47 - 2023 - CUCSH,47,2023,CUCSH,Licenciatura en Comunicación Pública,1
422 PE que requieren PP-48 - 2023 - CUCSH,48,2023,CUCSH,Licenciatura en Criminología,1
422 PE que requieren PP-49 - 2023 - CUCSH,49,2023,CUCSH,Licenciatura en Docencia del Inglés como Lengua Extranjera,1
422 PE que requieren PP-50 - 2023 - CUCSH,50,2023,CUCSH,Licenciatura en Docencia del Inglés como Lengua Extranjera (modalidad abierta y a distancia),1
422 PE que requieren PP-51 - 2023 - CUCSH,51,2023,CUCSH,Licenciatura en Escritura Creativa,1
422 PE que requieren PP-52 - 2023 - CUCSH,52,2023,CUCSH,Licenciatura en Estudios Políticos y de Gobierno,1
422 PE que requieren PP-53 - 2023 - CUCSH,53,2023,CUCSH,Licenciatura en Filosofía,1
422 PE que requieren PP-54 - 2023 - CUCSH,54,2023,CUCSH,Licenciatura en Geografía,1
422 PE que requieren PP-55 - 2023 - CUCSH,55,2023,CUCSH,Licenciatura en Historia,1
422 PE que requieren PP-56 - 2023 - CUCSH,56,2023,CUCSH,Licenciatura en Letras Hispánicas,1
422 PE que requieren PP-57 - 2023 - CUCSH,57,2023,CUCSH,Licenciatura en Relaciones Internacionales,1
422 PE que requieren PP-58 - 2023 - CUCSH,58,2023,CUCSH,Licenciatura en Sociología,1
422 PE que requieren PP-59 - 2023 - CUCSH,59,2023,CUCSH,Licenciatura en Trabajo Social,1
422 PE que requieren PP-60 - 2023 - CUCSH,60,2023,CUCSH,Programa de Nivelación de la Licenciatura en Trabajo Social (abierto y modular),1
422 PE que requieren PP-61 - 2023 - CUCS,61,2023,CUCS,Licenciatura en Ciencias Forenses,1
422 PE que requieren PP-62 - 2023 - CUCS,62,2023,CUCS,Licenciatura en Cirujano Dentista,1
422 PE que requieren PP-63 - 2023 - CUCS,63,2023,CUCS,Licenciatura en Cultura Física y Deportes,1
422 PE que requieren PP-64 - 2023 - CUCS,64,2023,CUCS,Licenciatura en Enfermería,1
422 PE que requieren PP-65 - 2023 - CUCS,65,2023,CUCS,Licenciatura en Enfermería (modalidad a distancia),1
422 PE que requieren PP-66 - 2023 - CUCS,66,2023,CUCS,Licenciatura en Nutrición,1
422 PE que requieren PP-67 - 2023 - CUCS,67,2023,CUCS,Licenciatura en Podología,1
422 PE que requieren PP-68 - 2023 - CUCS,68,2023,CUCS,Licenciatura en Psicología,1
422 PE que requieren PP-69 - 2023 - CUCS,69,2023,CUCS,"Médico, Cirujano y Partero",1
422 PE que requieren PP-70 - 2023 - CUCS,70,2023,CUCS,Licenciatura en Terapia Física,1
422 PE que requieren PP-71 - 2023 - CUCS,71,2023,CUCS,Programa de Nivelación de la Licenciatura en Terapia Física,1
422 PE que requieren PP-72 - 2023 - CUCS,72,2023,CUCS,Programa de Nivelación de la Licenciatura en Enfermería (modalidad a distancia),1
422 PE que requieren PP-73 - 2023 - CUCS,73,2023,CUCS,"Técnico Superior Universitario en Emergencias, Seguridad Laboral y Rescates",1
422 PE que requieren PP-74 - 2023 - CUCS,74,2023,CUCS,"Programa de Nivelación de la Carrera de Técnico Superior Universitario en Emergencias, Seguridad Laboral y Rescates",1
422 PE que requieren PP-75 - 2023 - CUCS,75,2023,CUCS,Técnico Superior Universitario en Radiología e Imagen,1
422 PE que requieren PP-76 - 2023 - CUCS,76,2023,CUCS,Técnico Superior Universitario en Prótesis Dental,1
422 PE que requieren PP-77 - 2023 - CUCS,77,2023,CUCS,Técnico Superior Universitario en Terapia Física,1
422 PE que requieren PP-78 - 2023 - CUCS,78,2023,CUCS,Técnico Superior Universitario en Terapia Respiratoria,1
422 PE que requieren PP-79 - 2023 - CUAAD,79,2023,CUAAD,Licenciatura en Arquitectura,1
422 PE que requieren PP-80 - 2023 - CUAAD,80,2023,CUAAD,Licenciatura en Diseño de Interiores y Ambientación,1
422 PE que requieren PP-81 - 2023 - CUAAD,81,2023,CUAAD,Licenciatura en Diseño de Modas,1
422 PE que requieren PP-82 - 2023 - CUAAD,82,2023,CUAAD,Licenciatura en Diseño Industrial,1
422 PE que requieren PP-83 - 2023 - CUAAD,83,2023,CUAAD,Licenciatura en Urbanística y Medio Ambiente,1
422 PE que requieren PP-84 - 2023 - CUAAD,84,2023,CUAAD,"Licenciatura en Diseño, Arte y Tecnologías Interactivas",1
422 PE que requieren PP-85 - 2023 - CUAAD,85,2023,CUAAD,Licenciatura en Diseño para la Comunicación Gráfica,1
422 PE que requieren PP-86 - 2023 - CUAAD,86,2023,CUAAD,"Programa de Nivelación en la Licenciatura en Artes Visuales para la Expresión Plástica, Nivelación en la Licenciatura en Artes Visuales para la Expresión Fotográfica, Nivelación en la Licenciatura en Artes Escénicas para la Expresión Dancística y Nivelación en la Licenciatura en Artes Escénicas para la Expresión Teatral en la Modalidad  Abierta",1
422 PE que requieren PP-87 - 2023 - CUAAD,87,2023,CUAAD,Licenciatura en Artes Escénicas para la Expresión Dancística con salida a Técnico Superior Universitario en Artes Escénicas para la Expresión Dancística,1
422 PE que requieren PP-88 - 2023 - CUCBA,88,2023,CUCBA,Ingeniero Agrónomo,1
422 PE que requieren PP-89 - 2023 - CUCBA,89,2023,CUCBA,Licenciatura en Agronegocios,1
