name,row,anio,entidad_universitaria,programa_educativo
422 PE que requieren PP-1 - 2024 - CUCEA,1,2024,CUCEA,Licenciatura en Administración
422 PE que requieren PP-2 - 2024 - CUCEA,2,2024,CUCEA,Licenciatura en Administración Financiera y Sistemas
422 PE que requieren PP-3 - 2024 - CUCEA,3,2024,CUCEA,Licenciatura en Administración Gubernamental y Políticas Públicas
422 PE que requieren PP-4 - 2024 - CUCEA,4,2024,CUCEA,Licenciatura en Contaduría Pública
422 PE que requieren PP-5 - 2024 - CUCEA,5,2024,CUCEA,Licenciatura en Economía
422 PE que requieren PP-6 - 2024 - CUCEA,6,2024,CUCEA,Licenciatura en Gestión de Negocios Gastronómicos
422 PE que requieren PP-7 - 2024 - CUCEA,7,2024,CUCEA,Licenciatura en Gestión y Economía Ambiental
422 PE que requieren PP-8 - 2024 - CUCEA,8,2024,CUCEA,Licenciatura en Mercadotecnia
422 PE que requieren PP-9 - 2024 - CUCEA,9,2024,CUCEA,Licenciatura en Negocios Internacionales
422 PE que requieren PP-10 - 2024 - CUCEA,10,2024,CUCEA,Licenciatura en Recursos Humanos
422 PE que requieren PP-11 - 2024 - CUCEA,11,2024,CUCEA,Licenciatura en Relaciones Públicas y Comunicación
422 PE que requieren PP-12 - 2024 - CUCEA,12,2024,CUCEA,Licenciatura en Tecnologías de la Información
422 PE que requieren PP-13 - 2024 - CUCEA,13,2024,CUCEA,Licenciatura en Turismo
422 PE que requieren PP-14 - 2024 - CUCEA,14,2024,CUCEA,Licenciatura en Mercadotecnia Digital
422 PE que requieren PP-15 - 2024 - CUCEA,15,2024,CUCEA,Ingeniería en Negocios
422 PE que requieren PP-16 - 2024 - CUCEA,16,2024,CUCEA,Técnico Superior Universitario en Tecnologías de la Información
422 PE que requieren PP-17 - 2024 - CUCEI,17,2024,CUCEI,Ingeniería Civil
422 PE que requieren PP-18 - 2024 - CUCEI,18,2024,CUCEI,Licenciatura en Ingeniería en Alimentos y Biotecnología
422 PE que requieren PP-19 - 2024 - CUCEI,19,2024,CUCEI,Ingeniería en Computación
