name,row,anio,continente,region,pais,convenio_estatus,total,convenio_general,convenio_especifico,
511 Convenios-1 - 2022 - Camerún - Acumulado,1,2022,África,África,Camerún,Acumulado,1,1,0,
511 Convenios-2 - 2022 - Marruecos - Acumulado,2,2022,África,África,Marruecos,Acumulado,1,1,0,
511 Convenios-3 - 2022 - Costa Rica - Acumulado,3,2022,América,Centroamérica y el Caribe,Costa Rica,Acumulado,6,4,2,
511 Convenios-4 - 2022 - Cuba - Acumulado,4,2022,América,Centroamérica y el Caribe,Cuba,Acumulado,17,10,7,
511 Convenios-5 - 2022 - El Salvador - Acumulado,5,2022,América,Centroamérica y el Caribe,El Salvador,Acumulado,3,2,1,
511 Convenios-6 - 2022 - Guatemala - Acumulado,6,2022,América,Centroamérica y el Caribe,Guatemala,Acumulado,1,0,1,
511 Convenios-7 - 2022 - Honduras - Acumulado,7,2022,América,Centroamérica y el Caribe,Honduras,Acumulado,1,1,0,
511 Convenios-8 - 2022 - Nicaragua - Acumulado,8,2022,América,Centroamérica y el Caribe,Nicaragua,Acumulado,3,2,1,
511 Convenios-9 - 2022 - Panamá - Acumulado,9,2022,América,Centroamérica y el Caribe,Panamá,Acumulado,1,1,0,
511 Convenios-10 - 2022 - Puerto Rico - Acumulado,10,2022,América,Centroamérica y el Caribe,Puerto Rico,Acumulado,2,1,1,
511 Convenios-11 - 2022 - Canadá - Acumulado,11,2022,América,Norteamérica,Canadá,Acumulado,15,8,7,
511 Convenios-12 - 2022 - Estados Unidos de América - Acumulado,12,2022,América,Norteamérica,Estados Unidos de América,Acumulado,38,24,14,
511 Convenios-13 - 2022 - México - Acumulado,13,2022,América,Norteamérica,México,Acumulado,297,219,78,
511 Convenios-14 - 2022 - Argentina - Acumulado,14,2022,América,Sudamérica,Argentina,Acumulado,33,18,15,
511 Convenios-15 - 2022 - Bolivia - Acumulado,15,2022,América,Sudamérica,Bolivia,Acumulado,5,2,3,
511 Convenios-16 - 2022 - Brasil - Acumulado,16,2022,América,Sudamérica,Brasil,Acumulado,28,18,10,
511 Convenios-17 - 2022 - Chile - Acumulado,17,2022,América,Sudamérica,Chile,Acumulado,30,17,13,
511 Convenios-18 - 2022 - Colombia - Acumulado,18,2022,América,Sudamérica,Colombia,Acumulado,75,41,34,
511 Convenios-19 - 2022 - Ecuador - Acumulado,19,2022,América,Sudamérica,Ecuador,Acumulado,13,9,4,
511 Convenios-20 - 2022 - Perú - Acumulado,20,2022,América,Sudamérica,Perú,Acumulado,13,8,5,
511 Convenios-21 - 2022 - Venezuela - Acumulado,21,2022,América,Sudamérica,Venezuela,Acumulado,4,4,0,
511 Convenios-22 - 2022 - Uruguay - Acumulado,22,2022,América,Sudamérica,Uruguay,Acumulado,2,1,1,
511 Convenios-23 - 2022 - China - Acumulado,23,2022,Asia,Asia,China,Acumulado,1,1,0,
511 Convenios-24 - 2022 - Corea del Sur - Acumulado,24,2022,Asia,Asia,Corea del Sur,Acumulado,12,5,7,
511 Convenios-25 - 2022 - India - Acumulado,25,2022,Asia,Asia,India,Acumulado,4,3,1,
511 Convenios-26 - 2022 - Japón - Acumulado,26,2022,Asia,Asia,Japón,Acumulado,22,12,10,
511 Convenios-27 - 2022 - Jordania - Acumulado,27,2022,Asia,Asia,Jordania,Acumulado,1,1,0,
511 Convenios-28 - 2022 - Kirguistán - Acumulado,28,2022,Asia,Asia,Kirguistán,Acumulado,1,1,0,
511 Convenios-29 - 2022 - Tailandia - Acumulado,29,2022,Asia,Asia,Tailandia,Acumulado,2,1,1,
511 Convenios-30 - 2022 - Taiwán - Acumulado,30,2022,Asia,Asia,Taiwán,Acumulado,1,0,1,
511 Convenios-31 - 2022 - Alemania - Acumulado,31,2022,Europa,Europa,Alemania,Acumulado,58,29,29,
511 Convenios-32 - 2022 - Andorra - Acumulado,32,2022,Europa,Europa,Andorra,Acumulado,2,1,1,
511 Convenios-33 - 2022 - Austria - Acumulado,33,2022,Europa,Europa,Austria,Acumulado,7,3,4,
511 Convenios-34 - 2022 - Bélgica - Acumulado,34,2022,Europa,Europa,Bélgica,Acumulado,4,1,3,
511 Convenios-35 - 2022 - Croacia - Acumulado,35,2022,Europa,Europa,Croacia,Acumulado,2,1,1,
511 Convenios-36 - 2022 - España - Acumulado,36,2022,Europa,Europa,España,Acumulado,92,41,51,
511 Convenios-37 - 2022 - Finlandia - Acumulado,37,2022,Europa,Europa,Finlandia,Acumulado,1,0,1,
511 Convenios-38 - 2022 - Francia - Acumulado,38,2022,Europa,Europa,Francia,Acumulado,52,24,28,
511 Convenios-39 - 2022 - Grecia - Acumulado,39,2022,Europa,Europa,Grecia,Acumulado,1,1,0,
511 Convenios-40 - 2022 - Irlanda - Acumulado,40,2022,Europa,Europa,Irlanda,Acumulado,2,1,1,
511 Convenios-41 - 2022 - Italia - Acumulado,41,2022,Europa,Europa,Italia,Acumulado,10,9,1,
511 Convenios-42 - 2022 - Malta - Acumulado,42,2022,Europa,Europa,Malta,Acumulado,1,1,0,
511 Convenios-43 - 2022 - Noruega - Acumulado,43,2022,Europa,Europa,Noruega,Acumulado,1,0,1,
511 Convenios-44 - 2022 - Países Bajos - Acumulado,44,2022,Europa,Europa,Países Bajos,Acumulado,2,1,1,
511 Convenios-45 - 2022 - Polonia - Acumulado,45,2022,Europa,Europa,Polonia,Acumulado,5,4,1,
511 Convenios-46 - 2022 - Portugal - Acumulado,46,2022,Europa,Europa,Portugal,Acumulado,2,2,0,
511 Convenios-47 - 2022 - Reino Unido - Acumulado,47,2022,Europa,Europa,Reino Unido,Acumulado,3,2,1,
511 Convenios-48 - 2022 - República Checa - Acumulado,48,2022,Europa,Europa,República Checa,Acumulado,2,1,1,
511 Convenios-49 - 2022 - Rumania - Acumulado,49,2022,Europa,Europa,Rumania,Acumulado,4,3,1,
511 Convenios-50 - 2022 - Rusia - Acumulado,50,2022,Europa,Europa,Rusia,Acumulado,9,6,3,
511 Convenios-51 - 2022 - Suecia - Acumulado,51,2022,Europa,Europa,Suecia,Acumulado,4,1,3,
511 Convenios-52 - 2022 - Suiza - Acumulado,52,2022,Europa,Europa,Suiza,Acumulado,9,5,4,
511 Convenios-53 - 2022 - Turquía - Acumulado,53,2022,Europa,Europa,Turquía,Acumulado,3,2,1,
511 Convenios-54 - 2022 - Ucrania - Acumulado,54,2022,Europa,Europa,Ucrania,Acumulado,1,1,0,
511 Convenios-55 - 2022 - Australia - Acumulado,55,2022,Oceanía,Oceanía,Australia,Acumulado,5,2,3,
511 Convenios-56 - 2022 - El Salvador - Firmado en el año,56,2022,América,Centroamérica y el Caribe,El Salvador,Firmado en el año,1,1,0,
511 Convenios-57 - 2022 - Canadá - Firmado en el año,57,2022,América,Norteamérica,Canadá,Firmado en el año,2,1,1,
511 Convenios-58 - 2022 - Estados Unidos de América - Firmado en el año,58,2022,América,Norteamérica,Estados Unidos de América,Firmado en el año,4,3,1,
511 Convenios-59 - 2022 - México - Firmado en el año,59,2022,América,Norteamérica,México,Firmado en el año,22,21,1,
511 Convenios-60 - 2022 - Argentina - Firmado en el año,60,2022,América,Sudamérica,Argentina,Firmado en el año,7,3,4,
511 Convenios-61 - 2022 - Bolivia - Firmado en el año,61,2022,América,Sudamérica,Bolivia,Firmado en el año,3,1,2,
511 Convenios-62 - 2022 - Chile - Firmado en el año,62,2022,América,Sudamérica,Chile,Firmado en el año,1,1,,
511 Convenios-63 - 2022 - Colombia - Firmado en el año,63,2022,América,Sudamérica,Colombia,Firmado en el año,2,0,2,
511 Convenios-64 - 2022 - Ecuador - Firmado en el año,64,2022,América,Sudamérica,Ecuador,Firmado en el año,4,3,1,
511 Convenios-65 - 2022 - Uruguay - Firmado en el año,65,2022,América,Sudamérica,Uruguay,Firmado en el año,2,1,1,
511 Convenios-66 - 2022 - China - Firmado en el año,66,2022,Asia,Asia,China,Firmado en el año,1,1,,
511 Convenios-67 - 2022 - Corea del Sur - Firmado en el año,67,2022,Asia,Asia,Corea del Sur,Firmado en el año,2,1,1,
511 Convenios-68 - 2022 - India - Firmado en el año,68,2022,Asia,Asia,India,Firmado en el año,2,2,,
511 Convenios-69 - 2022 - Japón - Firmado en el año,69,2022,Asia,Asia,Japón,Firmado en el año,3,2,1,
511 Convenios-70 - 2022 - Alemania - Firmado en el año,70,2022,Europa,Europa,Alemania,Firmado en el año,7,4,3,
511 Convenios-71 - 2022 - España - Firmado en el año,71,2022,Europa,Europa,España,Firmado en el año,3,2,1,
511 Convenios-72 - 2022 - Países Bajos - Firmado en el año,72,2022,Europa,Europa,Países Bajos,Firmado en el año,1,0,1,
511 Convenios-73 - 2022 - Polonia - Firmado en el año,73,2022,Europa,Europa,Polonia,Firmado en el año,1,1,0,
511 Convenios-74 - 2022 - Reino Unido - Firmado en el año,74,2022,Europa,Europa,Reino Unido,Firmado en el año,1,1,0,
511 Convenios-75 - 2022 - Suiza - Firmado en el año,75,2022,Europa,Europa,Suiza,Firmado en el año,2,1,1,
