name,row,anio,continente,region,pais,convenio_estatus,total,convenio_general,convenio_especifico,
511 Convenios-1 - 2022 - Camerún - Vigentes,1,2022,África,África,Camerún,Vigentes,1,1,0,
511 Convenios-2 - 2022 - Marruecos - Vigentes,2,2022,África,África,Marruecos,Vigentes,1,1,0,
511 Convenios-3 - 2022 - Costa Rica - Vigentes,3,2022,América,Centroamérica y el Caribe,Costa Rica,Vigentes,6,4,2,
511 Convenios-4 - 2022 - Cuba - Vigentes,4,2022,América,Centroamérica y el Caribe,Cuba,Vigentes,17,10,7,
511 Convenios-5 - 2022 - El Salvador - Vigentes,5,2022,América,Centroamérica y el Caribe,El Salvador,Vigentes,3,2,1,
511 Convenios-6 - 2022 - Guatemala - Vigentes,6,2022,América,Centroamérica y el Caribe,Guatemala,Vigentes,1,0,1,
511 Convenios-7 - 2022 - Honduras - Vigentes,7,2022,América,Centroamérica y el Caribe,Honduras,Vigentes,1,1,0,
511 Convenios-8 - 2022 - Nicaragua - Vigentes,8,2022,América,Centroamérica y el Caribe,Nicaragua,Vigentes,3,2,1,
511 Convenios-9 - 2022 - Panamá - Vigentes,9,2022,América,Centroamérica y el Caribe,Panamá,Vigentes,1,1,0,
511 Convenios-10 - 2022 - Puerto Rico - Vigentes,10,2022,América,Centroamérica y el Caribe,Puerto Rico,Vigentes,2,1,1,
511 Convenios-11 - 2022 - Canadá - Vigentes,11,2022,América,Norteamérica,Canadá,Vigentes,15,8,7,
511 Convenios-12 - 2022 - Estados Unidos de América - Vigentes,12,2022,América,Norteamérica,Estados Unidos de América,Vigentes,38,24,14,
511 Convenios-13 - 2022 - México - Vigentes,13,2022,América,Norteamérica,México,Vigentes,297,219,78,
511 Convenios-14 - 2022 - Argentina - Vigentes,14,2022,América,Sudamérica,Argentina,Vigentes,33,18,15,
511 Convenios-15 - 2022 - Bolivia - Vigentes,15,2022,América,Sudamérica,Bolivia,Vigentes,5,2,3,
511 Convenios-16 - 2022 - Brasil - Vigentes,16,2022,América,Sudamérica,Brasil,Vigentes,28,18,10,
511 Convenios-17 - 2022 - Chile - Vigentes,17,2022,América,Sudamérica,Chile,Vigentes,30,17,13,
511 Convenios-18 - 2022 - Colombia - Vigentes,18,2022,América,Sudamérica,Colombia,Vigentes,75,41,34,
511 Convenios-19 - 2022 - Ecuador - Vigentes,19,2022,América,Sudamérica,Ecuador,Vigentes,13,9,4,
511 Convenios-20 - 2022 - Perú - Vigentes,20,2022,América,Sudamérica,Perú,Vigentes,13,8,5,
511 Convenios-21 - 2022 - Venezuela - Vigentes,21,2022,América,Sudamérica,Venezuela,Vigentes,4,4,0,
511 Convenios-22 - 2022 - Uruguay - Vigentes,22,2022,América,Sudamérica,Uruguay,Vigentes,2,1,1,
511 Convenios-23 - 2022 - China - Vigentes,23,2022,Asia,Asia,China,Vigentes,1,1,0,
511 Convenios-24 - 2022 - Corea del Sur - Vigentes,24,2022,Asia,Asia,Corea del Sur,Vigentes,12,5,7,
511 Convenios-25 - 2022 - India - Vigentes,25,2022,Asia,Asia,India,Vigentes,4,3,1,
511 Convenios-26 - 2022 - Japón - Vigentes,26,2022,Asia,Asia,Japón,Vigentes,22,12,10,
511 Convenios-27 - 2022 - Jordania - Vigentes,27,2022,Asia,Asia,Jordania,Vigentes,1,1,0,
