name,row,anio,convenios_tipo,ambito_geografico,total
513 Convenios con asociaciones y redes-1 - 2024 - Asociación - Nacional,1,2024,Asociación,Nacional,16
513 Convenios con asociaciones y redes-2 - 2024 - Asociación - Internacional,2,2024,Asociación,Internacional,19
513 Convenios con asociaciones y redes-3 - 2024 - Red de colaboración - Nacional,3,2024,Red de colaboración,Nacional,16
513 Convenios con asociaciones y redes-4 - 2024 - Red de colaboración - Internacional,4,2024,Red de colaboración,Internacional,39
513 Convenios con asociaciones y redes-5 - 2023 - Asociación - Nacional,5,2023,Asociación,Nacional,16
513 Convenios con asociaciones y redes-6 - 2023 - Asociación - Internacional,6,2023,Asociación,Internacional,21
513 Convenios con asociaciones y redes-7 - 2023 - Red de colaboración - Nacional,7,2023,Red de colaboración,Nacional,16
513 Convenios con asociaciones y redes-8 - 2023 - Red de colaboración - Internacional,8,2023,Red de colaboración,Internacional,39
513 Convenios con asociaciones y redes-9 - 2022 - Asociación - Nacional,9,2022,Asociación,Nacional,17
513 Convenios con asociaciones y redes-10 - 2022 - Asociación - Internacional,10,2022,Asociación,Internacional,19
513 Convenios con asociaciones y redes-11 - 2022 - Red de colaboración - Nacional,11,2022,Red de colaboración,Nacional,16
513 Convenios con asociaciones y redes-12 - 2022 - Red de colaboración - Internacional,12,2022,Red de colaboración,Internacional,40
513 Convenios con asociaciones y redes-13 - 2021 - Asociación - Nacional,13,2021,Asociación,Nacional,16
513 Convenios con asociaciones y redes-14 - 2021 - Asociación - Internacional,14,2021,Asociación,Internacional,21
513 Convenios con asociaciones y redes-15 - 2021 - Red de colaboración - Nacional,15,2021,Red de colaboración,Nacional,16
513 Convenios con asociaciones y redes-16 - 2021 - Red de colaboración - Internacional,16,2021,Red de colaboración,Internacional,39
513 Convenios con asociaciones y redes-17 - 2020 - Asociación - Nacional,17,2020,Asociación,Nacional,5
513 Convenios con asociaciones y redes-18 - 2020 - Asociación - Internacional,18,2020,Asociación,Internacional,18
513 Convenios con asociaciones y redes-19 - 2020 - Red de colaboración - Nacional,19,2020,Red de colaboración,Nacional,5
513 Convenios con asociaciones y redes-20 - 2020 - Red de colaboración - Internacional,20,2020,Red de colaboración,Internacional,19
513 Convenios con asociaciones y redes-21 - 2019 - Asociación - Nacional,21,2019,Asociación,Nacional,6
513 Convenios con asociaciones y redes-22 - 2019 - Asociación - Internacional,22,2019,Asociación,Internacional,24
513 Convenios con asociaciones y redes-23 - 2019 - Red de colaboración - Nacional,23,2019,Red de colaboración,Nacional,9
513 Convenios con asociaciones y redes-24 - 2019 - Red de colaboración - Internacional,24,2019,Red de colaboración,Internacional,78
513 Convenios con asociaciones y redes-25 - 2018 - Asociación - Nacional,25,2018,Asociación,Nacional,6
513 Convenios con asociaciones y redes-26 - 2018 - Asociación - Internacional,26,2018,Asociación,Internacional,24
513 Convenios con asociaciones y redes-27 - 2018 - Red de colaboración - Nacional,27,2018,Red de colaboración,Nacional,9
513 Convenios con asociaciones y redes-28 - 2018 - Red de colaboración - Internacional,28,2018,Red de colaboración,Internacional,78
