name,row,anio,entidad_universitaria,tipo_patrimonio,total
611 Patrimonio cultural en el SICI-1 - 2023 - CUCEA - Pinturas,1,2023,CUCEA,Pinturas,93
611 Patrimonio cultural en el SICI-2 - 2023 - CUCEI - Pinturas,2,2023,CUCEI,Pinturas,0
611 Patrimonio cultural en el SICI-3 - 2023 - CUCSH - Pinturas,3,2023,CUCSH,Pinturas,92
611 Patrimonio cultural en el SICI-4 - 2023 - CUCS - Pinturas,4,2023,CUCS,Pinturas,28
611 Patrimonio cultural en el SICI-5 - 2023 - CUAAD - Pinturas,5,2023,CUAAD,Pinturas,566
611 Patrimonio cultural en el SICI-6 - 2023 - CUCBA - Pinturas,6,2023,CUCBA,Pinturas,0
611 Patrimonio cultural en el SICI-7 - 2023 - CUALTOS - Pinturas,7,2023,CUALTOS,Pinturas,0
611 Patrimonio cultural en el SICI-8 - 2023 - CUCIÉNEGA - Pinturas,8,2023,CUCIÉNEGA,Pinturas,0
611 Patrimonio cultural en el SICI-9 - 2023 - CUSUR - Pinturas,9,2023,CUSUR,Pinturas,62
611 Patrimonio cultural en el SICI-10 - 2023 - CUCOSTA - Pinturas,10,2023,CUCOSTA,Pinturas,603
611 Patrimonio cultural en el SICI-11 - 2023 - CUCOSTASUR - Pinturas,11,2023,CUCOSTASUR,Pinturas,101
611 Patrimonio cultural en el SICI-12 - 2023 - CUVALLES - Pinturas,12,2023,CUVALLES,Pinturas,0
611 Patrimonio cultural en el SICI-13 - 2023 - CUNORTE - Pinturas,13,2023,CUNORTE,Pinturas,10
611 Patrimonio cultural en el SICI-14 - 2023 - CULAGOS - Pinturas,14,2023,CULAGOS,Pinturas,4
611 Patrimonio cultural en el SICI-15 - 2023 - CUTONALÁ - Pinturas,15,2023,CUTONALÁ,Pinturas,0
611 Patrimonio cultural en el SICI-16 - 2023 - CUTLAJOMULCO - Pinturas,16,2023,CUTLAJOMULCO,Pinturas,0
611 Patrimonio cultural en el SICI-17 - 2023 - SUV - Pinturas,17,2023,SUV,Pinturas,0
611 Patrimonio cultural en el SICI-18 - 2023 - SEMS - Pinturas,18,2023,SEMS,Pinturas,41
611 Patrimonio cultural en el SICI-19 - 2023 - AG - Pinturas,19,2023,AG,Pinturas,620
611 Patrimonio cultural en el SICI-20 - 2023 - CUCEA - Murales,20,2023,CUCEA,Murales,2
611 Patrimonio cultural en el SICI-21 - 2023 - CUCEI - Murales,21,2023,CUCEI,Murales,8
611 Patrimonio cultural en el SICI-22 - 2023 - CUCSH - Murales,22,2023,CUCSH,Murales,2
611 Patrimonio cultural en el SICI-23 - 2023 - CUCS - Murales,23,2023,CUCS,Murales,13
611 Patrimonio cultural en el SICI-24 - 2023 - CUAAD - Murales,24,2023,CUAAD,Murales,0
611 Patrimonio cultural en el SICI-25 - 2023 - CUCBA - Murales,25,2023,CUCBA,Murales,14
611 Patrimonio cultural en el SICI-26 - 2023 - CUALTOS - Murales,26,2023,CUALTOS,Murales,0
611 Patrimonio cultural en el SICI-27 - 2023 - CUCIÉNEGA - Murales,27,2023,CUCIÉNEGA,Murales,2
611 Patrimonio cultural en el SICI-28 - 2023 - CUSUR - Murales,28,2023,CUSUR,Murales,8
611 Patrimonio cultural en el SICI-29 - 2023 - CUCOSTA - Murales,29,2023,CUCOSTA,Murales,4
611 Patrimonio cultural en el SICI-30 - 2023 - CUCOSTASUR - Murales,30,2023,CUCOSTASUR,Murales,0
611 Patrimonio cultural en el SICI-31 - 2023 - CUVALLES - Murales,31,2023,CUVALLES,Murales,0
611 Patrimonio cultural en el SICI-32 - 2023 - CUNORTE - Murales,32,2023,CUNORTE,Murales,3
611 Patrimonio cultural en el SICI-33 - 2023 - CULAGOS - Murales,33,2023,CULAGOS,Murales,0
611 Patrimonio cultural en el SICI-34 - 2023 - CUTONALÁ - Murales,34,2023,CUTONALÁ,Murales,6
611 Patrimonio cultural en el SICI-35 - 2023 - CUTLAJOMULCO - Murales,35,2023,CUTLAJOMULCO,Murales,0
611 Patrimonio cultural en el SICI-36 - 2023 - SUV - Murales,36,2023,SUV,Murales,0
611 Patrimonio cultural en el SICI-37 - 2023 - SEMS - Murales,37,2023,SEMS,Murales,17
611 Patrimonio cultural en el SICI-38 - 2023 - AG - Murales,38,2023,AG,Murales,8
611 Patrimonio cultural en el SICI-39 - 2023 - CUCEA - Esculturas,39,2023,CUCEA,Esculturas,9
611 Patrimonio cultural en el SICI-40 - 2023 - CUCEI - Esculturas,40,2023,CUCEI,Esculturas,11
611 Patrimonio cultural en el SICI-41 - 2023 - CUCSH - Esculturas,41,2023,CUCSH,Esculturas,17
611 Patrimonio cultural en el SICI-42 - 2023 - CUCS - Esculturas,42,2023,CUCS,Esculturas,6
611 Patrimonio cultural en el SICI-43 - 2023 - CUAAD - Esculturas,43,2023,CUAAD,Esculturas,7
611 Patrimonio cultural en el SICI-44 - 2023 - CUCBA - Esculturas,44,2023,CUCBA,Esculturas,9
611 Patrimonio cultural en el SICI-45 - 2023 - CUALTOS - Esculturas,45,2023,CUALTOS,Esculturas,2
611 Patrimonio cultural en el SICI-46 - 2023 - CUCIÉNEGA - Esculturas,46,2023,CUCIÉNEGA,Esculturas,1
611 Patrimonio cultural en el SICI-47 - 2023 - CUSUR - Esculturas,47,2023,CUSUR,Esculturas,22
611 Patrimonio cultural en el SICI-48 - 2023 - CUCOSTA - Esculturas,48,2023,CUCOSTA,Esculturas,16
611 Patrimonio cultural en el SICI-49 - 2023 - CUCOSTASUR - Esculturas,49,2023,CUCOSTASUR,Esculturas,1
611 Patrimonio cultural en el SICI-50 - 2023 - CUVALLES - Esculturas,50,2023,CUVALLES,Esculturas,0
611 Patrimonio cultural en el SICI-51 - 2023 - CUNORTE - Esculturas,51,2023,CUNORTE,Esculturas,0
611 Patrimonio cultural en el SICI-52 - 2023 - CULAGOS - Esculturas,52,2023,CULAGOS,Esculturas,2
611 Patrimonio cultural en el SICI-53 - 2023 - CUTONALÁ - Esculturas,53,2023,CUTONALÁ,Esculturas,1
611 Patrimonio cultural en el SICI-54 - 2023 - CUTLAJOMULCO - Esculturas,54,2023,CUTLAJOMULCO,Esculturas,0
611 Patrimonio cultural en el SICI-55 - 2023 - SUV - Esculturas,55,2023,SUV,Esculturas,0
611 Patrimonio cultural en el SICI-56 - 2023 - SEMS - Esculturas,56,2023,SEMS,Esculturas,6
611 Patrimonio cultural en el SICI-57 - 2023 - AG - Esculturas,57,2023,AG,Esculturas,72
611 Patrimonio cultural en el SICI-58 - 2023 - CUCEA - Grabados,58,2023,CUCEA,Grabados,38
611 Patrimonio cultural en el SICI-59 - 2023 - CUCEI - Grabados,59,2023,CUCEI,Grabados,0
611 Patrimonio cultural en el SICI-60 - 2023 - CUCSH - Grabados,60,2023,CUCSH,Grabados,19
611 Patrimonio cultural en el SICI-61 - 2023 - CUCS - Grabados,61,2023,CUCS,Grabados,1
611 Patrimonio cultural en el SICI-62 - 2023 - CUAAD - Grabados,62,2023,CUAAD,Grabados,577
611 Patrimonio cultural en el SICI-63 - 2023 - CUCBA - Grabados,63,2023,CUCBA,Grabados,0
611 Patrimonio cultural en el SICI-64 - 2023 - CUALTOS - Grabados,64,2023,CUALTOS,Grabados,0
