name,row,anio,cve_sems,pa_categoria_t,academicos_h,academicos_m,academicos_nb,academicos_t
713-2023-1 PA de SEMS DTC  de 14MMS0607X,1,2023,14MMS0607X,DTC,7,7,,14
713-2023-2 PA de SEMS DTC  de 14MMS0608W,2,2023,14MMS0608W,DTC,14,7,,21
713-2023-3 PA de SEMS DTC  de 14MMS0609V,3,2023,14MMS0609V,DTC,15,9,,24
713-2023-4 PA de SEMS DTC  de 14MMS0610K,4,2023,14MMS0610K,DTC,13,5,,18
713-2023-5 PA de SEMS DTC  de 14MMS0611J,5,2023,14MMS0611J,DTC,7,11,,18
713-2023-6 PA de SEMS DTC  de 14MMS0612I,6,2023,14MMS0612I,DTC,13,8,,21
713-2023-7 PA de SEMS DTC  de 14MMS0613H,7,2023,14MMS0613H,DTC,28,28,,56
713-2023-8 PA de SEMS DTC  de 14MMS0647Y,8,2023,14MMS0647Y,DTC,14,19,,33
713-2023-9 PA de SEMS DTC  de 14MMS0762P,9,2023,14MMS0762P,DTC,0,0,,0
713-2023-10 PA de SEMS DTC  de 14MMS0761Q,10,2023,14MMS0761Q,DTC,0,0,,0
713-2023-11 PA de SEMS DTC  de 14MMS0648X,11,2023,14MMS0648X,DTC,12,12,,24
713-2023-12 PA de SEMS DTC  de 14MMS0649W,12,2023,14MMS0649W,DTC,22,18,,40
713-2023-13 PA de SEMS DTC  de 14MMS0650L,13,2023,14MMS0650L,DTC,11,10,,21
713-2023-14 PA de SEMS DTC  de 14MMS0646Z,14,2023,14MMS0646Z,DTC,20,28,,48
713-2023-15 PA de SEMS DTC  de 14MMS0640E,15,2023,14MMS0640E,DTC,0,0,,0
713-2023-16 PA de SEMS DTC  de 14MMS0615F,16,2023,14MMS0615F,DTC,8,16,,24
713-2023-17 PA de SEMS DTC  de 14MMS0630Y,17,2023,14MMS0630Y,DTC,4,5,,9
713-2023-18 PA de SEMS DTC  de 14MMS0641D,18,2023,14MMS0641D,DTC,0,2,,2
713-2023-19 PA de SEMS DTC  de 14MMS0631X,19,2023,14MMS0631X,DTC,8,6,,14
713-2023-20 PA de SEMS DTC  de 14MMS0636S,20,2023,14MMS0636S,DTC,3,3,,6
713-2023-21 PA de SEMS DTC  de 14MMS0752I,21,2023,14MMS0752I,DTC,2,5,,7
713-2023-22 PA de SEMS DTC  de 14MMS0753H,22,2023,14MMS0753H,DTC,7,5,,12
713-2023-23 PA de SEMS DTC  de 14MMS0757D,23,2023,14MMS0757D,DTC,7,11,,18
713-2023-24 PA de SEMS DTC  de 14MMS0756E,24,2023,14MMS0756E,DTC,11,4,,15
713-2023-25 PA de SEMS DTC  de 14MMS0614G,25,2023,14MMS0614G,DTC,23,25,,48
713-2023-26 PA de SEMS DTC  de 14MMS0645Z,26,2023,14MMS0645Z,DTC,15,18,,33
713-2023-27 PA de SEMS DTC  de 14MMS0623O,27,2023,14MMS0623O,DTC,7,13,,20
713-2023-28 PA de SEMS DTC  de 14MMS0776S,28,2023,14MMS0776S,DTC,16,4,,20
713-2023-29 PA de SEMS DTC  de 14MMS0799C,29,2023,14MMS0799C,DTC,15,21,,36
713-2023-30 PA de SEMS DTC  de 14MMS0878P,30,2023,14MMS0878P,DTC,0,0,,0
713-2023-31 PA de SEMS DTC  de 14MMS0844Z,31,2023,14MMS0844Z,DTC,1,2,,3
713-2023-32 PA de SEMS DTC  de 14MMS0643B,32,2023,14MMS0643B,DTC,3,3,,6
713-2023-33 PA de SEMS DTC  de 14MMS0727J,33,2023,14MMS0727J,DTC,0,0,,0
713-2023-34 PA de SEMS DTC  de 14MMS0717C,34,2023,14MMS0717C,DTC,4,2,,6
713-2023-35 PA de SEMS DTC  de 14MMS0741C,35,2023,14MMS0741C,DTC,0,0,,0
713-2023-36 PA de SEMS DTC  de 14MMS0617D,36,2023,14MMS0617D,DTC,3,2,,5
713-2023-37 PA de SEMS DTC  de 14MMS0662Q,37,2023,14MMS0662Q,DTC,2,0,,2
713-2023-38 PA de SEMS DTC  de 14MMS0663P,38,2023,14MMS0663P,DTC,0,0,,0
713-2023-39 PA de SEMS DTC  de 14MMS0664O,39,2023,14MMS0664O,DTC,0,0,,0
713-2023-40 PA de SEMS DTC  de 14MMS0665N,40,2023,14MMS0665N,DTC,0,1,,1
713-2023-41 PA de SEMS DTC  de 14MMS0619B,41,2023,14MMS0619B,DTC,4,5,,9
713-2023-42 PA de SEMS DTC  de 14MMS0666M,42,2023,14MMS0666M,DTC,0,0,,0
713-2023-43 PA de SEMS DTC  de 14MMS0667L,43,2023,14MMS0667L,DTC,0,0,,0
713-2023-44 PA de SEMS DTC  de 14MMS0728I,44,2023,14MMS0728I,DTC,0,0,,0
713-2023-45 PA de SEMS DTC  de 14MMS0618C,45,2023,14MMS0618C,DTC,6,3,,9
713-2023-46 PA de SEMS DTC  de 14MMS0668K,46,2023,14MMS0668K,DTC,1,0,,1
713-2023-47 PA de SEMS DTC  de 14MMS0747X,47,2023,14MMS0747X,DTC,0,0,,0
713-2023-48 PA de SEMS DTC  de 14MMS0750K,48,2023,14MMS0750K,DTC,0,0,,0
713-2023-49 PA de SEMS DTC  de 14MMS0621Q,49,2023,14MMS0621Q,DTC,14,7,,21
713-2023-50 PA de SEMS DTC  de 14MMS0622P,50,2023,14MMS0622P,DTC,5,3,,8
713-2023-51 PA de SEMS DTC  de 14MMS0732V,51,2023,14MMS0732V,DTC,0,0,,0
713-2023-52 PA de SEMS DTC  de 14MMS0733U,52,2023,14MMS0733U,DTC,0,0,,0
713-2023-53 PA de SEMS DTC  de 14MMS0674V,53,2023,14MMS0674V,DTC,0,1,,1
713-2023-54 PA de SEMS DTC  de 14MMS0675U,54,2023,14MMS0675U,DTC,0,0,,0
