name,anio,entidad_universitaria,docentes_tc_h,docentes_tc_m,docentes_tc_nb,docentes_tc_t,docentes_mt_h,docentes_mt_m,docentes_mt_nb,docentes_mt_t,investigadores_tc_h,investigadores_tc_m,investigadores_tc_nb,investigadores_tc_t,investigadores_mt_h,investigadores_mt_m,investigadores_mt_nb,investigadores_mt_t,tecnicos_tc_h,tecnicos_tc_m,tecnicos_tc_nb,tecnicos_tc_t,tecnicos_mt_h,tecnicos_mt_m,tecnicos_mt_nb,tecnicos_mt_t,prof_asig_h,prof_asig_m,prof_asig_nb,prof_asig_t,academicos_h,academicos_m,academicos_nb,academicos_t
711-2023 PA de CUCEA,2023,CUCEA,93,44,,137,5,7,,12,163,113,,276,1,0,,1,5,10,,15,0,0,,0,344,244,,588,611,418,,1029
711-2023 PA de CUCEI,2023,CUCEI,63,32,,95,5,4,,9,275,135,,410,0,1,,1,43,48,,91,2,5,,7,329,170,,499,717,395,,1112
711-2023 PA de CUCSH,2023,CUCSH,90,76,,166,13,4,,17,205,199,,404,2,0,,2,11,24,,35,0,0,,0,231,145,,376,552,448,,1000
711-2023 PA de CUCS,2023,CUCS,82,60,,142,10,5,,15,166,199,,365,2,2,,4,57,62,,119,14,18,,32,628,491,,1119,959,837,,1796
711-2023 PA de CUAAD,2023,CUAAD,41,22,,63,7,5,,12,63,61,,124,0,0,,0,16,3,,19,2,1,,3,248,157,,405,377,249,,626
711-2023 PA de CUCBA,2023,CUCBA,46,23,,69,1,0,,1,125,96,,221,1,0,,1,23,27,,50,4,0,,4,91,65,,156,291,211,,502
711-2023 PA de CUALTOS,2023,CUALTOS,27,19,,46,2,0,,2,39,32,,71,0,0,,0,20,27,,47,0,0,,0,152,89,,241,240,167,,407
711-2023 PA de CUCI NEGA,2023,CUCI NEGA,21,12,,33,9,5,,14,75,62,,137,0,0,,0,12,20,,32,0,1,,1,148,120,,268,265,220,,485
711-2023 PA de CUSUR,2023,CUSUR,32,8,,40,0,1,,1,43,51,,94,1,0,,1,11,10,,21,0,0,,0,219,163,,382,306,233,,539
711-2023 PA de CUCOSTA,2023,CUCOSTA,15,8,,23,5,1,,6,60,50,,110,0,0,,0,9,8,,17,0,0,,0,202,157,,359,291,224,,515
711-2023 PA de CUCOSTASUR,2023,CUCOSTASUR,19,8,,27,6,4,,10,83,48,,131,0,0,,0,11,10,,21,0,0,,0,117,83,,200,236,153,,389
711-2023 PA de CUVALLES,2023,CUVALLES,16,18,,34,0,0,,0,62,41,,103,0,0,,0,4,7,,11,0,0,,0,83,89,,172,165,155,,320
711-2023 PA de CUNORTE,2023,CUNORTE,11,6,,17,0,0,,0,29,27,,56,0,0,,0,6,8,,14,0,0,,0,121,163,,284,167,204,,371
711-2023 PA de CULAGOS,2023,CULAGOS,11,5,,16,1,2,,3,46,29,,75,0,0,,0,10,18,,28,1,0,,1,77,56,,133,146,110,,256
711-2023 PA de CUTONAL ,2023,CUTONAL ,33,31,,64,1,0,,1,67,50,,117,0,0,,0,13,12,,25,1,1,,2,202,146,,348,317,240,,557
711-2023 PA de CUTLAJOMULCO,2023,CUTLAJOMULCO,4,4,,8,0,0,,0,7,4,,11,0,0,,0,0,0,,0,0,0,,0,51,47,,98,62,55,,117
711-2023 PA de SUV,2023,SUV,14,16,,30,0,1,,1,24,50,,74,0,0,,0,3,8,,11,0,0,,0,101,197,,298,142,272,,414
711-2023 PA de SEMS,2023,SEMS,535,477,,1012,158,108,,266,2,3,,5,0,0,,0,302,272,,574,202,220,,422,2513,2367,,4880,3712,3447,,7159
711-2023 PA de AG,2023,AG,0,0,,0,0,0,,0,0,0,,0,0,0,,0,8,10,,18,2,2,,4,0,1,,1,10,13,,23
711-2022 PA de CUCEA,2022,CUCEA,98,46,,144,7,7,,14,157,109,,266,0,0,,0,7,11,,18,0,0,,0,333,238,,571,602,411,,1013
