name,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,academicos_h,academicos_m,academicos_nb,academicos_t
712-2023 PA DTC Asistente A de CUCEA,2023,CUCEA,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUCEI,2023,CUCEI,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUCSH,2023,CUCSH,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUCS,2023,CUCS,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUAAD,2023,CUAAD,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUCBA,2023,CUCBA,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUALTOS,2023,CUALTOS,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUCIÉNEGA,2023,CUCIÉNEGA,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUSUR,2023,CUSUR,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUCOSTA,2023,CUCOSTA,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUCOSTASUR,2023,CUCOSTASUR,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUVALLES,2023,CUVALLES,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUNORTE,2023,CUNORTE,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CULAGOS,2023,CULAGOS,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUTONALÁ,2023,CUTONALÁ,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de CUTLAJOMULCO,2023,CUTLAJOMULCO,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente A de SUV,2023,SUV,DTC,Asistente,A,1,0,,1
712-2023 PA DTC Asistente A de SEMS,2023,SEMS,DTC,Asistente,A,2,0,,2
712-2023 PA DTC Asistente A de AG,2023,AG,DTC,Asistente,A,0,0,,0
712-2023 PA DTC Asistente B de CUCEA,2023,CUCEA,DTC,Asistente,B,0,1,,1
712-2023 PA DTC Asistente B de CUCEI,2023,CUCEI,DTC,Asistente,B,1,0,,1
712-2023 PA DTC Asistente B de CUCSH,2023,CUCSH,DTC,Asistente,B,0,3,,3
712-2023 PA DTC Asistente B de CUCS,2023,CUCS,DTC,Asistente,B,0,1,,1
712-2023 PA DTC Asistente B de CUAAD,2023,CUAAD,DTC,Asistente,B,1,1,,2
