name,row,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,academicos_h,academicos_m,academicos_nb,academicos_t
712-2023-1 PA DTC Asistente A de CUCEA,1,2023,CUCEA,DTC,Asistente,A,0,0,,0
712-2023-2 PA DTC Asistente A de CUCEI,2,2023,CUCEI,DTC,Asistente,A,0,0,,0
712-2023-3 PA DTC Asistente A de CUCSH,3,2023,CUCSH,DTC,Asistente,A,0,0,,0
712-2023-4 PA DTC Asistente A de CUCS,4,2023,CUCS,DTC,Asistente,A,0,0,,0
712-2023-5 PA DTC Asistente A de CUAAD,5,2023,CUAAD,DTC,Asistente,A,0,0,,0
712-2023-6 PA DTC Asistente A de CUCBA,6,2023,CUCBA,DTC,Asistente,A,0,0,,0
712-2023-7 PA DTC Asistente A de CUALTOS,7,2023,CUALTOS,DTC,Asistente,A,0,0,,0
712-2023-8 PA DTC Asistente A de CUCIÉNEGA,8,2023,CUCIÉNEGA,DTC,Asistente,A,0,0,,0
712-2023-9 PA DTC Asistente A de CUSUR,9,2023,CUSUR,DTC,Asistente,A,0,0,,0
712-2023-10 PA DTC Asistente A de CUCOSTA,10,2023,CUCOSTA,DTC,Asistente,A,0,0,,0
712-2023-11 PA DTC Asistente A de CUCOSTASUR,11,2023,CUCOSTASUR,DTC,Asistente,A,0,0,,0
712-2023-12 PA DTC Asistente A de CUVALLES,12,2023,CUVALLES,DTC,Asistente,A,0,0,,0
712-2023-13 PA DTC Asistente A de CUNORTE,13,2023,CUNORTE,DTC,Asistente,A,0,0,,0
712-2023-14 PA DTC Asistente A de CULAGOS,14,2023,CULAGOS,DTC,Asistente,A,0,0,,0
712-2023-15 PA DTC Asistente A de CUTONALÁ,15,2023,CUTONALÁ,DTC,Asistente,A,0,0,,0
712-2023-16 PA DTC Asistente A de CUTLAJOMULCO,16,2023,CUTLAJOMULCO,DTC,Asistente,A,0,0,,0
712-2023-17 PA DTC Asistente A de SUV,17,2023,SUV,DTC,Asistente,A,1,0,,1
712-2023-18 PA DTC Asistente A de SEMS,18,2023,SEMS,DTC,Asistente,A,2,0,,2
712-2023-19 PA DTC Asistente A de AG,19,2023,AG,DTC,Asistente,A,0,0,,0
712-2023-20 PA DTC Asistente B de CUCEA,20,2023,CUCEA,DTC,Asistente,B,0,1,,1
712-2023-21 PA DTC Asistente B de CUCEI,21,2023,CUCEI,DTC,Asistente,B,1,0,,1
712-2023-22 PA DTC Asistente B de CUCSH,22,2023,CUCSH,DTC,Asistente,B,0,3,,3
712-2023-23 PA DTC Asistente B de CUCS,23,2023,CUCS,DTC,Asistente,B,0,1,,1
712-2023-24 PA DTC Asistente B de CUAAD,24,2023,CUAAD,DTC,Asistente,B,1,1,,2
712-2023-25 PA DTC Asistente B de CUCBA,25,2023,CUCBA,DTC,Asistente,B,0,2,,2
712-2023-26 PA DTC Asistente B de CUALTOS,26,2023,CUALTOS,DTC,Asistente,B,2,0,,2
712-2023-27 PA DTC Asistente B de CUCIÉNEGA,27,2023,CUCIÉNEGA,DTC,Asistente,B,0,0,,0
712-2023-28 PA DTC Asistente B de CUSUR,28,2023,CUSUR,DTC,Asistente,B,0,0,,0
712-2023-29 PA DTC Asistente B de CUCOSTA,29,2023,CUCOSTA,DTC,Asistente,B,0,1,,1
712-2023-30 PA DTC Asistente B de CUCOSTASUR,30,2023,CUCOSTASUR,DTC,Asistente,B,1,0,,1
712-2023-31 PA DTC Asistente B de CUVALLES,31,2023,CUVALLES,DTC,Asistente,B,1,0,,1
712-2023-32 PA DTC Asistente B de CUNORTE,32,2023,CUNORTE,DTC,Asistente,B,0,0,,0
712-2023-33 PA DTC Asistente B de CULAGOS,33,2023,CULAGOS,DTC,Asistente,B,0,0,,0
712-2023-34 PA DTC Asistente B de CUTONALÁ,34,2023,CUTONALÁ,DTC,Asistente,B,0,0,,0
712-2023-35 PA DTC Asistente B de CUTLAJOMULCO,35,2023,CUTLAJOMULCO,DTC,Asistente,B,0,0,,0
712-2023-36 PA DTC Asistente B de SUV,36,2023,SUV,DTC,Asistente,B,0,0,,0
