name,row,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,hombres,mujeres,personas_nb,total
712-2024-1 PA DTC Asistente A de CUCEA,1,2024,CUCEA,DTC,Asistente,A,0,0,,0
712-2024-2 PA DTC Asistente A de CUCEI,2,2024,CUCEI,DTC,Asistente,A,0,0,,0
712-2024-3 PA DTC Asistente A de CUCSH,3,2024,CUCSH,DTC,Asistente,A,0,0,,0
712-2024-4 PA DTC Asistente A de CUCS,4,2024,CUCS,DTC,Asistente,A,1,0,,1
712-2024-5 PA DTC Asistente A de CUAAD,5,2024,CUAAD,DTC,Asistente,A,0,0,,0
712-2024-6 PA DTC Asistente A de CUCBA,6,2024,CUCBA,DTC,Asistente,A,0,0,,0
712-2024-7 PA DTC Asistente A de CUALTOS,7,2024,CUALTOS,DTC,Asistente,A,0,0,,0
712-2024-8 PA DTC Asistente A de CUCIÉNEGA,8,2024,CUCIÉNEGA,DTC,Asistente,A,0,0,,0
712-2024-9 PA DTC Asistente A de CUSUR,9,2024,CUSUR,DTC,Asistente,A,0,0,,0
712-2024-10 PA DTC Asistente A de CUCOSTA,10,2024,CUCOSTA,DTC,Asistente,A,0,0,,0
712-2024-11 PA DTC Asistente A de CUCOSTASUR,11,2024,CUCOSTASUR,DTC,Asistente,A,0,0,,0
712-2024-12 PA DTC Asistente A de CUVALLES,12,2024,CUVALLES,DTC,Asistente,A,0,0,,0
712-2024-13 PA DTC Asistente A de CUNORTE,13,2024,CUNORTE,DTC,Asistente,A,0,0,,0
712-2024-14 PA DTC Asistente A de CULAGOS,14,2024,CULAGOS,DTC,Asistente,A,0,0,,0
712-2024-15 PA DTC Asistente A de CUTONALÁ,15,2024,CUTONALÁ,DTC,Asistente,A,0,0,,0
712-2024-16 PA DTC Asistente A de CUTLAJOMULCO,16,2024,CUTLAJOMULCO,DTC,Asistente,A,0,0,,0
712-2024-17 PA DTC Asistente A de CUGUADALAJARA,17,2024,CUGUADALAJARA,DTC,Asistente,A,0,0,,0
712-2024-18 PA DTC Asistente A de CUCHAPALA,18,2024,CUCHAPALA,DTC,Asistente,A,0,0,,0
712-2024-19 PA DTC Asistente A de CUTLAQUEPAQUE,19,2024,CUTLAQUEPAQUE,DTC,Asistente,A,0,0,,0
712-2024-20 PA DTC Asistente A de SEMS,20,2024,SEMS,DTC,Asistente,A,2,0,,2
712-2024-21 PA DTC Asistente A de AG,21,2024,AG,DTC,Asistente,A,0,0,,0
712-2024-22 PA DTC Asistente B de CUCEA,22,2024,CUCEA,DTC,Asistente,B,0,1,,1
712-2024-23 PA DTC Asistente B de CUCEI,23,2024,CUCEI,DTC,Asistente,B,1,0,,1
712-2024-24 PA DTC Asistente B de CUCSH,24,2024,CUCSH,DTC,Asistente,B,0,1,,1
712-2024-25 PA DTC Asistente B de CUCS,25,2024,CUCS,DTC,Asistente,B,0,1,,1
712-2024-26 PA DTC Asistente B de CUAAD,26,2024,CUAAD,DTC,Asistente,B,1,1,,2
712-2024-27 PA DTC Asistente B de CUCBA,27,2024,CUCBA,DTC,Asistente,B,0,2,,2
712-2024-28 PA DTC Asistente B de CUALTOS,28,2024,CUALTOS,DTC,Asistente,B,2,0,,2
712-2024-29 PA DTC Asistente B de CUCIÉNEGA,29,2024,CUCIÉNEGA,DTC,Asistente,B,0,0,,0
712-2024-30 PA DTC Asistente B de CUSUR,30,2024,CUSUR,DTC,Asistente,B,0,0,,0
712-2024-31 PA DTC Asistente B de CUCOSTA,31,2024,CUCOSTA,DTC,Asistente,B,0,1,,1
712-2024-32 PA DTC Asistente B de CUCOSTASUR,32,2024,CUCOSTASUR,DTC,Asistente,B,0,0,,0
712-2024-33 PA DTC Asistente B de CUVALLES,33,2024,CUVALLES,DTC,Asistente,B,1,0,,1
712-2024-34 PA DTC Asistente B de CUNORTE,34,2024,CUNORTE,DTC,Asistente,B,0,0,,0
712-2024-35 PA DTC Asistente B de CULAGOS,35,2024,CULAGOS,DTC,Asistente,B,0,0,,0
712-2024-36 PA DTC Asistente B de CUTONALÁ,36,2024,CUTONALÁ,DTC,Asistente,B,0,0,,0
712-2024-37 PA DTC Asistente B de CUTLAJOMULCO,37,2024,CUTLAJOMULCO,DTC,Asistente,B,0,0,,0
712-2024-38 PA DTC Asistente B de CUGUADALAJARA,38,2024,CUGUADALAJARA,DTC,Asistente,B,0,0,,0
712-2024-39 PA DTC Asistente B de CUCHAPALA,39,2024,CUCHAPALA,DTC,Asistente,B,0,0,,0
712-2024-40 PA DTC Asistente B de CUTLAQUEPAQUE,40,2024,CUTLAQUEPAQUE,DTC,Asistente,B,0,0,,0
712-2024-41 PA DTC Asistente B de SEMS,41,2024,SEMS,DTC,Asistente,B,10,7,,17
712-2024-42 PA DTC Asistente B de AG,42,2024,AG,DTC,Asistente,B,0,0,,0
712-2024-43 PA DTC Asistente C de CUCEA,43,2024,CUCEA,DTC,Asistente,C,4,1,,5
712-2024-44 PA DTC Asistente C de CUCEI,44,2024,CUCEI,DTC,Asistente,C,4,0,,4
712-2024-45 PA DTC Asistente C de CUCSH,45,2024,CUCSH,DTC,Asistente,C,5,5,,10
712-2024-46 PA DTC Asistente C de CUCS,46,2024,CUCS,DTC,Asistente,C,4,2,,6
712-2024-47 PA DTC Asistente C de CUAAD,47,2024,CUAAD,DTC,Asistente,C,3,1,,4
712-2024-48 PA DTC Asistente C de CUCBA,48,2024,CUCBA,DTC,Asistente,C,2,2,,4
712-2024-49 PA DTC Asistente C de CUALTOS,49,2024,CUALTOS,DTC,Asistente,C,0,0,,0
712-2024-50 PA DTC Asistente C de CUCIÉNEGA,50,2024,CUCIÉNEGA,DTC,Asistente,C,0,0,,0
712-2024-51 PA DTC Asistente C de CUSUR,51,2024,CUSUR,DTC,Asistente,C,0,0,,0
712-2024-52 PA DTC Asistente C de CUCOSTA,52,2024,CUCOSTA,DTC,Asistente,C,1,1,,2
712-2024-53 PA DTC Asistente C de CUCOSTASUR,53,2024,CUCOSTASUR,DTC,Asistente,C,1,0,,1
712-2024-54 PA DTC Asistente C de CUVALLES,54,2024,CUVALLES,DTC,Asistente,C,1,0,,1
712-2024-55 PA DTC Asistente C de CUNORTE,55,2024,CUNORTE,DTC,Asistente,C,0,0,,0
712-2024-56 PA DTC Asistente C de CULAGOS,56,2024,CULAGOS,DTC,Asistente,C,0,0,,0
712-2024-57 PA DTC Asistente C de CUTONALÁ,57,2024,CUTONALÁ,DTC,Asistente,C,2,0,,2
712-2024-58 PA DTC Asistente C de CUTLAJOMULCO,58,2024,CUTLAJOMULCO,DTC,Asistente,C,1,1,,2
712-2024-59 PA DTC Asistente C de CUGUADALAJARA,59,2024,CUGUADALAJARA,DTC,Asistente,C,0,0,,0
712-2024-60 PA DTC Asistente C de CUCHAPALA,60,2024,CUCHAPALA,DTC,Asistente,C,0,0,,0
712-2024-61 PA DTC Asistente C de CUTLAQUEPAQUE,61,2024,CUTLAQUEPAQUE,DTC,Asistente,C,0,0,,0
712-2024-62 PA DTC Asistente C de SEMS,62,2024,SEMS,DTC,Asistente,C,32,38,,70
712-2024-63 PA DTC Asistente C de AG,63,2024,AG,DTC,Asistente,C,0,0,,0
712-2024-64 PA DTC Asociado A de CUCEA,64,2024,CUCEA,DTC,Asociado,A,11,8,,19
712-2024-65 PA DTC Asociado A de CUCEI,65,2024,CUCEI,DTC,Asociado,A,11,3,,14
712-2024-66 PA DTC Asociado A de CUCSH,66,2024,CUCSH,DTC,Asociado,A,13,16,,29
712-2024-67 PA DTC Asociado A de CUCS,67,2024,CUCS,DTC,Asociado,A,19,14,,33
712-2024-68 PA DTC Asociado A de CUAAD,68,2024,CUAAD,DTC,Asociado,A,9,4,,13
712-2024-69 PA DTC Asociado A de CUCBA,69,2024,CUCBA,DTC,Asociado,A,8,5,,13
712-2024-70 PA DTC Asociado A de CUALTOS,70,2024,CUALTOS,DTC,Asociado,A,4,6,,10
712-2024-71 PA DTC Asociado A de CUCIÉNEGA,71,2024,CUCIÉNEGA,DTC,Asociado,A,5,3,,8
712-2024-72 PA DTC Asociado A de CUSUR,72,2024,CUSUR,DTC,Asociado,A,5,0,,5
