name,row,anio,cve_sems,pa_categoria_t,hombres,mujeres,personas_nb,total
713-2024-1 PA de SEMS DTC de 14MMS0607X,1,2024,14MMS0607X,DTC,8,8,,16
713-2024-2 PA de SEMS DTC de 14MMS0608W,2,2024,14MMS0608W,DTC,13,6,,19
713-2024-3 PA de SEMS DTC de 14MMS0609V,3,2024,14MMS0609V,DTC,13,8,,21
713-2024-4 PA de SEMS DTC de 14MMS0610K,4,2024,14MMS0610K,DTC,12,6,,18
713-2024-5 PA de SEMS DTC de 14MMS0611J,5,2024,14MMS0611J,DTC,5,10,,15
713-2024-6 PA de SEMS DTC de 14MMS0612I,6,2024,14MMS0612I,DTC,12,10,,22
713-2024-7 PA de SEMS DTC de 14MMS0613H,7,2024,14MMS0613H,DTC,22,22,,44
713-2024-8 PA de SEMS DTC de 14MMS0647Y,8,2024,14MMS0647Y,DTC,0,0,,0
713-2024-9 PA de SEMS DTC de 14MMS0762P,9,2024,14MMS0762P,DTC,0,0,,0
713-2024-10 PA de SEMS DTC de 14MMS0761Q,10,2024,14MMS0761Q,DTC,13,21,,34
713-2024-11 PA de SEMS DTC de 14MMS0648X,11,2024,14MMS0648X,DTC,11,14,,25
713-2024-12 PA de SEMS DTC de 14MMS0649W,12,2024,14MMS0649W,DTC,18,16,,34
713-2024-13 PA de SEMS DTC de 14MMS0650L,13,2024,14MMS0650L,DTC,7,11,,18
713-2024-14 PA de SEMS DTC de 14MMS0646Z,14,2024,14MMS0646Z,DTC,20,29,,49
713-2024-15 PA de SEMS DTC de 14MMS0640E,15,2024,14MMS0640E,DTC,0,1,,1
713-2024-16 PA de SEMS DTC de 14MMS0615F,16,2024,14MMS0615F,DTC,4,13,,17
713-2024-17 PA de SEMS DTC de 14MMS0630Y,17,2024,14MMS0630Y,DTC,4,6,,10
713-2024-18 PA de SEMS DTC de 14MMS0641D,18,2024,14MMS0641D,DTC,0,2,,2
713-2024-19 PA de SEMS DTC de 14MMS0631X,19,2024,14MMS0631X,DTC,8,6,,14
713-2024-20 PA de SEMS DTC de 14MMS0636S,20,2024,14MMS0636S,DTC,6,4,,10
713-2024-21 PA de SEMS DTC de 14MMS0752I,21,2024,14MMS0752I,DTC,3,5,,8
713-2024-22 PA de SEMS DTC de 14MMS0753H,22,2024,14MMS0753H,DTC,8,4,,12
713-2024-23 PA de SEMS DTC de 14MMS0757D,23,2024,14MMS0757D,DTC,8,8,,16
713-2024-24 PA de SEMS DTC de 14MMS0756E,24,2024,14MMS0756E,DTC,10,3,,13
713-2024-25 PA de SEMS DTC de 14MMS0614G,25,2024,14MMS0614G,DTC,21,24,,45
713-2024-26 PA de SEMS DTC de 14MMS0645Z,26,2024,14MMS0645Z,DTC,14,17,,31
713-2024-27 PA de SEMS DTC de 14MMS0623O,27,2024,14MMS0623O,DTC,7,10,,17
713-2024-28 PA de SEMS DTC de 14MMS0776S,28,2024,14MMS0776S,DTC,14,3,,17
713-2024-29 PA de SEMS DTC de 14MMS0799C,29,2024,14MMS0799C,DTC,10,18,,28
713-2024-30 PA de SEMS DTC de 14MMS0878P,30,2024,14MMS0878P,DTC,2,3,,5
