name,row,anio,entidad_universitaria,categoria_academicos,antiguedad,academicos_t
714-2023-1 Docentes de CUCEA con antigüedad de 0 a 4,1,2023,CUCEA,Docentes,0 a 4,8
714-2023-2 Docentes de CUCEI con antigüedad de 0 a 4,2,2023,CUCEI,Docentes,0 a 4,1
714-2023-3 Docentes de CUCSH con antigüedad de 0 a 4,3,2023,CUCSH,Docentes,0 a 4,8
714-2023-4 Docentes de CUCS con antigüedad de 0 a 4,4,2023,CUCS,Docentes,0 a 4,6
714-2023-5 Docentes de CUAAD con antigüedad de 0 a 4,5,2023,CUAAD,Docentes,0 a 4,3
714-2023-6 Docentes de CUCBA con antigüedad de 0 a 4,6,2023,CUCBA,Docentes,0 a 4,7
714-2023-7 Docentes de CUALTOS con antigüedad de 0 a 4,7,2023,CUALTOS,Docentes,0 a 4,4
714-2023-8 Docentes de CUCIÉNEGA con antigüedad de 0 a 4,8,2023,CUCIÉNEGA,Docentes,0 a 4,0
714-2023-9 Docentes de CUSUR con antigüedad de 0 a 4,9,2023,CUSUR,Docentes,0 a 4,1
714-2023-10 Docentes de CUCOSTA con antigüedad de 0 a 4,10,2023,CUCOSTA,Docentes,0 a 4,2
714-2023-11 Docentes de CUCOSTASUR con antigüedad de 0 a 4,11,2023,CUCOSTASUR,Docentes,0 a 4,3
714-2023-12 Docentes de CUVALLES con antigüedad de 0 a 4,12,2023,CUVALLES,Docentes,0 a 4,0
714-2023-13 Docentes de CUNORTE con antigüedad de 0 a 4,13,2023,CUNORTE,Docentes,0 a 4,0
714-2023-14 Docentes de CULAGOS con antigüedad de 0 a 4,14,2023,CULAGOS,Docentes,0 a 4,2
714-2023-15 Docentes de CUTONALÁ con antigüedad de 0 a 4,15,2023,CUTONALÁ,Docentes,0 a 4,11
714-2023-16 Docentes de CUTLAJOMULCO con antigüedad de 0 a 4,16,2023,CUTLAJOMULCO,Docentes,0 a 4,3
714-2023-17 Docentes de SUV con antigüedad de 0 a 4,17,2023,SUV,Docentes,0 a 4,1
714-2023-18 Docentes de SEMS con antigüedad de 0 a 4,18,2023,SEMS,Docentes,0 a 4,8
714-2023-19 Docentes de AG con antigüedad de 0 a 4,19,2023,AG,Docentes,0 a 4,0
714-2023-20 Docentes de CUCEA con antigüedad de 5 a 9,20,2023,CUCEA,Docentes,5 a 9,4
