name,row,anio,entidad_universitaria,categoria_academicos,a_0_a_4_anios,a_5_a_9_anios,a_10_a_14_anios,a_15_a_19_anios,a_20_a_24_anios,a_25_a_29_anios,a_30_a_34_anios,a_35_a_39_anios,a_40_a_44_anios,a_45_a_50_anios,a_51_o_mas_anios,edad_21_a_30,edad_31_a_40,edad_41_a_50,edad_51_a_60,edad_61_anios_o_mas
714-2024-1 Antigüedad y edad de Docentes de CUCEA,1,2024,CUCEA,Docentes,8,5,14,17,30,18,23,11,4,3,1,0,10,35,61,28
714-2024-2 Antigüedad y edad de Docentes de CUCEI,2,2024,CUCEI,Docentes,3,6,7,8,20,15,18,12,4,2,1,0,12,23,37,24
714-2024-3 Antigüedad y edad de Docentes de CUCSH,3,2024,CUCSH,Docentes,11,14,13,21,31,19,29,26,9,8,1,1,20,44,67,50
714-2024-4 Antigüedad y edad de Docentes de CUCS,4,2024,CUCS,Docentes,15,31,19,22,21,10,19,19,3,7,4,3,35,28,59,45
714-2024-5 Antigüedad y edad de Docentes de CUAAD,5,2024,CUAAD,Docentes,2,5,3,11,19,10,13,6,1,1,0,0,7,12,27,25
714-2024-6 Antigüedad y edad de Docentes de CUCBA,6,2024,CUCBA,Docentes,6,11,10,4,4,7,14,6,4,2,1,0,15,16,22,16
714-2024-7 Antigüedad y edad de Docentes de CUALTOS,7,2024,CUALTOS,Docentes,3,8,9,13,7,3,7,2,0,0,0,0,12,18,16,6
714-2024-8 Antigüedad y edad de Docentes de CUCIÉNEGA,8,2024,CUCIÉNEGA,Docentes,0,3,2,7,19,10,7,1,3,0,0,0,4,15,22,11
714-2024-9 Antigüedad y edad de Docentes de CUSUR,9,2024,CUSUR,Docentes,0,3,1,3,8,8,7,5,1,2,0,0,3,10,11,14
714-2024-10 Antigüedad y edad de Docentes de CUCOSTA,10,2024,CUCOSTA,Docentes,1,0,4,7,6,9,2,1,1,0,0,0,3,11,10,7
714-2024-11 Antigüedad y edad de Docentes de CUCOSTASUR,11,2024,CUCOSTASUR,Docentes,4,3,2,3,8,5,5,6,0,0,0,0,7,5,15,9
714-2024-12 Antigüedad y edad de Docentes de CUVALLES,12,2024,CUVALLES,Docentes,4,4,10,9,8,2,2,1,0,0,0,0,14,18,6,2
714-2024-13 Antigüedad y edad de Docentes de CUNORTE,13,2024,CUNORTE,Docentes,0,6,6,6,1,3,1,1,0,0,0,0,4,12,8,0
714-2024-14 Antigüedad y edad de Docentes de CULAGOS,14,2024,CULAGOS,Docentes,2,2,1,3,3,2,7,2,0,1,0,0,3,5,12,3
714-2024-15 Antigüedad y edad de Docentes de CUTONALÁ,15,2024,CUTONALÁ,Docentes,2,25,17,9,9,6,3,1,1,0,0,0,30,30,10,3
714-2024-16 Antigüedad y edad de Docentes de CUTLAJOMULCO,16,2024,CUTLAJOMULCO,Docentes,10,2,4,6,0,2,0,0,0,0,0,0,9,13,2,0
714-2024-17 Antigüedad y edad de Docentes de CUGUADALAJARA,17,2024,CUGUADALAJARA,Docentes,1,3,3,6,8,2,3,1,1,0,0,0,5,11,8,4
714-2024-18 Antigüedad y edad de Docentes de CUCHAPALA,18,2024,CUCHAPALA,Docentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714-2024-19 Antigüedad y edad de Docentes de CUTLAQUEPAQUE,19,2024,CUTLAQUEPAQUE,Docentes,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0
714-2024-20 Antigüedad y edad de Docentes de SEMS,20,2024,SEMS,Docentes,6,44,112,164,274,197,297,87,22,15,2,1,112,325,551,231
714-2024-21 Antigüedad y edad de Docentes de AG,21,2024,AG,Docentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714-2024-22 Antigüedad y edad de Investigadores de CUCEA,22,2024,CUCEA,Investigadores,3,23,30,44,43,18,41,36,15,2,1,0,14,66,103,73
714-2024-23 Antigüedad y edad de Investigadores de CUCEI,23,2024,CUCEI,Investigadores,6,94,58,47,51,37,52,35,8,5,2,0,60,144,127,64
714-2024-24 Antigüedad y edad de Investigadores de CUCSH,24,2024,CUCSH,Investigadores,5,25,24,42,46,48,77,76,22,5,0,0,19,60,146,145
714-2024-25 Antigüedad y edad de Investigadores de CUCS,25,2024,CUCS,Investigadores,7,68,50,31,27,18,49,55,23,8,2,0,57,90,86,105
714-2024-26 Antigüedad y edad de Investigadores de CUAAD,26,2024,CUAAD,Investigadores,1,3,5,8,36,19,23,14,6,2,0,0,4,23,51,39
714-2024-27 Antigüedad y edad de Investigadores de CUCBA,27,2024,CUCBA,Investigadores,1,22,17,25,20,22,49,38,11,1,2,0,15,42,78,73
714-2024-28 Antigüedad y edad de Investigadores de CUALTOS,28,2024,CUALTOS,Investigadores,4,9,12,10,16,6,8,4,2,0,0,0,12,29,17,13
714-2024-29 Antigüedad y edad de Investigadores de CUCIÉNEGA,29,2024,CUCIÉNEGA,Investigadores,2,8,13,25,29,35,15,1,0,0,0,0,10,45,59,14
714-2024-30 Antigüedad y edad de Investigadores de CUSUR,30,2024,CUSUR,Investigadores,2,14,3,22,18,12,10,4,4,2,0,0,13,29,27,22
714-2024-31 Antigüedad y edad de Investigadores de CUCOSTA,31,2024,CUCOSTA,Investigadores,1,7,13,13,38,12,14,8,0,0,0,0,4,37,36,29
714-2024-32 Antigüedad y edad de Investigadores de CUCOSTASUR,32,2024,CUCOSTASUR,Investigadores,1,18,7,14,17,17,33,21,1,0,0,0,9,36,50,34
714-2024-33 Antigüedad y edad de Investigadores de CUVALLES,33,2024,CUVALLES,Investigadores,3,33,18,13,24,5,3,3,0,0,0,0,20,47,29,6
