name,row,anio,entidad_universitaria,categoria_admon,administrativos_h,administrativos_m,administrativos_nb,administrativos_t
721-2023-1 PAdmon de CUCEA,1,2023,CUCEA,Sind,166,146,,312
721-2023-2 PAdmon de CUCEI,2,2023,CUCEI,Sind,146,177,,323
721-2023-3 PAdmon de CUCSH,3,2023,CUCSH,Sind,137,200,,337
721-2023-4 PAdmon de CUCS,4,2023,CUCS,Sind,144,193,,337
721-2023-5 PAdmon de CUAAD,5,2023,CUAAD,Sind,59,80,,139
721-2023-6 PAdmon de CUCBA,6,2023,CUCBA,Sind,121,84,,205
721-2023-7 PAdmon de CUALTOS,7,2023,CUALTOS,Sind,38,60,,98
721-2023-8 PAdmon de CUCIÉNEGA,8,2023,CUCIÉNEGA,Sind,64,87,,151
721-2023-9 PAdmon de CUSUR,9,2023,CUSUR,Sind,51,54,,105
721-2023-10 PAdmon de CUCOSTA,10,2023,CUCOSTA,Sind,39,74,,113
721-2023-11 PAdmon de CUCOSTASUR,11,2023,CUCOSTASUR,Sind,51,63,,114
721-2023-12 PAdmon de CUVALLES,12,2023,CUVALLES,Sind,28,47,,75
721-2023-13 PAdmon de CUNORTE,13,2023,CUNORTE,Sind,34,24,,58
721-2023-14 PAdmon de CULAGOS,14,2023,CULAGOS,Sind,20,22,,42
721-2023-15 PAdmon de CUTONALÁ,15,2023,CUTONALÁ,Sind,51,52,,103
721-2023-16 PAdmon de CUTLAJOMULCO,16,2023,CUTLAJOMULCO,Sind,2,5,,7
721-2023-17 PAdmon de SUV,17,2023,SUV,Sind,24,24,,48
721-2023-18 PAdmon de SEMS,18,2023,SEMS,Sind,956,1169,,2125
721-2023-19 PAdmon de AG,19,2023,AG,Sind,351,447,,798
721-2023-20 PAdmon de CUCEA,20,2023,CUCEA,Conf,92,127,,219
721-2023-21 PAdmon de CUCEI,21,2023,CUCEI,Conf,29,30,,59
721-2023-22 PAdmon de CUCSH,22,2023,CUCSH,Conf,26,39,,65
721-2023-23 PAdmon de CUCS,23,2023,CUCS,Conf,49,56,,105
721-2023-24 PAdmon de CUAAD,24,2023,CUAAD,Conf,27,42,,69
721-2023-25 PAdmon de CUCBA,25,2023,CUCBA,Conf,13,20,,33
721-2023-26 PAdmon de CUALTOS,26,2023,CUALTOS,Conf,12,9,,21
721-2023-27 PAdmon de CUCIÉNEGA,27,2023,CUCIÉNEGA,Conf,2,6,,8
721-2023-28 PAdmon de CUSUR,28,2023,CUSUR,Conf,15,34,,49
721-2023-29 PAdmon de CUCOSTA,29,2023,CUCOSTA,Conf,27,25,,52
721-2023-30 PAdmon de CUCOSTASUR,30,2023,CUCOSTASUR,Conf,7,10,,17
721-2023-31 PAdmon de CUVALLES,31,2023,CUVALLES,Conf,29,27,,56
721-2023-32 PAdmon de CUNORTE,32,2023,CUNORTE,Conf,15,32,,47
721-2023-33 PAdmon de CULAGOS,33,2023,CULAGOS,Conf,4,1,,5
721-2023-34 PAdmon de CUTONALÁ,34,2023,CUTONALÁ,Conf,24,40,,64
721-2023-35 PAdmon de CUTLAJOMULCO,35,2023,CUTLAJOMULCO,Conf,4,5,,9
721-2023-36 PAdmon de SUV,36,2023,SUV,Conf,36,54,,90
721-2023-37 PAdmon de SEMS,37,2023,SEMS,Conf,147,163,,310
721-2023-38 PAdmon de AG,38,2023,AG,Conf,507,633,,1140
721-2023-39 PAdmon de CUCEA,39,2023,CUCEA,Mms,108,98,,206
721-2023-40 PAdmon de CUCEI,40,2023,CUCEI,Mms,69,69,,138
721-2023-41 PAdmon de CUCSH,41,2023,CUCSH,Mms,59,69,,128
721-2023-42 PAdmon de CUCS,42,2023,CUCS,Mms,119,115,,234
721-2023-43 PAdmon de CUAAD,43,2023,CUAAD,Mms,34,48,,82
721-2023-44 PAdmon de CUCBA,44,2023,CUCBA,Mms,46,26,,72
721-2023-45 PAdmon de CUALTOS,45,2023,CUALTOS,Mms,39,30,,69
721-2023-46 PAdmon de CUCIÉNEGA,46,2023,CUCIÉNEGA,Mms,37,33,,70
721-2023-47 PAdmon de CUSUR,47,2023,CUSUR,Mms,28,47,,75
721-2023-48 PAdmon de CUCOSTA,48,2023,CUCOSTA,Mms,36,55,,91
721-2023-49 PAdmon de CUCOSTASUR,49,2023,CUCOSTASUR,Mms,41,42,,83
721-2023-50 PAdmon de CUVALLES,50,2023,CUVALLES,Mms,40,34,,74
721-2023-51 PAdmon de CUNORTE,51,2023,CUNORTE,Mms,46,41,,87
721-2023-52 PAdmon de CULAGOS,52,2023,CULAGOS,Mms,29,33,,62
721-2023-53 PAdmon de CUTONALÁ,53,2023,CUTONALÁ,Mms,41,45,,86
721-2023-54 PAdmon de CUTLAJOMULCO,54,2023,CUTLAJOMULCO,Mms,27,25,,52
721-2023-55 PAdmon de SUV,55,2023,SUV,Mms,27,47,,74
721-2023-56 PAdmon de SEMS,56,2023,SEMS,Mms,322,256,,578
721-2023-57 PAdmon de AG,57,2023,AG,Mms,204,192,,396
721-2022-58 PAdmon de CUCEA,58,2022,CUCEA,Sind,165,158,,323
721-2022-59 PAdmon de CUCEI,59,2022,CUCEI,Sind,159,176,,335
721-2022-60 PAdmon de CUCSH,60,2022,CUCSH,Sind,154,207,,361
721-2022-61 PAdmon de CUCS,61,2022,CUCS,Sind,155,203,,358
721-2022-62 PAdmon de CUAAD,62,2022,CUAAD,Sind,62,81,,143
721-2022-63 PAdmon de CUCBA,63,2022,CUCBA,Sind,129,82,,211
721-2022-64 PAdmon de CUALTOS,64,2022,CUALTOS,Sind,37,57,,94
721-2022-65 PAdmon de CUCIÉNEGA,65,2022,CUCIÉNEGA,Sind,69,87,,156
721-2022-66 PAdmon de CUSUR,66,2022,CUSUR,Sind,52,52,,104
721-2022-67 PAdmon de CUCOSTA,67,2022,CUCOSTA,Sind,42,71,,113
721-2022-68 PAdmon de CUCOSTASUR,68,2022,CUCOSTASUR,Sind,51,61,,112
721-2022-69 PAdmon de CUVALLES,69,2022,CUVALLES,Sind,29,45,,74
721-2022-70 PAdmon de CUNORTE,70,2022,CUNORTE,Sind,35,23,,58
721-2022-71 PAdmon de CULAGOS,71,2022,CULAGOS,Sind,21,20,,41
721-2022-72 PAdmon de CUTONALÁ,72,2022,CUTONALÁ,Sind,50,49,,99
721-2022-73 PAdmon de CUTLAJOMULCO,73,2022,CUTLAJOMULCO,Sind,2,5,,7
721-2022-74 PAdmon de SUV,74,2022,SUV,Sind,24,25,,49
721-2022-75 PAdmon de SEMS,75,2022,SEMS,Sind,961,1152,,2113
721-2022-76 PAdmon de AG,76,2022,AG,Sind,354,468,,822
721-2022-77 PAdmon de CUCEA,77,2022,CUCEA,Conf,102,127,,229
721-2022-78 PAdmon de CUCEI,78,2022,CUCEI,Conf,28,28,,56
721-2022-79 PAdmon de CUCSH,79,2022,CUCSH,Conf,21,40,,61
721-2022-80 PAdmon de CUCS,80,2022,CUCS,Conf,51,61,,112
721-2022-81 PAdmon de CUAAD,81,2022,CUAAD,Conf,26,42,,68
721-2022-82 PAdmon de CUCBA,82,2022,CUCBA,Conf,13,23,,36
721-2022-83 PAdmon de CUALTOS,83,2022,CUALTOS,Conf,14,9,,23
721-2022-84 PAdmon de CUCIÉNEGA,84,2022,CUCIÉNEGA,Conf,2,8,,10
721-2022-85 PAdmon de CUSUR,85,2022,CUSUR,Conf,16,35,,51
721-2022-86 PAdmon de CUCOSTA,86,2022,CUCOSTA,Conf,27,26,,53
721-2022-87 PAdmon de CUCOSTASUR,87,2022,CUCOSTASUR,Conf,7,10,,17
721-2022-88 PAdmon de CUVALLES,88,2022,CUVALLES,Conf,30,26,,56
721-2022-89 PAdmon de CUNORTE,89,2022,CUNORTE,Conf,18,29,,47
721-2022-90 PAdmon de CULAGOS,90,2022,CULAGOS,Conf,3,2,,5
721-2022-91 PAdmon de CUTONALÁ,91,2022,CUTONALÁ,Conf,14,42,,56
721-2022-92 PAdmon de CUTLAJOMULCO,92,2022,CUTLAJOMULCO,Conf,3,5,,8
721-2022-93 PAdmon de SUV,93,2022,SUV,Conf,39,56,,95
721-2022-94 PAdmon de SEMS,94,2022,SEMS,Conf,152,171,,323
721-2022-95 PAdmon de AG,95,2022,AG,Conf,499,633,,1132
721-2022-96 PAdmon de CUCEA,96,2022,CUCEA,Mms,105,95,,200
721-2022-97 PAdmon de CUCEI,97,2022,CUCEI,Mms,72,70,,142
721-2022-98 PAdmon de CUCSH,98,2022,CUCSH,Mms,60,67,,127
721-2022-99 PAdmon de CUCS,99,2022,CUCS,Mms,107,99,,206
721-2022-100 PAdmon de CUAAD,100,2022,CUAAD,Mms,35,47,,82
721-2022-101 PAdmon de CUCBA,101,2022,CUCBA,Mms,45,25,,70
