name,row,anio,entidad_universitaria,categoria_admon,hombres,mujeres,personas_nb,total
721-2024-1 PAdmon de CUCEA-Sindicalizado,1,2024,CUCEA,Sindicalizado,163,142,,305
721-2024-2 PAdmon de CUCEI-Sindicalizado,2,2024,CUCEI,Sindicalizado,144,171,,315
721-2024-3 PAdmon de CUCSH-Sindicalizado,3,2024,CUCSH,Sindicalizado,130,199,,329
721-2024-4 PAdmon de CUCS-Sindicalizado,4,2024,CUCS,Sindicalizado,137,185,,322
721-2024-5 PAdmon de CUAAD-Sindicalizado,5,2024,CUAAD,Sindicalizado,56,76,,132
721-2024-6 PAdmon de CUCBA-Sindicalizado,6,2024,CUCBA,Sindicalizado,117,82,,199
721-2024-7 PAdmon de CUALTOS-Sindicalizado,7,2024,CUALTOS,Sindicalizado,40,55,,95
721-2024-8 PAdmon de CUCIÉNEGA-Sindicalizado,8,2024,CUCIÉNEGA,Sindicalizado,62,88,,150
721-2024-9 PAdmon de CUSUR-Sindicalizado,9,2024,CUSUR,Sindicalizado,50,53,,103
721-2024-10 PAdmon de CUCOSTA-Sindicalizado,10,2024,CUCOSTA,Sindicalizado,38,75,,113
721-2024-11 PAdmon de CUCOSTASUR-Sindicalizado,11,2024,CUCOSTASUR,Sindicalizado,50,61,,111
721-2024-12 PAdmon de CUVALLES-Sindicalizado,12,2024,CUVALLES,Sindicalizado,28,50,,78
721-2024-13 PAdmon de CUNORTE-Sindicalizado,13,2024,CUNORTE,Sindicalizado,33,24,,57
721-2024-14 PAdmon de CULAGOS-Sindicalizado,14,2024,CULAGOS,Sindicalizado,23,22,,45
721-2024-15 PAdmon de CUTONALÁ-Sindicalizado,15,2024,CUTONALÁ,Sindicalizado,54,51,,105
721-2024-16 PAdmon de CUTLAJOMULCO-Sindicalizado,16,2024,CUTLAJOMULCO,Sindicalizado,2,5,,7
721-2024-17 PAdmon de CUGUADALAJARA-Sindicalizado,17,2024,CUGUADALAJARA,Sindicalizado,30,18,,48
721-2024-18 PAdmon de CUCHAPALA-Sindicalizado,18,2024,CUCHAPALA,Sindicalizado,0,0,,0
721-2024-19 PAdmon de CUTLAQUEPAQUE-Sindicalizado,19,2024,CUTLAQUEPAQUE,Sindicalizado,5,1,,6
721-2024-20 PAdmon de SEMS-Sindicalizado,20,2024,SEMS,Sindicalizado,1019,1227,,2246
721-2024-21 PAdmon de AG-Sindicalizado,21,2024,AG,Sindicalizado,347,459,,806
721-2024-22 PAdmon de CUCEA-Confianza,22,2024,CUCEA,Confianza,99,125,,224
721-2024-23 PAdmon de CUCEI-Confianza,23,2024,CUCEI,Confianza,29,32,,61
721-2024-24 PAdmon de CUCSH-Confianza,24,2024,CUCSH,Confianza,28,40,,68
