name,orden,anio,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,conteo,clasificacion_plantel,region_jalisco,municipio,localidad,domicilio,num_ext,num_int,codigo_postal,enlace_plantel,nombre_portal,notas
811 Planteles -1 - 2024 - CUCEA - 14USU0120N,1,2024,CUCEA,,14USU0120N,Centro Universitario de Ciencias Económico Administrativas,CUCEA,Centro Universitario,1,Regional,Región Centro,Zapopan,N/A,Periférico Norte,799,N/A,45100,https://www.cucea.udg.mx,www.cucea.udg.mx,
811 Planteles -2 - 2024 - CUCEI - 14USU0110G,2,2024,CUCEI,,14USU0110G,Centro Universitario de Ciencias Exactas e Ingenierías,CUCEI,Centro Universitario,1,Regional,Región Centro,Guadalajara,N/A,Boulevard Marcelino García Barragán,1421,N/A,44430,http://www.cucei.udg.mx,www.cucei.udg.mx,
811 Planteles -3 - 2024 - CUCSH - 14USU0010H,3,2024,CUCSH,,14USU0010H,Centro Universitario de Ciencias Sociales y Humanidades sede Belenes,CUCSH - Belenes,Centro Universitario,1,Regional,Región Centro,Zapopan,N/A,Avenida José Parres Arias,150,N/A,45132,http://www.cucsh.udg.mx,www.cucsh.udg.mx,
811 Planteles -4 - 2024 - CUCS - 14USU0230T,4,2024,CUCS,,14USU0230T,Centro Universitario de Ciencias de la Salud,CUCS,Centro Universitario,1,Regional,Región Centro,Guadalajara,N/A,Calle Sierra Mojada,950,N/A,44340,https://www.cucs.udg.mx,www.cucs.udg.mx,
811 Planteles -5 - 2024 - CUAAD - 14USU0140A,5,2024,CUAAD,,14USU0140A,"Centro Universitario de Arte, Arquitectura y Diseño sede Huentitán",CUAAD - Huentitán,Centro Universitario,1,Regional,Región Centro,Guadalajara,N/A,Calzada Independencia Norte,5075,N/A,44250,https://cuaad.udg.mx,cuaad.udg.mx,
811 Planteles -6 - 2024 - CUAAD - 14USU0005W,6,2024,CUAAD,14USU0140A,14USU0005W,"Centro Universitario de Arte, Arquitectura y Diseño sede Santa María de Gracia",CUAAD - Santa María de Gracia,Sede CU,1,Regional,Región Centro,Guadalajara,N/A,Calle Belén,120,N/A,44100,https://cuaad.udg.mx,cuaad.udg.mx,
811 Planteles -7 - 2024 - CUAAD - 14USU0006V,7,2024,CUAAD,14USU0140A,14USU0006V,"Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín",CUAAD - San Agustín,Sede CU,1,Regional,Región Centro,Guadalajara,Ex Claustro de San Agustín,Calle Morelos,191,N/A,44100,https://cuaad.udg.mx,cuaad.udg.mx,
811 Planteles -8 - 2024 - CUCBA - 14USU0130U,8,2024,CUCBA,,14USU0130U,Centro Universitario de Ciencias Biológicas y Agropecuarias,CUCBA,Centro Universitario,1,Regional,Región Centro,Zapopan,Nextipac,Camino Ramón Padilla Sánchez,2100,N/A,45200,http://www.cucba.udg.mx,www.cucba.udg.mx,
811 Planteles -9 - 2024 - CUALTOS - 14USU0220M,9,2024,CUALTOS,,14USU0220M,Centro Universitario de los Altos,CUALTOS,Centro Universitario,1,Regional,Región Altos Sur,Tepatitlán de Morelos,N/A,Avenida Rafael Casillas Aceves,1200,N/A,47620,http://www.cualtos.udg.mx,www.cualtos.udg.mx,
811 Planteles -10 - 2024 - CUCIÉNEGA - 14USU0160O,10,2024,CUCIÉNEGA,,14USU0160O,Centro Universitario de la Ciénega sede Ocotlán,CUCIÉNEGA - Ocotlán,Centro Universitario,1,Regional,Región Ciénega,Ocotlán,N/A,Av. Universidad,1115,N/A,47810,https://cuci.udg.mx,cuci.udg.mx,
811 Planteles -11 - 2024 - CUCIÉNEGA - 14USU0150H,11,2024,CUCIÉNEGA,14USU0160O,14USU0150H,Centro Universitario de la Ciénega sede Atotonilco,CUCIÉNEGA - Atotonilco,Sede CU,1,Regional,Región Ciénega,Atotonilco El Alto,N/A,Carretera Guadalajara - Mexico km 84,N/A,N/A,47750,https://atotonilco.cuci.udg.mx,atotonilco.cuci.udg.mx,
811 Planteles -12 - 2024 - CUCIÉNEGA - 14USU0170V,12,2024,CUCIÉNEGA,14USU0160O,14USU0170V,Centro Universitario de la Ciénega sede La Barca,CUCIÉNEGA - La Barca,Sede CU,1,Regional,Región Ciénega,La Barca,Predio las Gaviotas,Carretera La Barca-Ocotlán km 6,N/A,N/A,48470,https://cuci.udg.mx/directorio/Campus-La-Barca,cuci.udg.mx/directorio/Campus-La-Barca,
811 Planteles -13 - 2024 - CUSUR - 14USU0210F,13,2024,CUSUR,,14USU0210F,Centro Universitario del Sur,CUSUR,Centro Universitario,1,Regional,Región Sur,Zapotlán el Grande,Ciudad Guzmán,Avenida Enrique Arreola Silva,883,N/A,49000,http://www.cusur.udg.mx,www.cusur.udg.mx,
811 Planteles -14 - 2024 - CUCOSTA - 14USU0190I,14,2024,CUCOSTA,,14USU0190I,Centro Universitario de la Costa sede Puerto Vallarta,CUCOSTA - Puerto Vallarta,Centro Universitario,1,Regional,Región Costa-Sierra Occidental,Puerto Vallarta,Delegación Ixtapa,Av. Universidad,203,N/A,48280,http://www.cuc.udg.mx,www.cuc.udg.mx,
811 Planteles -15 - 2024 - CUCOSTA - 14USU0009S,15,2024,CUCOSTA,14USU0190I,14USU0009S,Centro Universitario de la Costa sede Tomatlán,CUCOSTA - Tomatlán,Sede CU,1,Regional,Región Costa Sur,Tomatlán,N/A,Calle 20 de Noviembre,500,N/A,48250,http://www.cuc.udg.mx/es/sede-tomatlan-0,www.cuc.udg.mx/es/sede-tomatlan-0,
811 Planteles -16 - 2024 - CUCOSTASUR - 14USU0200Z,16,2024,CUCOSTASUR,,14USU0200Z,Centro Universitario de la Costa Sur sede Autlán,CUCOSTASUR - Autlán,Centro Universitario,1,Regional,Región Sierra de Amula,Autlán de Navarro,N/A,Avenida Independencia Nacional,151,N/A,48900,http://www.cucsur.udg.mx,www.cucsur.udg.mx,
811 Planteles -17 - 2024 - CUCOSTASUR - 14USU0007U,17,2024,CUCOSTASUR,14USU0200Z,14USU0007U,Centro Universitario de la Costa Sur sede San Patricio Melaque,CUCOSTASUR - San Patricio Melaque,Sede CU,1,Regional,Región Costa Sur,Cihuatlán,San Patricio (Melaque),Calle Gomez Farias ,82,N/A,48980,http://www.cucsur.udg.mx,www.cucsur.udg.mx,
811 Planteles -18 - 2024 - CUVALLES - 14USU0003Y,18,2024,CUVALLES,,14USU0003Y,Centro Universitario de los Valles,CUVALLES,Centro Universitario,1,Regional,Región Valles,Ameca,N/A,Carretera Guadalajara - Ameca Km. 45.5,S/N,N/A,46600,http://www.web.valles.udg.mx,www.web.valles.udg.mx,
811 Planteles -19 - 2024 - CUNORTE - 14USU0002Z,19,2024,CUNORTE,,14USU0002Z,Centro Universitario del Norte,CUNORTE,Centro Universitario,1,Regional,Región Norte,Colotlán,N/A,Carretera Federal Colotlán - Huejúcar km 191,23,N/A,46200,https://www.cunorte.udg.mx,www.cunorte.udg.mx,
811 Planteles -20 - 2024 - CULAGOS - 14USU0221L,20,2024,CULAGOS,,14USU0221L,Centro Universitario de los Lagos sede Lagos de Moreno,CULAGOS - Lagos de Moreno,Centro Universitario,1,Regional,Región Altos Norte,Lagos de Moreno,N/A,Avenida Enrique Díaz de León,1144,N/A,47460,https://www.lagos.udg.mx,www.lagos.udg.mx,
811 Planteles -21 - 2024 - CULAGOS - 14USU0222K,21,2024,CULAGOS,14USU0221L,14USU0222K,Centro Universitario de los Lagos sede San Juan de los Lagos,CULAGOS - San Juan de los Lagos,Sede CU,1,Regional,Región Altos Norte,San Juan de Los Lagos,N/A,Calle Tenazas,S/N,N/A,47000,https://www.lagos.udg.mx,www.lagos.udg.mx,
811 Planteles -22 - 2024 - CUTONALÁ - 14USU0008T,22,2024,CUTONALÁ,,14USU0008T,Centro Universitario de Tonalá,CUTONALÁ,Centro Universitario,1,Regional,Región Centro,Tonalá,Ejido San José Tateposco,Avenida Nuevo Periférico,555,N/A,45425,http://www.cutonala.udg.mx,www.cutonala.udg.mx,
811 Planteles -23 - 2024 - CUTLAJOMULCO - 14USU0011G,23,2024,CUTLAJOMULCO,,14USU0011G,Centro Universitario de Tlajomulco,CUTLAJOMULCO,Centro Universitario,1,Regional,Región Centro,Tlajomulco de Zúñiga,Lomas de Tejeda,Carretera Tlajomulco - Santa Fe Km. 3.5,595,N/A,45641,http://www.cutlajomulco.udg.mx,www.cutlajomulco.udg.mx,
811 Planteles -24 - 2024 - CUGUADALAJARA - 14USU0012F,24,2024,CUGUADALAJARA,,14USU0012F,Centro Universitario de Guadalajara,CUGUADALAJARA,Centro Universitario,1,Regional,Región Centro,Guadalajara,Guadalajara,Calle Guanajuato,#N/A,#N/A,44260,https://cugdl.udg.mx/,cugdl.udg.mx,
811 Planteles -25 - 2024 - CUCHAPALA - CUCHAPALA,25,2024,CUCHAPALA,,CUCHAPALA,Centro Universitario de Chapala,CUCHAPALA,Centro Universitario,1,Regional,Región Sureste,Chapala,Chapala,Niños Héroes,69,,45900,,,
811 Planteles -26 - 2024 - CUTLAQUEPAQUE - CUTLAQUEPAQUE,26,2024,CUTLAQUEPAQUE,,CUTLAQUEPAQUE,Centro Universitario de Tlaquepaque,CUTLAQUEPAQUE,Centro Universitario,1,Regional,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Leocares,323,,45599,,,
811 Planteles -27 - 2024 - SEMS - 14MMS0607X,27,2024,SEMS,,14MMS0607X,Escuela Preparatoria de Jalisco,Prepa Jalisco,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle González Ortega,225,N/A,44100,http://prepajalisco.sems.udg.mx,prepajalisco.sems.udg.mx,
811 Planteles -28 - 2024 - SEMS - 14MMS0608W,28,2024,SEMS,,14MMS0608W,Escuela Preparatoria No. 2,Prepa 2,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Álvarez del Castillo,760,N/A,44370,http://prepa2.sems.udg.mx,prepa2.sems.udg.mx,
