name,row,anio,entidad_universitaria,bibliotecas,no_usuarios,asistencia_prom,busq_catalogo_linea,prestamo_externo,prestamo_interno,comp_usuarios,total_m2,m2_ser_publico,estanteria_m,asientos,mesas,cubiculos_ind,cubiculos_grup,salas_audiovisuales
1 2023 SiUBiUDG CUCEA,1,2023,CUCEA,1,61609,237,1843390,15368,11833,97,3245,2465,5203,613,301,6,2,1
2 2022 SiUBiUDG CUCEA,2,2022,CUCEA,1,37511,144,1917105,8643,5194,82,3245,2465,5203,613,301,6,2,1
3 2021 SiUBiUDG CUCEA,3,2021,CUCEA,1,16459,63,1361296,1809,169,78,3245,2465,4261,541,275,6,2,1
4 2020 SiUBiUDG CUCEA,4,2020,CUCEA,1,4932,19,1153641,14293,16654,141,3245,2465,4261,541,275,6,2,1
5 2019 SiUBiUDG CUCEA,5,2019,CUCEA,1,225044,866,1734743,56071,132305,157,3245,2465,4261,557,279,0,2,1
6 2018 SiUBiUDG CUCEA,6,2018,CUCEA,1,137291,528,1909522,79127,97966,157,3245,2465,4261,557,279,0,2,1
7 2023 SiUBiUDG CUCEI,7,2023,CUCEI,4,183857,707,650693,20629,91984,122,3172,2517,4190,711,523,0,6,1
8 2022 SiUBiUDG CUCEI,8,2022,CUCEI,4,179636,691,620536,98811,37208,119,3107,2925,4137,708,519,0,6,1
9 2021 SiUBiUDG CUCEI,9,2021,CUCEI,4,20133,77,440630,126,2270,151,3165,2773,3700,870,188,2,6,1
10 2020 SiUBiUDG CUCEI,10,2020,CUCEI,4,23844,92,373415,23236,64,134,3160,2773,3362,868,194,10,6,1
11 2019 SiUBiUDG CUCEI,11,2019,CUCEI,4,772124,2970,561508,571264,710777,127,3165,2773,3181,867,192,10,6,1
12 2018 SiUBiUDG CUCEI,12,2018,CUCEI,4,610096,2347,618082,182600,79763,150,3165,2773,3160,871,188,2,6,1
13 2023 SiUBiUDG CUCSH,13,2023,CUCSH,13,14142,54,905784,2439,3986,77,10525,7035,8228,706,181,124,21,3
14 2022 SiUBiUDG CUCSH,14,2022,CUCSH,13,24142,93,1499475,4872,4192,76,10057,6938,6955,726,166,116,10,3
15 2021 SiUBiUDG CUCSH,15,2021,CUCSH,13,19597,75,1064746,1211,355,86,10757,7506,6392,782,165,115,10,4
16 2020 SiUBiUDG CUCSH,16,2020,CUCSH,13,59893,230,902327,6285,3550,81,11021,7546,6280,793,150,115,10,4
17 2019 SiUBiUDG CUCSH,17,2019,CUCSH,13,255874,984,1356840,37624,85227,85,11021,7648,6279,865,188,117,11,4
18 2018 SiUBiUDG CUCSH,18,2018,CUCSH,14,290201,1116,1493544,44717,118972,82,11807,8172,7058,849,156,137,1,4
19 2023 SiUBiUDG CUCS,19,2023,CUCS,2,78510,302,738035,16074,28092,74,1598,1171,2775,397,198,35,6,1
20 2022 SiUBiUDG CUCS,20,2022,CUCS,2,49632,191,701911,13547,32819,78,1598,1171,2571,384,176,35,6,1
21 2021 SiUBiUDG CUCS,21,2021,CUCS,2,7259,28,498412,950,2693,87,1598,1171,2845,405,200,35,6,1
22 2020 SiUBiUDG CUCS,22,2020,CUCS,2,38741,149,422383,13291,31206,87,1598,1171,3591,408,176,35,6,1
23 2019 SiUBiUDG CUCS,23,2019,CUCS,2,142226,547,635143,67311,246560,66,1598,1186,3591,398,133,35,6,1
24 2018 SiUBiUDG CUCS,24,2018,CUCS,2,130880,503,699135,185817,286751,67,1598,1200,2969,398,133,35,6,1
25 2023 SiUBiUDG CUAAD,25,2023,CUAAD,4,80238,309,512244,5598,12126,16,978,548,2032,177,58,11,3,1
26 2022 SiUBiUDG CUAAD,26,2022,CUAAD,4,20405,78,415279,4940,11402,13,921,531,1800,171,64,11,6,0
27 2021 SiUBiUDG CUAAD,27,2021,CUAAD,4,18244,70,294881,1641,42919,54,921,546,1746,163,52,0,0,0
28 2020 SiUBiUDG CUAAD,28,2020,CUAAD,4,23094,89,249899,1641,42919,54,921,546,1746,163,52,0,0,0
29 2019 SiUBiUDG CUAAD,29,2019,CUAAD,4,152316,586,375776,22569,525563,54,921,546,1746,222,62,0,0,0
30 2018 SiUBiUDG CUAAD,30,2018,CUAAD,4,151296,582,413636,20166,522683,60,921,546,1746,222,62,0,0,0
31 2023 SiUBiUDG CUCBA,31,2023,CUCBA,4,117844,453,380546,15149,77632,55,1870,1121,2661,325,83,86,3,2
32 2022 SiUBiUDG CUCBA,32,2022,CUCBA,4,82856,319,402557,17397,85605,54,1867,1118,2661,325,84,86,3,2
33 2021 SiUBiUDG CUCBA,33,2021,CUCBA,4,1150,4,285847,914,1282,54,1867,1118,1982,325,83,86,3,2
34 2020 SiUBiUDG CUCBA,34,2020,CUCBA,4,30655,118,242243,9101,34465,55,1922,1351,2685,533,134,46,3,2
35 2019 SiUBiUDG CUCBA,35,2019,CUCBA,4,122620,472,364264,36403,137859,55,1922,1351,2685,533,134,46,3,2
36 2018 SiUBiUDG CUCBA,36,2018,CUCBA,4,87053,335,400965,46254,157287,55,1747,1242,2317,476,122,23,3,1
37 2023 SiUBiUDG CUALTOS,37,2023,CUALTOS,1,57725,222,306655,26423,50738,29,1103,830,2336,223,71,3,5,1
38 2022 SiUBiUDG CUALTOS,38,2022,CUALTOS,1,53111,204,333613,20679,37803,28,1103,803,2336,359,87,9,2,1
39 2021 SiUBiUDG CUALTOS,39,2021,CUALTOS,1,3342,13,236892,5124,0,28,1103,803,2336,349,85,9,2,1
40 2020 SiUBiUDG CUALTOS,40,2020,CUALTOS,1,25905,100,200756,1131,0,38,1103,803,2336,348,85,9,2,1
41 2019 SiUBiUDG CUALTOS,41,2019,CUALTOS,1,88528,340,301879,43523,45168,29,1183,803,2336,348,85,9,2,1
42 2018 SiUBiUDG CUALTOS,42,2018,CUALTOS,1,89220,343,332293,38353,43328,29,1183,803,2336,219,84,0,2,1
43 2023 SiUBiUDG CUCI NEGA,43,2023,CUCI NEGA,3,225876,869,170682,14748,25449,43,3224,1828,3409,639,116,2,4,1
44 2022 SiUBiUDG CUCI NEGA,44,2022,CUCI NEGA,3,181045,696,168360,13109,9148,29,3224,1828,3409,639,116,2,6,1
45 2021 SiUBiUDG CUCI NEGA,45,2021,CUCI NEGA,3,16723,64,119549,1255,986,17,3224,1828,3409,639,116,2,7,1
46 2020 SiUBiUDG CUCI NEGA,46,2020,CUCI NEGA,3,3571,14,101313,2094,762,32,3224,1828,3409,637,116,2,7,1
47 2019 SiUBiUDG CUCI NEGA,47,2019,CUCI NEGA,3,52014,1171,152345,25539,14098,29,3224,1828,3409,637,116,2,7,1
48 2018 SiUBiUDG CUCI NEGA,48,2018,CUCI NEGA,3,44782,1171,167694,27349,14056,40,3224,1828,3409,637,116,2,7,1
49 2023 SiUBiUDG CUSUR,49,2023,CUSUR,1,81968,315,780145,26298,7430,84,3438,1790,3100,608,118,64,0,1
50 2022 SiUBiUDG CUSUR,50,2022,CUSUR,1,15936,61,623545,24008,53698,84,3438,1790,2776,608,118,64,0,1
51 2021 SiUBiUDG CUSUR,51,2021,CUSUR,1,1162,4,442766,1883,250,75,3438,1790,2751,593,118,64,0,1
52 2020 SiUBiUDG CUSUR,52,2020,CUSUR,1,22688,87,375226,15983,51760,75,3438,1790,18593,524,132,72,0,1
53 2019 SiUBiUDG CUSUR,53,2019,CUSUR,1,159038,612,564231,57785,208800,41,3438,1790,17226,478,125,42,0,1
54 2018 SiUBiUDG CUSUR,54,2018,CUSUR,1,164325,632,621079,53850,75564,37,3599,1790,17226,478,125,36,0,0
55 2023 SiUBiUDG CUCOSTA,55,2023,CUCOSTA,1,117805,453,420047,15621,9593,26,720,254,1543,157,55,17,0,1
56 2022 SiUBiUDG CUCOSTA,56,2022,CUCOSTA,1,57279,220,486347,6910,13704,29,720,254,1543,157,55,7,0,1
57 2021 SiUBiUDG CUCOSTA,57,2021,CUCOSTA,1,28,0,345345,881,124,27,720,254,1543,125,51,0,7,0
58 2020 SiUBiUDG CUCOSTA,58,2020,CUCOSTA,1,151990,585,292665,9604,5251,27,720,550,1543,125,51,0,7,0
59 2019 SiUBiUDG CUCOSTA,59,2019,CUCOSTA,1,230956,888,440084,33101,212941,27,720,550,1543,150,51,0,7,0
60 2018 SiUBiUDG CUCOSTA,60,2018,CUCOSTA,1,213208,820,484423,31007,13647,27,720,550,1543,150,51,0,7,0
61 2023 SiUBiUDG CUCOSTASUR,61,2023,CUCOSTASUR,3,46411,179,233113,5069,5251,31,2027,1904,2006,371,132,3,1,2
62 2022 SiUBiUDG CUCOSTASUR,62,2022,CUCOSTASUR,2,18658,72,222244,2982,2983,32,1969,1850,2002,455,134,3,0,2
63 2021 SiUBiUDG CUCOSTASUR,63,2021,CUCOSTASUR,2,3948,15,157811,1032,539,32,1969,1850,1844,455,134,3,0,2
64 2020 SiUBiUDG CUCOSTASUR,64,2020,CUCOSTASUR,2,11027,42,133738,3486,3302,42,1969,1850,1758,455,134,3,0,2
65 2019 SiUBiUDG CUCOSTASUR,65,2019,CUCOSTASUR,2,59975,231,201103,15061,17152,42,1969,1850,1758,455,134,3,0,2
66 2018 SiUBiUDG CUCOSTASUR,66,2018,CUCOSTASUR,2,80206,308,221365,18386,21128,42,1969,1853,1749,455,134,3,0,2
67 2023 SiUBiUDG CUVALLES,67,2023,CUVALLES,1,90679,349,135522,13240,7304,38,2842,2382,2622,842,92,0,2,1
68 2022 SiUBiUDG CUVALLES,68,2022,CUVALLES,1,48161,185,214153,6264,2993,34,2842,2382,2622,842,106,0,1,1
69 2021 SiUBiUDG CUVALLES,69,2021,CUVALLES,1,10327,40,152066,2527,1064,34,2842,2382,2613,842,106,0,3,1
70 2020 SiUBiUDG CUVALLES,70,2020,CUVALLES,1,11401,44,128869,11617,2519,30,2842,2382,2613,280,100,0,2,0
71 2019 SiUBiUDG CUVALLES,71,2019,CUVALLES,1,48809,188,193782,24225,10864,45,2842,2382,2613,280,100,0,1,0
72 2018 SiUBiUDG CUVALLES,72,2018,CUVALLES,1,51618,199,213306,2636,9077,32,2842,2382,2603,280,100,0,1,0
73 2023 SiUBiUDG CUNORTE,73,2023,CUNORTE,1,31170,120,317312,7570,4033,103,984,877,2041,123,123,0,0,0
74 2022 SiUBiUDG CUNORTE,74,2022,CUNORTE,1,28196,108,215758,6139,1350,103,984,877,2041,123,123,0,0,1
75 2021 SiUBiUDG CUNORTE,75,2021,CUNORTE,1,6558,25,153205,1205,840,103,984,877,2000,123,123,0,0,0
76 2020 SiUBiUDG CUNORTE,76,2020,CUNORTE,1,16850,65,129835,4432,0,103,984,877,2000,123,123,0,0,0
77 2019 SiUBiUDG CUNORTE,77,2019,CUNORTE,1,53618,206,195234,17221,23850,103,984,877,2000,123,117,0,0,0
78 2018 SiUBiUDG CUNORTE,78,2018,CUNORTE,1,48942,188,214905,19833,20304,103,984,877,2000,123,123,0,0,0
79 2023 SiUBiUDG CULAGOS,79,2023,CULAGOS,2,9074,35,743357,7996,1969,36,1342,1029,2460,277,49,20,7,0
80 2022 SiUBiUDG CULAGOS,80,2022,CULAGOS,2,2312,9,465294,6178,390,22,1342,1029,2552,292,46,20,8,0
81 2021 SiUBiUDG CULAGOS,81,2021,CULAGOS,2,687,3,330396,1734,280,22,1342,1029,2208,292,46,20,8,0
82 2020 SiUBiUDG CULAGOS,82,2020,CULAGOS,2,1853,7,279996,8669,3513,22,1342,831,2334,184,33,0,6,0
83 2019 SiUBiUDG CULAGOS,83,2019,CULAGOS,2,56182,216,421034,33727,10040,18,820,574,2334,184,28,0,6,0
84 2018 SiUBiUDG CULAGOS,84,2018,CULAGOS,2,53120,204,463454,39528,12912,18,820,612,2220,184,28,0,6,0
85 2023 SiUBiUDG CUTONAL ,85,2023,CUTONAL ,1,72352,278,191683,8499,24315,56,3520,701,1151,384,132,0,9,1
86 2022 SiUBiUDG CUTONAL ,86,2022,CUTONAL ,1,49090,189,175289,3818,9566,56,1996,1591,405,387,132,0,9,1
87 2021 SiUBiUDG CUTONAL ,87,2021,CUTONAL ,1,3452,13,124469,157,725,56,2280,1630,1034,371,102,40,12,1
88 2020 SiUBiUDG CUTONAL ,88,2020,CUTONAL ,1,23928,92,105482,5120,625,56,1280,630,992,233,64,0,0,1
89 2019 SiUBiUDG CUTONAL ,89,2019,CUTONAL ,1,82289,316,158615,1772,20533,56,1280,630,992,233,64,0,0,1
90 2018 SiUBiUDG CUTONAL ,90,2018,CUTONAL ,1,77186,297,174596,17120,20504,56,1280,680,871,236,64,0,0,1
91 2023 SiUBiUDG CUTLAJOMULCO,91,2023,CUTLAJOMULCO,1,2804,11,235340,1,295,22,264,158,392,68,45,0,0,0
92 2022 SiUBiUDG CUTLAJOMULCO,92,2022,CUTLAJOMULCO,1,2083,8,244973,0,996,22,211,157,260,68,45,0,0,0
93 2023 SiUBiUDG SUV,93,2023,SUV,1,4360,17,48353,347,99,15,172,123,292,23,16,0,0,0
94 2022 SiUBiUDG SUV,94,2022,SUV,1,3234,12,67791,427,133,15,172,123,292,23,16,0,0,0
95 2021 SiUBiUDG SUV,95,2021,SUV,1,2804,11,48137,401,32,15,172,123,292,23,17,0,0,0
96 2020 SiUBiUDG SUV,96,2020,SUV,1,2507,10,40794,430,37,16,172,123,292,23,17,0,0,0
97 2019 SiUBiUDG SUV,97,2019,SUV,1,3395,13,61342,1220,271,18,172,123,292,23,17,0,0,0
98 2018 SiUBiUDG SUV,98,2018,SUV,1,2445,9,67523,1334,184,18,172,123,292,23,17,0,0,0
99 2023 SiUBiUDG SEMS,99,2023,SEMS,171,1045760,4022,1006374,89463,514829,1321,30025,22447,23695,7615,1778,225,88,55
100 2022 SiUBiUDG SEMS,100,2022,SEMS,167,846262,3255,897717,64908,385998,1226,28336,21018,23913,7179,1658,220,79,54
101 2021 SiUBiUDG SEMS,101,2021,SEMS,168,78943,304,637450,10840,36453,1309,28477,20984,20271,7143,1682,179,69,52
102 2020 SiUBiUDG SEMS,102,2020,SEMS,168,309745,1191,540212,31830,132078,1381,28231,21098,21233,7321,1684,159,68,47
103 2019 SiUBiUDG SEMS,103,2019,SEMS,168,1399116,5381,812323,128803,561127,1333,29856,22440,20689,6985,1653,160,68,47
104 2018 SiUBiUDG SEMS,104,2018,SEMS,164,1329035,5112,894166,136496,578700,1279,27327,20462,21292,6647,1606,159,66,45
105 2023 SiUBiUDG BIOP,105,2023,BIOP,1,45492,175,175709,11,19960,11,1233,1010,223,169,44,0,3,1
106 2022 SiUBiUDG BIOP,106,2022,BIOP,1,35113,135,149135,18,14000,7,1850,1240,348,124,49,4,4,1
107 2021 SiUBiUDG BIOP,107,2021,BIOP,1,6759,26,105898,0,4747,6,1850,1240,348,139,51,0,0,0
108 2020 SiUBiUDG BIOP,108,2020,BIOP,1,9658,37,89744,26,5900,4,1387,1240,348,154,56,0,0,0
109 2019 SiUBiUDG BIOP,109,2019,BIOP,1,50503,194,134949,107,80635,14,1387,1240,348,181,51,3,0,0
110 2018 SiUBiUDG BIOP,110,2018,BIOP,1,6715,26,148545,20,22304,21,1387,1240,348,226,45,3,0,0
111 2023 SiUBiUDG BPEJ,111,2023,BPEJ,1,260765,1003,1840448,245,1310464,360,31710,15973,2808,3266,1050,0,15,1
112 2022 SiUBiUDG BPEJ,112,2022,BPEJ,1,165511,637,1659693,0,60001,360,31710,15973,2808,3266,1050,0,15,1
113 2021 SiUBiUDG BPEJ,113,2021,BPEJ,1,7984,31,1178513,0,17320,387,31710,15973,2808,3266,1047,0,15,1
114 2020 SiUBiUDG BPEJ,114,2020,BPEJ,1,36507,140,998740,3,23866,387,31710,15973,2808,3266,1047,0,15,1
115 2019 SiUBiUDG BPEJ,115,2019,BPEJ,1,209340,805,1501817,0,916281,387,31710,15973,2808,3266,1047,0,16,1
116 2018 SiUBiUDG BPEJ,116,2018,BPEJ,1,341849,1315,1653128,0,877116,387,31030,15313,3265,3266,1047,0,16,1
117 2023 SiUBiUDG CDCB,117,2023,CDCB,1,1896,7,0,2587,1200,2,403,340,393,109,55,0,0,1
118 2022 SiUBiUDG CDCB,118,2022,CDCB,1,1068,4,0,1133,2400,2,403,340,393,109,55,0,0,1
119 2021 SiUBiUDG CDCB,119,2021,CDCB,1,17,0,0,66,0,2,403,340,393,91,55,0,0,1
120 2020 SiUBiUDG CDCB,120,2020,CDCB,1,96,0,0,54,42,2,300,270,198,91,51,0,0,1
121 2019 SiUBiUDG CDCB,121,2019,CDCB,1,4103,16,0,840,267,2,300,270,165,86,47,0,0,1
122 2018 SiUBiUDG CDCB,122,2018,CDCB,1,977,4,0,122,183,2,300,270,165,86,47,0,0,1
