name,row,anio,entidad_universitaria,bibliotecas,no_usuarios,asistencia_prom,busq_catalogo_linea,prestamo_externo,prestamo_interno,comp_usuarios,total_m2,m2_ser_publico,estanteria_m,asientos,mesas,cubiculos_ind,cubiculos_grup,salas_audiovisuales
1 2024 SiUBiUDG CUCEA,1,2024,CUCEA,1,64587,248,2357801,14048,12920,104,3245,2465,5203,514,234,10,0,1
2 2024 SiUBiUDG CUCEI,2,2024,CUCEI,1,412586,1587,865807,17775,205587,122,3172,2517,4190,711,523,0,6,1
3 2024 SiUBiUDG CUCSH,3,2024,CUCSH,13,11859,46,774806,2247,11718,29,10037,6481,7592,708,178,113,21,3
4 2024 SiUBiUDG CUCS,4,2024,CUCS,2,119567,460,843967,15559,69510,80,1598,1185,2775,408,212,0,6,1
5 2024 SiUBiUDG CUAAD,5,2024,CUAAD,4,99513,383,551613,5711,12514,19,978,548,2032,196,70,3,3,2
6 2024 SiUBiUDG CUCBA,6,2024,CUCBA,4,237894,915,454835,4722,354918,65,1280,801,2661,325,83,86,3,2
7 2024 SiUBiUDG CUALTOS,7,2024,CUALTOS,1,61291,236,330966,28568,52696,29,1103,830,2336,221,70,3,5,1
8 2024 SiUBiUDG CUCIÉNEGA,8,2024,CUCIÉNEGA,3,233497,898,265270,13463,25952,16,3224,1828,3409,606,106,2,4,1
9 2024 SiUBiUDG CUSUR,9,2024,CUSUR,1,101371,390,849379,24084,11973,40,3438,1790,3197,655,118,64,0,1
10 2024 SiUBiUDG CUCOSTA,10,2024,CUCOSTA,1,143278,551,493540,14063,4730,26,2873,1084,1573,346,60,22,0,1
11 2024 SiUBiUDG CUCOSTASUR,11,2024,CUCOSTASUR,4,49324,190,282221,4655,5479,54,2080,1930,2199,406,142,4,1,2
12 2024 SiUBiUDG CUVALLES,12,2024,CUVALLES,1,77017,296,178501,23105,22541,48,2842,2382,2622,842,92,0,1,1
13 2024 SiUBiUDG CUNORTE,13,2024,CUNORTE,1,12093,47,365248,4716,2000,103,984,877,2041,219,123,0,0,0
14 2024 SiUBiUDG CULAGOS,14,2024,CULAGOS,2,12088,46,826229,8124,1882,38,1342,1029,2993,287,49,6,7,0
15 2024 SiUBiUDG CUTONALÁ,15,2024,CUTONALÁ,1,63420,244,193675,3568,14131,63,3620,3357,1151,372,131,0,9,1
16 2024 SiUBiUDG CUTLAJOMULCO,16,2024,CUTLAJOMULCO,1,2344,9,232165,31,1412,22,264,158,392,68,45,0,0,0
17 2024 SiUBiUDG CUGUADALAJARA,17,2024,CUGUADALAJARA,,,,,,,,,,,,,,,
18 2024 SiUBiUDG CUCHAPALA,18,2024,CUCHAPALA,,,,,,,,,,,,,,,
19 2024 SiUBiUDG CUTLAQUEPAQUE,19,2024,CUTLAQUEPAQUE,,,,,,,,,,,,,,,
20 2024 SiUBiUDG SUV,20,2024,SUV,1,1537,6,46585,69,47,7,172,123,292,20,14,0,0,0
21 2024 SiUBiUDG SEMS,21,2024,SEMS,171,1155482,4444,1090044,72459,509695,1272,29884,22367,24979,7841,1827,224,89,55
22 2024 SiUBiUDG BIOP,22,2024,BIOP,1,48753,188,183848,42,24013,11,1233,1010,223,169,44,0,3,1
23 2024 SiUBiUDG BPEJ,23,2024,BPEJ,1,290420,1117,1907691,338,2032940,275,31710,15973,2808,3266,1050,0,15,1
24 2024 SiUBiUDG CDCB,24,2024,CDCB,1,2885,11,14256,2763,1574,2,403,340,479,109,55,0,0,1
