name,row,anio,entidad_universitaria,titulos_existentes,titulos_ad_compra,titulos_ad_donacion,volumenes_existentes,volumenes_ad_compra,volumenes_ad_donacion,sus_rev_impresas
1 2023 Títulos y volúmenes CUCEA,1,2023,CUCEA,82448,118,1518,175828,348,2902,18
2 2022 Títulos y volúmenes CUCEA,2,2022,CUCEA,81405,1136,1221,174306,3470,2812,53
3 2021 Títulos y volúmenes CUCEA,3,2021,CUCEA,80009,1890,1418,167196,5124,2153,53
4 2020 Títulos y volúmenes CUCEA,4,2020,CUCEA,77278,1831,2414,175298,4744,3028,52
5 2019 Títulos y volúmenes CUCEA,5,2019,CUCEA,74500,1495,5904,164989,4339,6483,58
6 2018 Títulos y volúmenes CUCEA,6,2018,CUCEA,83689,2668,2952,262320,7887,5057,61
7 2023 Títulos y volúmenes CUCEI,7,2023,CUCEI,56101,322,17,121292,647,31,0
8 2022 Títulos y volúmenes CUCEI,8,2022,CUCEI,48693,686,110,125826,1545,145,0
9 2021 Títulos y volúmenes CUCEI,9,2021,CUCEI,41873,784,272,119125,1632,324,0
10 2020 Títulos y volúmenes CUCEI,10,2020,CUCEI,44209,1058,14,126549,2856,14,0
11 2019 Títulos y volúmenes CUCEI,11,2019,CUCEI,40364,3022,202,119621,3995,247,0
12 2018 Títulos y volúmenes CUCEI,12,2018,CUCEI,38691,2104,282,115957,4528,294,0
13 2023 Títulos y volúmenes CUCSH,13,2023,CUCSH,180527,2537,1905,270237,3799,5813,5
14 2022 Títulos y volúmenes CUCSH,14,2022,CUCSH,179699,93,68,268559,93,527,9
15 2021 Títulos y volúmenes CUCSH,15,2021,CUCSH,173571,84,7831,270713,84,9279,37
16 2020 Títulos y volúmenes CUCSH,16,2020,CUCSH,178996,3571,455,275230,8803,842,40
17 2019 Títulos y volúmenes CUCSH,17,2019,CUCSH,174337,4257,483,264220,7289,3103,49
18 2018 Títulos y volúmenes CUCSH,18,2018,CUCSH,167600,1152,1154,253955,3438,1573,53
19 2023 Títulos y volúmenes CUCS,19,2023,CUCS,32937,215,126,67096,829,134,0
20 2022 Títulos y volúmenes CUCS,20,2022,CUCS,33294,237,63,66831,870,63,0
21 2021 Títulos y volúmenes CUCS,21,2021,CUCS,32018,98,71,72040,348,71,0
22 2020 Títulos y volúmenes CUCS,22,2020,CUCS,31912,349,50,71856,872,128,0
23 2019 Títulos y volúmenes CUCS,23,2019,CUCS,31419,997,270,70593,2000,499,11
24 2018 Títulos y volúmenes CUCS,24,2018,CUCS,30271,932,281,68336,2354,375,19
25 2023 Títulos y volúmenes CUAAD,25,2023,CUAAD,58269,2953,373,98976,4607,377,0
26 2022 Títulos y volúmenes CUAAD,26,2022,CUAAD,60481,983,199,97859,1388,199,0
27 2021 Títulos y volúmenes CUAAD,27,2021,CUAAD,63909,1958,292,100662,4854,446,0
28 2020 Títulos y volúmenes CUAAD,28,2020,CUAAD,61659,0,186,95361,0,186,0
29 2019 Títulos y volúmenes CUAAD,29,2019,CUAAD,61473,1786,559,95175,3304,909,52
30 2018 Títulos y volúmenes CUAAD,30,2018,CUAAD,59128,1357,713,87962,2193,1102,52
31 2023 Títulos y volúmenes CUCBA,31,2023,CUCBA,36179,542,74,70994,1141,118,0
32 2022 Títulos y volúmenes CUCBA,32,2022,CUCBA,36048,450,267,69331,920,382,0
33 2021 Títulos y volúmenes CUCBA,33,2021,CUCBA,35280,552,134,68098,1245,234,0
34 2020 Títulos y volúmenes CUCBA,34,2020,CUCBA,35884,1133,339,68440,2714,502,0
35 2019 Títulos y volúmenes CUCBA,35,2019,CUCBA,34024,1169,306,64688,2748,445,0
36 2018 Títulos y volúmenes CUCBA,36,2018,CUCBA,39311,713,428,79265,1485,622,0
37 2023 Títulos y volúmenes CUALTOS,37,2023,CUALTOS,28454,104,378,79606,249,545,0
38 2022 Títulos y volúmenes CUALTOS,38,2022,CUALTOS,28258,690,276,79341,1503,376,0
39 2021 Títulos y volúmenes CUALTOS,39,2021,CUALTOS,38385,2261,0,92222,8295,0,0
40 2020 Títulos y volúmenes CUALTOS,40,2020,CUALTOS,27531,408,0,72790,1224,0,0
41 2019 Títulos y volúmenes CUALTOS,41,2019,CUALTOS,35721,1770,835,82708,3605,835,35
42 2018 Títulos y volúmenes CUALTOS,42,2018,CUALTOS,33622,1232,237,80235,3201,237,7
43 2023 Títulos y volúmenes CUCIÉNEGA,43,2023,CUCIÉNEGA,57213,1356,94,144098,4239,146,0
44 2022 Títulos y volúmenes CUCIÉNEGA,44,2022,CUCIÉNEGA,59240,2299,206,143833,5162,206,0
45 2021 Títulos y volúmenes CUCIÉNEGA,45,2021,CUCIÉNEGA,57376,2425,32,139610,7899,49,61
