name,row,anio,entidad_universitaria,titulos_existentes,titulos_ad_compra,titulos_ad_donacion,volumenes_existentes,volumenes_ad_compra,volumenes_ad_donacion,sus_rev_impresas
1 2024 Títulos y volúmenes CUCEA,1,2024,CUCEA,78248,631,1932,166325,1871,2397,8
2 2024 Títulos y volúmenes CUCEI,2,2024,CUCEI,56456,384,5,121991,729,10,0
3 2024 Títulos y volúmenes CUCSH,3,2024,CUCSH,197848,2417,548,312529,4105,900,0
4 2024 Títulos y volúmenes CUCS,4,2024,CUCS,31868,39,65,65045,78,138,0
5 2024 Títulos y volúmenes CUAAD,5,2024,CUAAD,59170,651,244,101173,1953,250,1
6 2024 Títulos y volúmenes CUCBA,6,2024,CUCBA,36787,490,125,72229,1022,220,0
7 2024 Títulos y volúmenes CUALTOS,7,2024,CUALTOS,30213,876,883,83275,2185,1491,0
8 2024 Títulos y volúmenes CUCIÉNEGA,8,2024,CUCIÉNEGA,53199,281,102,138683,727,127,0
9 2024 Títulos y volúmenes CUSUR,9,2024,CUSUR,38390,386,551,111168,953,739,0
10 2024 Títulos y volúmenes CUCOSTA,10,2024,CUCOSTA,43437,1263,63,110600,5615,87,0
11 2024 Títulos y volúmenes CUCOSTASUR,11,2024,CUCOSTASUR,35332,1052,1933,69385,2121,5406,2
12 2024 Títulos y volúmenes CUVALLES,12,2024,CUVALLES,35850,1650,116,83213,3759,150,7
13 2024 Títulos y volúmenes CUNORTE,13,2024,CUNORTE,38359,568,59,113142,2068,80,24
14 2024 Títulos y volúmenes CULAGOS,14,2024,CULAGOS,42447,1114,110,101035,3809,168,0
15 2024 Títulos y volúmenes CUTONALÁ,15,2024,CUTONALÁ,25423,2521,1701,64657,4832,3659,0
16 2024 Títulos y volúmenes CUTLAJOMULCO,16,2024,CUTLAJOMULCO,10130,492,183,16712,2048,137,0
17 2024 Títulos y volúmenes CUGUADALAJARA,17,2024,CUGUADALAJARA,,,,,,,
18 2024 Títulos y volúmenes CUCHAPALA,18,2024,CUCHAPALA,,,,,,,
19 2024 Títulos y volúmenes CUTLAQUEPAQUE,19,2024,CUTLAQUEPAQUE,,,,,,,
20 2024 Títulos y volúmenes SUV,20,2024,SUV,10299,0,0,14580,0,0,0
21 2024 Títulos y volúmenes SEMS,21,2024,SEMS,544666,3399,1124,1014520,7254,1569,338
22 2024 Títulos y volúmenes BIOP,22,2024,BIOP,51138,712,854,60921,712,854,4
23 2024 Títulos y volúmenes BPEJ,23,2024,BPEJ,1368086,4125,13794,2394012,7820,14693,0
24 2024 Títulos y volúmenes CDCB,24,2024,CDCB,13861,3508,40,19879,4358,48,0
