name,row,anio,base_de_datos,suscripcion,tipo
2024 1 ABI/INFORM Collection - ProQuest,1,2024,ABI/INFORM Collection - ProQuest,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 2 Academic Vídeo OnLine (AVON) - ProQuest,2,2024,Academic Vídeo OnLine (AVON) - ProQuest,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 3 3D4 Medical Complete Anatomy - Elsevier,3,2024,3D4 Medical Complete Anatomy - Elsevier,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 4 Americas Journal Package (Springer Journals Americas) - Springer,4,2024,Americas Journal Package (Springer Journals Americas) - Springer,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 5 APS Journals (10 revistas) - American Physical Society,5,2024,APS Journals (10 revistas) - American Physical Society,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 6 Art & Architecture Source - EBSCO,6,2024,Art & Architecture Source - EBSCO,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 7 ASCE - American Society of Civil Engineers,7,2024,ASCE - American Society of Civil Engineers,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 8 Access Engineering - McGraw-Hill,8,2024,Access Engineering - McGraw-Hill,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 9 Bibliocolabora,9,2024,Bibliocolabora,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 10 Biological Sciences - JSTOR ,10,2024,Biological Sciences - JSTOR ,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 11 BioOne Complete - BioOne,11,2024,BioOne Complete - BioOne,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 12 Building Types Online - De Gruyter,12,2024,Building Types Online - De Gruyter,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 13 Cambridge Journals Collection - Cambridge University Press,13,2024,Cambridge Journals Collection - Cambridge University Press,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 14 CheckPoint - Thomson Reuters,14,2024,CheckPoint - Thomson Reuters,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 15 CSIC-CINDOC - (Bibliocolabora),15,2024,CSIC-CINDOC - (Bibliocolabora),Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 16 Digitalia Film Library,16,2024,Digitalia Film Library,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 17 Embase - Elsevier,17,2024,Embase - Elsevier,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 18 EMIS Pro Global - ISI Emerging Markets Group,18,2024,EMIS Pro Global - ISI Emerging Markets Group,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 19 Food Science Source - EBSCO,19,2024,Food Science Source - EBSCO,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 20 Gale Academic One File - Gale,20,2024,Gale Academic One File - Gale,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 21 Gale Business Insights Global - Gale,21,2024,Gale Business Insights Global - Gale,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 22 Gale in Context: Enviromental Studies - Gale,22,2024,Gale in Context: Enviromental Studies - Gale,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 23 Gale in Context: Science - Gale,23,2024,Gale in Context: Science - Gale,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 24 Gale Interactive: Chemistry - Gale,24,2024,Gale Interactive: Chemistry - Gale,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 25 Gale Interactive: Human Anatomy - Gale,25,2024,Gale Interactive: Human Anatomy - Gale,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 26 Gale One File Informe Académico - Gale,26,2024,Gale One File Informe Académico - Gale,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 27 Gale One File News - Gale,27,2024,Gale One File News - Gale,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 28 Gale Pprimary Sources Archives Unbound - Gale,28,2024,Gale Pprimary Sources Archives Unbound - Gale,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 29 Global Plants - JSTOR,29,2024,Global Plants - JSTOR,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 30 Hemeroteca Proceso,30,2024,Hemeroteca Proceso,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 31 IEEE/IET Electronic Library (IEL) - Institute of Electrical and Electronics Engineers IEEE,31,2024,IEEE/IET Electronic Library (IEL) - Institute of Electrical and Electronics Engineers IEEE,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 32 InCites Benchmarking & Analytics - Clarivate Analytics,32,2024,InCites Benchmarking & Analytics - Clarivate Analytics,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 33 Ingenta Connect,33,2024,Ingenta Connect,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 34 Journals IOP - Institute of Physics,34,2024,Journals IOP - Institute of Physics,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 35 J-Gate Full Collection,35,2024,J-Gate Full Collection,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
"2024 36 Library, Information Science & Technology Abstracts EBSCO",36,2024,"Library, Information Science & Technology Abstracts EBSCO",Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 37 Life Sciences - JSTOR,37,2024,Life Sciences - JSTOR,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 38 MIT Press Journals Collection,38,2024,MIT Press Journals Collection,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 39 Nature Nanotechnology - Springer,39,2024,Nature Nanotechnology - Springer,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 40 nKoda,40,2024,nKoda,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 41 NNN Consult - Elsevier,41,2024,NNN Consult - Elsevier,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 42 Patents Global - ProQuest,42,2024,Patents Global - ProQuest,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 43 Plant Cell - Oxford Academic,43,2024,Plant Cell - Oxford Academic,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 44 Pressreader,44,2024,Pressreader,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 45 Professional Development Collection - EBSCO,45,2024,Professional Development Collection - EBSCO,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 46 ProQuest Central - ProQuest,46,2024,ProQuest Central - ProQuest,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 47 ProQuest Dissertations and Theses Global - ProQuest,47,2024,ProQuest Dissertations and Theses Global - ProQuest,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 48 Revista Scientific American,48,2024,Revista Scientific American,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 49 RILM Abstracts of Music Literature with Full Collection - EBSCO,49,2024,RILM Abstracts of Music Literature with Full Collection - EBSCO,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 50 Science Collection - Annual Reviews,50,2024,Science Collection - Annual Reviews,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 51 Springer Link,51,2024,Springer Link,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 52 Springer Protocols,52,2024,Springer Protocols,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 53 STATdx - Elsevier,53,2024,STATdx - Elsevier,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 54 Tirant Contadores - Tirant Lo Blanch,54,2024,Tirant Contadores - Tirant Lo Blanch,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 55 Up to Date - Wolters Kluwer,55,2024,Up to Date - Wolters Kluwer,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 56 Vlex Global,56,2024,Vlex Global,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 57 Vlex México,57,2024,Vlex México,Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
"2024 58 Vlex Módulo ""Normas de Información Financiera""",58,2024,"Vlex Módulo ""Normas de Información Financiera""",Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 59 World Newspaper Archive: Periódicos de América Latina 1 (1805-1922),59,2024,World Newspaper Archive: Periódicos de América Latina 1 (1805-1922),Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 60 World Newspaper Archive: Periódicos de América Latina 2 (1822-1922),60,2024,World Newspaper Archive: Periódicos de América Latina 2 (1822-1922),Suscritas por la Unversidad de Guadalajara,Revistas a texto completo
2024 61 Academic Complete - ProQuest,61,2024,Academic Complete - ProQuest,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 62 Access Medicina - McGraw-Hill,62,2024,Access Medicina - McGraw-Hill,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 63 Biblioteca Digital Alfaomega,63,2024,Biblioteca Digital Alfaomega,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 64 Biblioteca Digital HLM - Editorial Patria,64,2024,Biblioteca Digital HLM - Editorial Patria,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 65 Biblioteca Digital Cengage,65,2024,Biblioteca Digital Cengage,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 66 Biblioteca Larousse Patria - Patria,66,2024,Biblioteca Larousse Patria - Patria,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 67 Biblioteca Digital Mc Graw Hill - McGraw-Hill,67,2024,Biblioteca Digital Mc Graw Hill - McGraw-Hill,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 68 Biblioteca Planeta,68,2024,Biblioteca Planeta,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 69 Biblioteca Virtual Dikaia,69,2024,Biblioteca Virtual Dikaia,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 70 Biblioteca Virtual Pearson,70,2024,Biblioteca Virtual Pearson,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 71 Bibliotechnia,71,2024,Bibliotechnia,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 72 Clinical Key Educación Médica - Elsevier,72,2024,Clinical Key Educación Médica - Elsevier,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 73 ClinicalKey Student Nursing - Elsevier,73,2024,ClinicalKey Student Nursing - Elsevier,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 74 Comic Plus,74,2024,Comic Plus,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 75 Digitalia Hispánica,75,2024,Digitalia Hispánica,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 76 ECOE ,76,2024,ECOE ,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 77 eBooks 7-24 - DC Learning,77,2024,eBooks 7-24 - DC Learning,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 78 Editorial Médica Panamericana,78,2024,Editorial Médica Panamericana,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 79 e-libro Cátedra,79,2024,e-libro Cátedra,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 80 e-libro English,80,2024,e-libro English,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 81 Eureka - Editorial Médica Panamericana,81,2024,Eureka - Editorial Médica Panamericana,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 82 Gale eBooks,82,2024,Gale eBooks,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 83 IGI Global,83,2024,IGI Global,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 84 Manual Moderno,84,2024,Manual Moderno,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 85 Mc Graw-Hill ebooks Plus,85,2024,Mc Graw-Hill ebooks Plus,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 86 Ovid e-books - Wolters Kluwer,86,2024,Ovid e-books - Wolters Kluwer,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 87 PsycBooks - American Psychological Association(APA),87,2024,PsycBooks - American Psychological Association(APA),Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 88 Rama de la U,88,2024,Rama de la U,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 89 Springer e-Book Single Titles (a perpetuidad),89,2024,Springer e-Book Single Titles (a perpetuidad),Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 90 UNWTO Elibrary,90,2024,UNWTO Elibrary,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 91 World e-Book Library,91,2024,World e-Book Library,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 92 Aula Digital Mienciclo,92,2024,Aula Digital Mienciclo,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
2024 93 Directorio de enlaces a Sitios Fuente,93,2024,Directorio de enlaces a Sitios Fuente,Suscritas por la Unversidad de Guadalajara,Libros electrónicos
