name,row,anio,entidad_universitaria,energia,potencia_kwh,paneles_solares,consumo_energia,emisiones_gei
921 Energía -1 - 2018 - CUCEA,1,2018,CUCEA,,,,2617572,1379
921 Energía -2 - 2018 - CUCEI,2,2018,CUCEI,,,,3883408,2047
921 Energía -3 - 2018 - CUCSH,3,2018,CUCSH,,,,976267,514
921 Energía -4 - 2018 - CUCS,4,2018,CUCS,,,,2797773,1474
921 Energía -5 - 2018 - CUAAD,5,2018,CUAAD,,,,1114954,588
921 Energía -6 - 2018 - CUCBA,6,2018,CUCBA,,,,2249114,1185
921 Energía -7 - 2018 - CUALTOS,7,2018,CUALTOS,,,,624872,329
921 Energía -8 - 2018 - CUCIÉNEGA,8,2018,CUCIÉNEGA,,,,1216153,641
921 Energía -9 - 2018 - CUSUR,9,2018,CUSUR,,,,1628400,858
921 Energía -10 - 2018 - CUCOSTA,10,2018,CUCOSTA,,,,2313400,1219
921 Energía -11 - 2018 - CUCOSTASUR,11,2018,CUCOSTASUR,,,,1422796,750
921 Energía -12 - 2018 - CUVALLES,12,2018,CUVALLES,,,,1383883,729
921 Energía -13 - 2018 - CUNORTE,13,2018,CUNORTE,,,,779777,411
921 Energía -14 - 2018 - CULAGOS,14,2018,CULAGOS,,,,519590,274
921 Energía -15 - 2018 - CUTONALÁ,15,2018,CUTONALÁ,,,,835543,440
921 Energía -16 - 2018 - CUTLAJOMULCO,16,2018,CUTLAJOMULCO,,,,,
921 Energía -17 - 2018 - SUV,17,2018,SUV,,,,145021,
921 Energía -18 - 2018 - SEMS,18,2018,SEMS,,,,17150047,9038
921 Energía -19 - 2018 - AG,19,2018,AG,,,,9569234,5043
921 Energía -20 - 2019 - CUCEA,20,2019,CUCEA,,,,2617500,1322
921 Energía -21 - 2019 - CUCEI,21,2019,CUCEI,,,,3637266,1837
921 Energía -22 - 2019 - CUCSH,22,2019,CUCSH,,,,1004170,507
921 Energía -23 - 2019 - CUCS,23,2019,CUCS,,,,2945050,1487
921 Energía -24 - 2019 - CUAAD,24,2019,CUAAD,,,,1164947,588
921 Energía -25 - 2019 - CUCBA,25,2019,CUCBA,,,,2209113,1116
921 Energía -26 - 2019 - CUALTOS,26,2019,CUALTOS,,,,652109,329
921 Energía -27 - 2019 - CUCIÉNEGA,27,2019,CUCIÉNEGA,,,,1104784,558
921 Energía -28 - 2019 - CUSUR,28,2019,CUSUR,,,,1518714,767
921 Energía -29 - 2019 - CUCOSTA,29,2019,CUCOSTA,,,,2290677,1157
921 Energía -30 - 2019 - CUCOSTASUR,30,2019,CUCOSTASUR,,,,1473313,744
921 Energía -31 - 2019 - CUVALLES,31,2019,CUVALLES,,,,1204653,608
921 Energía -32 - 2019 - CUNORTE,32,2019,CUNORTE,,,,767335,388
921 Energía -33 - 2019 - CULAGOS,33,2019,CULAGOS,,,,388349,196
921 Energía -34 - 2019 - CUTONALÁ,34,2019,CUTONALÁ,618670,499,1560,620229,313
921 Energía -35 - 2019 - CUTLAJOMULCO,35,2019,CUTLAJOMULCO,,,,,
921 Energía -36 - 2019 - SUV,36,2019,SUV,,,,143216,72
