name,row,anio,entidad_universitaria,total
922 Residuos sólidos -1 - 2023 - CUCEA,1,2023,CUCEA,63604
922 Residuos sólidos -2 - 2023 - CUCEI,2,2023,CUCEI,443549
922 Residuos sólidos -3 - 2023 - CUCSH,3,2023,CUCSH,110120
922 Residuos sólidos -4 - 2023 - CUCS,4,2023,CUCS,403799
922 Residuos sólidos -5 - 2023 - CUAAD,5,2023,CUAAD,177197
922 Residuos sólidos -6 - 2023 - CUCBA,6,2023,CUCBA,1044327
922 Residuos sólidos -7 - 2023 - CUALTOS,7,2023,CUALTOS,14749
922 Residuos sólidos -8 - 2023 - CUCIÉNEGA,8,2023,CUCIÉNEGA,36494
922 Residuos sólidos -9 - 2023 - CUSUR,9,2023,CUSUR,32545
922 Residuos sólidos -10 - 2023 - CUCOSTA,10,2023,CUCOSTA,1111199
922 Residuos sólidos -11 - 2023 - CUCOSTASUR,11,2023,CUCOSTASUR,20722
922 Residuos sólidos -12 - 2023 - CUVALLES,12,2023,CUVALLES,19994
922 Residuos sólidos -13 - 2023 - CUNORTE,13,2023,CUNORTE,179220
922 Residuos sólidos -14 - 2023 - CULAGOS,14,2023,CULAGOS,38492
922 Residuos sólidos -15 - 2023 - CUTONALÁ,15,2023,CUTONALÁ,61456
922 Residuos sólidos -16 - 2023 - CUTLAJOMULCO,16,2023,CUTLAJOMULCO,57699
922 Residuos sólidos -17 - 2023 - SUV,17,2023,SUV,2060
922 Residuos sólidos -18 - 2023 - SEMS,18,2023,SEMS,576504
922 Residuos sólidos -19 - 2023 - AG,19,2023,AG,52044
