name,row,anio,entidad_universitaria,total
922 Residuos s lidos -1 - 2024 - CUCEA,1,2024,CUCEA,130000
922 Residuos s lidos -2 - 2024 - CUCEI,2,2024,CUCEI,921519
922 Residuos s lidos -3 - 2024 - CUCSH,3,2024,CUCSH,147012
922 Residuos s lidos -4 - 2024 - CUCS,4,2024,CUCS,691640
922 Residuos s lidos -5 - 2024 - CUAAD,5,2024,CUAAD,111238
922 Residuos s lidos -6 - 2024 - CUCBA,6,2024,CUCBA,185139
922 Residuos s lidos -7 - 2024 - CUALTOS,7,2024,CUALTOS,32405
922 Residuos s lidos -8 - 2024 - CUCI NEGA,8,2024,CUCI NEGA,23480
922 Residuos s lidos -9 - 2024 - CUSUR,9,2024,CUSUR,51473
922 Residuos s lidos -10 - 2024 - CUCOSTA,10,2024,CUCOSTA,547255
922 Residuos s lidos -11 - 2024 - CUCOSTASUR,11,2024,CUCOSTASUR,43413
922 Residuos s lidos -12 - 2024 - CUVALLES,12,2024,CUVALLES,61219
922 Residuos s lidos -13 - 2024 - CUNORTE,13,2024,CUNORTE,18582
922 Residuos s lidos -14 - 2024 - CULAGOS,14,2024,CULAGOS,42716
922 Residuos s lidos -15 - 2024 - CUTONAL ,15,2024,CUTONAL ,195152
922 Residuos s lidos -16 - 2024 - CUTLAJOMULCO,16,2024,CUTLAJOMULCO,34493
922 Residuos s lidos -17 - 2024 - CUGUADALAJARA,17,2024,CUGUADALAJARA,0
922 Residuos s lidos -18 - 2024 - CUCHAPALA,18,2024,CUCHAPALA,1020
922 Residuos s lidos -19 - 2024 - CUTLAQUEPAQUE,19,2024,CUTLAQUEPAQUE,0
922 Residuos s lidos -20 - 2024 - SEMS,20,2024,SEMS,669283
922 Residuos s lidos -21 - 2024 - AG,21,2024,AG,65533
