name,row,anio,estatus_transparencia,total
a31 Solicitudes de información -1 - 2022 - Afirmativas,1,2022,Afirmativas,464
a31 Solicitudes de información -2 - 2022 - Afirmativas parciales,2,2022,Afirmativas parciales,602
a31 Solicitudes de información -3 - 2022 - Afirmativas parciales - Por tratarse de información reservada,3,2022,Afirmativas parciales - Por tratarse de información reservada,3
a31 Solicitudes de información -4 - 2022 - Afirmativas parciales - Por tratarse de información confidencial,4,2022,Afirmativas parciales - Por tratarse de información confidencial,261
a31 Solicitudes de información -5 - 2022 - Afirmativas parciales - Por inexistencia,5,2022,Afirmativas parciales - Por inexistencia,338
a31 Solicitudes de información -6 - 2022 - Negativas,6,2022,Negativas,434
a31 Solicitudes de información -7 - 2022 - Negativas - Por tratarse de información reservada,7,2022,Negativas - Por tratarse de información reservada,0
a31 Solicitudes de información -8 - 2022 - Negativas - Por tratarse de información confidencial,8,2022,Negativas - Por tratarse de información confidencial,29
a31 Solicitudes de información -9 - 2022 - Negativas - Por inexistencia,9,2022,Negativas - Por inexistencia,282
a31 Solicitudes de información -10 - 2022 - Negativas - Rechazada por no cumplir con los requisitos de ley,10,2022,Negativas - Rechazada por no cumplir con los requisitos de ley,39
"a31 Solicitudes de información -11 - 2022 - Negativas - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",11,2022,"Negativas - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",71
a31 Solicitudes de información -12 - 2022 - Negativas - Ajena al ejercicio de acceso a la información,12,2022,Negativas - Ajena al ejercicio de acceso a la información,13
a31 Solicitudes de información -13 - 2021 - Afirmativas,13,2021,Afirmativas,588
a31 Solicitudes de información -14 - 2021 - Afirmativas parciales,14,2021,Afirmativas parciales,666
a31 Solicitudes de información -15 - 2021 - Afirmativas parciales - Por tratarse de información reservada,15,2021,Afirmativas parciales - Por tratarse de información reservada,4
a31 Solicitudes de información -16 - 2021 - Afirmativas parciales - Por tratarse de información confidencial,16,2021,Afirmativas parciales - Por tratarse de información confidencial,348
a31 Solicitudes de información -17 - 2021 - Afirmativas parciales - Por inexistencia,17,2021,Afirmativas parciales - Por inexistencia,314
a31 Solicitudes de información -18 - 2021 - Negativas,18,2021,Negativas,507
a31 Solicitudes de información -19 - 2021 - Negativas - Por tratarse de información reservada,19,2021,Negativas - Por tratarse de información reservada,0
a31 Solicitudes de información -20 - 2021 - Negativas - Por tratarse de información confidencial,20,2021,Negativas - Por tratarse de información confidencial,5
a31 Solicitudes de información -21 - 2021 - Negativas - Por inexistencia,21,2021,Negativas - Por inexistencia,239
a31 Solicitudes de información -22 - 2021 - Negativas - Rechazada por no cumplir con los requisitos de ley,22,2021,Negativas - Rechazada por no cumplir con los requisitos de ley,75
"a31 Solicitudes de información -23 - 2021 - Negativas - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",23,2021,"Negativas - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",152
a31 Solicitudes de información -24 - 2021 - Negativas - Ajena al ejercicio de acceso a la información,24,2021,Negativas - Ajena al ejercicio de acceso a la información,36
a31 Solicitudes de información -25 - 2020 - Afirmativas,25,2020,Afirmativas,555
