name,row,anio,estatus_transparencia,total
a31 Solicitudes de información -1 - 2024 - Afirmativas,1,2024,Afirmativas,416
a31 Solicitudes de información -2 - 2024 - Afirmativas parciales,2,2024,Afirmativas parciales,750
a31 Solicitudes de información -3 - 2024 - Afirmativas parciales - Por tratarse de información reservada,3,2024,Afirmativas parciales - Por tratarse de información reservada,3
a31 Solicitudes de información -4 - 2024 - Afirmativas parciales - Por tratarse de información confidencial,4,2024,Afirmativas parciales - Por tratarse de información confidencial,267
a31 Solicitudes de información -5 - 2024 - Afirmativas parciales - Por inexistencia,5,2024,Afirmativas parciales - Por inexistencia,480
a31 Solicitudes de información -6 - 2024 - Negativas,6,2024,Negativas,276
a31 Solicitudes de información -7 - 2024 - Negativas - Por tratarse de información reservada,7,2024,Negativas - Por tratarse de información reservada,2
a31 Solicitudes de información -8 - 2024 - Negativas - Por tratarse de información confidencial,8,2024,Negativas - Por tratarse de información confidencial,21
a31 Solicitudes de información -9 - 2024 - Negativas - Por inexistencia,9,2024,Negativas - Por inexistencia,253
a31 Solicitudes de información -10 - 2024 - Rechazada por no cumplir con los requisitos de ley,10,2024,Rechazada por no cumplir con los requisitos de ley,77
"a31 Solicitudes de información -11 - 2024 - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",11,2024,"Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",53
a31 Solicitudes de información -12 - 2024 - Ajena al ejercicio de acceso a la información,12,2024,Ajena al ejercicio de acceso a la información,34
a31 Solicitudes de información -13 - 2023 - Afirmativas,13,2023,Afirmativas,353
a31 Solicitudes de información -14 - 2023 - Afirmativas parciales,14,2023,Afirmativas parciales,512
a31 Solicitudes de información -15 - 2023 - Afirmativas parciales - Por tratarse de información reservada,15,2023,Afirmativas parciales - Por tratarse de información reservada,3
a31 Solicitudes de información -16 - 2023 - Afirmativas parciales - Por tratarse de información confidencial,16,2023,Afirmativas parciales - Por tratarse de información confidencial,156
a31 Solicitudes de información -17 - 2023 - Afirmativas parciales - Por inexistencia,17,2023,Afirmativas parciales - Por inexistencia,353
a31 Solicitudes de información -18 - 2023 - Negativas,18,2023,Negativas,410
a31 Solicitudes de información -19 - 2023 - Negativas - Por tratarse de información reservada,19,2023,Negativas - Por tratarse de información reservada,0
a31 Solicitudes de información -20 - 2023 - Negativas - Por tratarse de información confidencial,20,2023,Negativas - Por tratarse de información confidencial,12
a31 Solicitudes de información -21 - 2023 - Negativas - Por inexistencia,21,2023,Negativas - Por inexistencia,245
a31 Solicitudes de información -22 - 2023 - Rechazada por no cumplir con los requisitos de ley,22,2023,Rechazada por no cumplir con los requisitos de ley,43
